date,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD
2024-06-21,5.480682066538365,1.0839488789863836,50.36821688294629,14.102861466682759,8.376137537447352,5.574093102619299,9.044172776019039,1.2456141163238812,4.611017302510177,0.11325586992645524
2024-06-24,5.49588253733108,1.0849710611181502,50.39565077386877,14.156289083160628,8.209477925970322,5.583362404672275,9.074772192694311,1.2708657792181903,4.615365569838338,0.1133626721279251
2024-06-25,5.513149832987276,1.0883798887201759,50.46140162115568,14.200766167110865,7.935375252755221,5.586815489810499,9.127235262083387,1.3432912394486276,4.629866404110994,0.11371884181727218
2024-06-26,5.516036418668121,1.0889497447729355,50.48782229967297,14.208201431799253,7.883144324616452,5.573630431983897,9.132014117621756,1.3641323293743626,4.6322905185412555,0.11377838294899835
2024-06-27,5.526274807383352,1.1111461037790487,50.478640180709576,14.264836181152546,7.780760493612357,5.531520345049853,9.15703422868676,1.3949095163918916,4.640888574712567,0.11398956852204495
2024-06-28,5.529175157038446,1.1117292655527897,50.50513283837511,14.272322781826599,7.736398302791613,5.52231200769141,9.16184010642403,1.4037158988023783,4.643324247936599,0.11404939356102153
2024-07-02,5.529175157038446,1.113747838890153,50.50513283837511,14.272322781826599,7.736398302791613,5.520293434354047,9.16184010642403,1.4037158988023783,4.643324247936599,0.11404939356102153
2024-07-05,5.532773848900463,1.1132534584653762,50.41007778166225,14.265987454607052,7.732964200613701,5.51986071408546,9.151720234351606,1.518100411688897,4.641263127336483,0.11399876828870638
2024-07-08,5.5545192575343165,1.1139727024497246,50.38207698983841,14.275204336512509,7.73796026681963,5.5234269519290145,9.153594960009945,1.5715747196862084,4.573597395304686,0.11407241991555855
2024-07-09,5.596127244950204,1.1158279122567532,50.12420726923612,14.298978257564793,7.750847063544393,5.500268172832451,9.178951070799428,1.7400241698336392,4.580506442892494,0.11426239608972645
2024-07-10,0.5814788963758966,0.11615288653371765,5.195036246582565,1.4878706704694487,0.8053701781987009,0.563953521908394,0.9337977613603591,0.19382980106504055,0.48225249561384953,0.01187270572438724
2024-07-11,5.575623979991802,1.119018798887102,50.13977340837753,14.380430980532847,7.649296121457519,5.481518910180544,9.012527717137358,1.8727720143042141,4.6544489216238425,0.11458914750724289
2024-07-12,5.5947142798921545,1.1204049158595706,50.17954399936205,14.43073409072232,7.4699218238612195,5.451757313736262,9.082579964674602,1.895398184799861,4.660214339196958,0.11473108789499908
2024-07-15,5.6556440923505455,1.1234391849362764,50.10103832633377,14.47909171350647,7.194500471742743,5.471743861805975,9.253538182458282,1.9476336363204907,4.6584328864550955,0.11493764409035695
2024-07-16,5.6854916308541,1.126550595336938,50.059392073184796,14.492948689219439,7.016087875548342,5.485125469839812,9.347916270320749,1.9698600016790846,4.701579750751419,0.11504764326531763
2024-07-17,5.755676583592453,1.1307742397448262,49.80958414662881,14.521038613231937,6.909315211077144,5.477394930365219,9.461923041698444,2.010401327640148,4.808621279867512,0.11527062615350958
2024-07-18,5.764879909795563,1.1346257979596925,49.78501369898452,14.54425775232438,6.603628403542778,5.502500886908531,9.477052655566903,2.2383954958758165,4.834190455170184,0.11545494387163013
2024-07-19,5.773586558788991,1.1424354884393846,49.776734731039056,14.618039710503048,6.304409837954076,5.518091772700254,9.533344318513766,2.2969884948685086,4.9203284488166,0.11604063837631502
2024-07-22,5.788512766735025,1.1486899923679246,49.68680836182116,14.645411591005292,5.989046363844206,5.442002431374955,9.952439398809506,2.301289543151432,4.929541629585019,0.11625792130548632
2024-07-23,5.819769138476133,1.1503943209653529,49.54621503370537,14.667141208187907,5.808346593521165,5.4253482284308685,10.233038257447594,2.294400424474382,4.938916379861462,0.11643041492976701
2024-07-24,5.831634969147669,1.1548251211370841,49.39252900600177,14.671071485396157,5.634695287668329,5.358780202902516,10.542909209885451,2.2950152429701554,5.002077860711044,0.11646161417982197
2024-07-25,5.971407645063417,1.1628307134576072,49.63181516434429,14.746454526564845,4.926065824733721,5.469189088373663,10.617799475111166,2.327526099774211,5.02985144420674,0.11706001837034263
2024-07-26,5.983681013404263,1.169372978783183,49.73175009470727,14.776763739883366,4.728578929582653,5.48043021880676,10.639622832629726,2.3323099944341377,5.040189579390917,0.11730061837771832
