date,GET NICE SECURITIES LTD,OSHIDORI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,NANYANG COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-10-23,9.443428966464262,4.226292312561133,1.9861841294757796,0.5348022738342302,0.37889688411551187,0.3027992251517613,0.2577009372816053,0.23957479352056557,0.15632128696876443,17.526000809373613
2024-10-25,9.452551873884628,4.226292312561133,1.9797444301202276,0.5350705946407116,0.3780114254541234,0.3027992251517613,0.2577009372816053,0.23957479352056557,0.15632128696876443,17.52806687958352
2024-10-28,9.452551873884628,4.226292312561133,1.9797444301202276,0.5377538027055249,0.3780114254541234,0.3027992251517613,0.2577009372816053,0.23957479352056557,0.15632128696876443,17.530750087648332
2024-10-29,9.452551873884628,4.226292312561133,1.9725668485468522,0.5377538027055249,0.37817939427898073,0.30227841446638104,0.2577009372816053,0.24621573348097844,0.15632128696876443,17.529860604174846
2024-10-30,9.452551873884628,4.226292312561133,1.972046037861472,0.5377538027055249,0.37817939427898073,0.30227841446638104,0.2577009372816053,0.24621573348097844,0.15632128696876443,17.529339793489466
2024-11-06,9.452551873884628,4.226292312561133,1.963996413667032,0.5377538027055249,0.37817939427898073,0.30227841446638104,0.2577009372816053,0.25426535767541836,0.15632128696876443,17.529339793489466
2024-11-08,9.452551873884628,4.226292312561133,1.9631914512475879,0.5377538027055249,0.37817939427898073,0.30227841446638104,0.2577009372816053,0.25426535767541836,0.15632128696876443,17.528534831070022
2024-11-11,9.452551873884628,4.226292312561133,1.9632799971137267,0.5377538027055249,0.37817939427898073,0.30227841446638104,0.2577009372816053,0.25426535767541836,0.15632128696876443,17.52862337693616
2024-11-12,9.452507600951558,4.226292312561133,1.9632799971137267,0.5377538027055249,0.37817939427898073,0.30227841446638104,0.2577009372816053,0.25426535767541836,0.15632128696876443,17.528579104003093
2024-11-14,9.455190809016372,4.226292312561133,1.9633921552108362,0.5377538027055249,0.3779110734724994,0.30227841446638104,0.2577009372816053,0.25426535767541836,0.15632128696876443,17.531106149358532
2024-11-15,9.455190809016372,4.226292312561133,1.9633921552108362,0.5377538027055249,0.3779110734724994,0.30227841446638104,0.2577009372816053,0.2676813979994848,0.15632128696876443,17.544522189682603
2024-11-18,9.457605696274703,4.226292312561133,1.9833050472222349,0.5377538027055249,0.3779110734724994,0.30227841446638104,0.2577009372816053,0.2676813979994848,0.15632128696876443,17.56684996895233
2024-11-19,9.457874017081185,4.226292312561133,1.9833050472222349,0.5377538027055249,0.3779110734724994,0.30227841446638104,0.2577009372816053,0.2676813979994848,0.15632128696876443,17.567118289758813
2024-11-20,9.460557225145998,4.226292312561133,1.9830367264157533,0.5377538027055249,0.3779110734724994,0.30227841446638104,0.2577009372816053,0.26687643558004087,0.15632128696876443,17.5687282145977
2024-11-21,9.46082554595248,4.226292312561133,1.9830367264157533,0.5377538027055249,0.3777634970289347,0.30227841446638104,0.2577009372816053,0.26687643558004087,0.15632128696876443,17.56884895896062
