date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,CHINA RENAISSANCE BROKING SERVICES (HONG,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD
2024-11-12,65.74614051266008,7.323124592739154,5.468999373702055,5.332626797245975,4.049730588195442,4.928440143024088,0.0,3.050625463922289,2.388564896485659,1.711747632025258
2024-11-13,66.13679901739658,7.042009839337851,5.602933724553566,5.362950732123988,4.042189633848672,4.414738901090985,0.0,3.0679728185042676,2.3843086453665334,1.9460966877775494
2024-11-14,66.8366240082597,7.68760346721225,5.914341724594417,5.444878307328966,4.082639636335043,1.8283095251203556,0.0,3.0999352200670365,2.875137360375751,2.2305307507064773
2024-11-15,67.81657645513472,7.911684922878524,6.041605148143086,5.6498436599436825,4.2499458307562845,0.1250118346255542,0.0,3.1412889585305535,2.836767600632103,2.2272755893554903
2024-11-18,67.7218022554003,8.05468507828962,6.132404567076236,5.542458479283111,4.333525618415965,0.11641598573898199,0.0,3.1412341245502566,2.7460817539252633,2.2113921373202627
2024-11-19,67.72130085599348,8.048366265385646,6.125378218184782,5.543249843873127,4.3708998854914745,0.14071276950438175,0.0,3.1464446192247393,2.7544006015732387,2.149246940769128
2024-11-20,67.59458675314713,7.95183184713974,6.163941900534168,5.53171792113804,4.380208320964789,0.22005265717935707,0.0,3.151228724430389,2.751883521500586,2.254548353965812
2024-11-21,67.5230079597201,8.057605764692289,6.161430856855244,5.525860148890394,4.365529387565972,0.21125170329793522,0.0,3.147891753812741,2.7460242083776873,2.261398216787636
2024-11-22,67.46224993789698,8.178921019784983,6.043112746179043,5.521893687937485,4.327595536026909,0.07834607861864859,0.0,3.1450598633330844,2.9395240024535045,2.3032971277693535
2024-11-25,67.54826870443085,8.150106599467945,6.0259061209252645,5.529202333200003,4.38186599500947,0.07245772238758871,0.0,3.1490700196852384,2.837558200230055,2.3055643046635836
