date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-10-08,28.60332755083515,20.98936289506367,14.917782209950808,9.423492142158398,7.314197145129671,6.763226661697093,3.92667520250385,3.6304040040856917,2.511311301307338,1.9202208872683317
2024-10-09,28.593394000696915,21.03427546868438,14.91260146525352,9.332635799279531,7.412944284823792,6.775486578081893,3.917611855981428,3.605860892898718,2.4937565489175375,1.921433105382287
2024-10-10,28.859141886715157,21.211587969027796,14.468421172249993,9.464695054819092,7.5055891761463505,6.473661910893025,3.9426861180003185,3.6451714318700277,2.5080790953382364,1.9209661849400101
2024-10-14,28.948779779218476,21.215144024618372,14.553910942092651,9.474096942760244,7.45898305602493,6.32329074703222,3.9121102729535653,3.676977841624643,2.5160552672671432,1.9206511264077564
2024-10-15,29.477429978436813,21.088267119449068,14.813730411258808,9.432030407526215,7.3751235201998275,5.8937877926811355,3.8554454982110067,3.659873419392459,2.4904480716555937,1.9138637811890724
2024-10-16,29.396749640533244,21.13902039687774,15.1112813750927,9.414324148700583,7.299582557421551,5.7646339257752075,3.8340983425702064,3.6430109232401806,2.487175691501139,1.9101229982874472
2024-10-17,29.365161566437248,21.062313563262645,15.43248929410751,9.383892598410863,7.287995035466992,5.65454867706132,3.7913876721263944,3.6333020751807292,2.4837340868147813,1.905175431131516
2024-10-18,29.045051364325175,21.360073572805785,15.514691360529135,9.395744305295082,7.300382932778571,5.574695952271528,3.7613990026819457,3.653367981401957,2.4861797414447393,1.9084137864660826
2024-10-21,29.013011157948775,21.34193727569119,15.605343829183605,9.377949886730216,7.2940317211385315,5.558981599373006,3.7746087178109518,3.647254466744991,2.4823495751370936,1.9045317702416378
2024-10-22,28.847087073636906,21.31570130169575,15.588927673403703,9.352303580265907,7.263140719221493,5.8151328987516,3.799187143986023,3.6395928575617678,2.4769025555077393,1.9020241959691084
2024-10-23,28.636987806066973,21.230603522858924,15.86416777236465,9.352827343645446,7.247278468152356,5.817277558377002,3.8304996084077545,3.6357990972777756,2.484991003788693,1.8995678190604306
2024-10-24,28.42856327873931,21.20664747248896,15.939430049740134,9.354585403759286,7.240962353317997,5.930315975841477,3.8666057050449822,3.652502676956619,2.48040694963793,1.8999801344733078
2024-10-25,28.2904148025943,21.207564428254123,15.83851037980779,9.368454760519741,7.228581333452403,6.089294850806925,3.9379430301951066,3.657367071714696,2.481246282857188,1.9006230597977292
2024-10-28,28.311211735824298,21.24495103097849,15.828741172234132,9.35939635850254,7.218721418003005,6.067907086015194,3.9391922848731165,3.6546316776473633,2.4776929062346515,1.8975543296872077
2024-10-29,28.197219947977132,21.209552884273148,15.888950220251113,9.348109643448362,7.209218587610755,6.143997465649543,3.975342780677691,3.656164778227307,2.4759117114498244,1.8955319804351265
2024-10-30,28.076452597120944,21.221627459564544,15.945711174141472,9.359059096999895,7.219581593486948,6.142248548108312,4.015886509119452,3.6612780321596468,2.4601364275088438,1.898018561789948
2024-10-31,28.27440105532985,21.256768241977163,15.726336626703713,9.372875950452528,7.232502244169224,6.055588888174308,4.06102774382936,3.6542874466353368,2.465869411911065,1.9003423908174468
2024-11-01,28.191786825299324,21.281319669514954,15.721013175135221,9.353408686504604,7.241550333247837,6.163858133729689,4.028636101599434,3.649259612728479,2.470732927033127,1.8984345352073284
2024-11-04,28.147070528101555,21.3977851574709,15.68723623011675,9.351616660293969,7.243776703130708,6.115312703663386,4.037261388085957,3.6494298933701397,2.4714925385975333,1.8990181971691025
2024-11-05,27.898367180826654,21.615216566219424,15.607759072850586,9.352535468511634,7.252284485387022,6.175866455267971,4.0913721661923415,3.638296262766382,2.4661017400968417,1.902200601881146
2024-11-06,27.4691379785166,21.62101596112762,16.042537599014537,9.340240846758906,7.237097902185879,6.222639996723914,4.067840795057471,3.6343230901843935,2.464331039266378,1.900834791164299
2024-11-07,27.407939189749815,21.62523338248272,15.980378988057357,9.322624019869126,7.221675060294333,6.424559647040394,4.022740152474595,3.635519795145945,2.4606417157368936,1.8986880491488212
2024-11-08,27.2978221856236,21.68572420219745,16.109696421026854,9.335817054379751,7.2169389292889825,6.376391217726156,4.017557866695877,3.604835044742415,2.457393202973115,1.8978238753458012
