date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,UBS SECURITIES HONG KONG LTD,DBS BANK (HONG KONG) LTD
2024-09-17,38.3101483724135,21.026446447754363,25.409691043370763,6.094106903696808,3.9681637647837915,1.2859638942938654,1.8231202591472435,1.6027349648760243,0.4642915923924659,0.015332757271174509
2024-09-19,38.29463101740194,21.017929779246852,25.383518442780005,6.144699756502718,3.966556477720228,1.2871049350585129,1.8223818124042304,1.6020857842151286,0.465765447864272,0.015326546806115223
2024-09-20,38.290590150758256,21.01571195786804,25.468912147967327,5.990183533294891,3.9661379249013273,1.2866921626103902,1.8231127023845046,1.6776181905879692,0.46571630008527404,0.01532492954202085
2024-09-23,38.11987964174257,20.871793203269043,25.55687785437457,6.241989680646503,4.0118735142047095,1.2984442402096148,1.7397652453838959,1.67413814283249,0.46989467589500805,0.01534380144159636
2024-09-24,37.75183879613679,20.962483236091003,25.428447220813833,6.0961691060459575,4.007527884374488,1.3539444876001663,1.7282908676876036,1.6722476732495262,0.9837242530801713,0.015326474920462749
2024-09-25,37.64115736571135,21.55733699381938,24.482061634488293,6.434923284450646,4.00910344474912,1.344945466057402,1.7384813901885663,1.6694435575576754,1.1072460883223945,0.015300774655177457
2024-09-26,37.45472345809949,21.77926639418788,24.638890854760504,5.981265595506216,4.0411831822457,1.4998255427002518,1.7710495566309725,1.634300451125266,1.184073530291311,0.015421434452409852
2024-09-27,36.922495691967775,21.49816199246897,25.0025557046503,6.168659374636617,4.237990109499487,1.5000463582156665,1.7442852270036342,1.6309043695693823,1.2795117833257883,0.015389388662375937
2024-09-30,32.597345132743364,18.785835185112994,21.99243775421361,5.095176601302094,3.1637517380738895,1.3229243824152404,1.501322235650332,1.4233525658518837,1.2751817667927177,0.01348225540264837
2024-10-02,36.71642040580025,21.38668042510579,26.435107147213866,5.808856899720314,3.6248342491776353,1.4566684811621808,1.6961554810244777,1.5759247350695056,1.2851253357173922,0.014226840008593013
2024-10-03,36.661562552055585,19.70092943749748,28.18354811465546,5.72499681829441,3.796214561514734,1.4398937821505846,1.5627152624846783,1.5565443470260545,1.3596875387351586,0.013907585585854094
2024-10-04,36.53906325774289,19.635101638969495,28.424651554966545,5.616788333295605,3.619858744769334,1.4379282453566502,1.5270175812735487,1.5478551521150934,1.6378743761052288,0.013861115405609008
2024-10-07,36.478611502744926,19.60261650531223,28.45441370771184,5.496610598259292,4.178394450386412,1.4600501920978073,1.5232082091547334,1.545294315791295,1.2469623355451087,0.013838182996351889
2024-10-08,36.2620769494867,19.486256708905213,28.645481228611917,5.699700589302397,4.16643682995272,1.436078699819866,1.499590612036213,1.5342995618682886,1.25914686731367,0.010931952703015951
2024-10-09,35.776400319097256,19.22526725950141,29.243765081942254,5.952453423047178,4.115037694143121,1.4273604568997285,1.4712369138761423,1.520940256375593,1.247765113471967,0.01977348164535105
2024-10-10,34.13733031705563,17.715813714070556,30.29052862396626,6.154811773315556,4.225954445249476,2.9717514637357016,1.399656576739256,1.5605838034961308,1.5235103645887014,0.020058917782726615
2024-10-14,33.66712196934539,17.933327034557138,30.195467766104013,6.519333659505628,4.2016119724453524,2.796358468495788,1.4209630602671612,1.5671260341896625,1.6786302382945202,0.020059796795352632
2024-10-15,33.32939750866499,17.85698382459148,30.59869179725413,6.42305677186345,4.161464413106957,2.8318261532244,1.4309212233766548,1.569247260475661,1.7780501852158244,0.020360862226454442
2024-10-16,32.85979859057587,18.234048411593488,31.153653164068785,6.1012805119483895,4.420793155771512,2.4428322902689352,1.4378585306400586,1.6080856629612374,1.7215907806662787,0.020058901505441526
2024-10-17,33.41810332539513,18.4634086562169,31.19998486115646,6.1449172722242045,4.439967884441279,1.9030380942083782,1.4647760447444302,1.606907700513623,1.3388519532347127,0.02004420786488615
2024-10-18,33.9895185236723,18.503940453942533,31.186561750101703,6.005838486651486,4.389595803643953,1.5197160373800225,1.458956361391438,1.596089931779081,1.3298688656386186,0.01991378579886564
2024-10-21,33.70527807200992,18.9310374172755,31.03426129625103,5.866636790787365,4.4335497071258505,1.5877898186624657,1.49940700906235,1.5963678173406846,1.3257548186171995,0.019917252867631748
2024-10-22,33.679155720818386,18.539174480130438,32.01169165935471,6.056074603418654,3.747830298387758,1.5360953446958707,1.4973702519724454,1.5944881727779536,1.3182256671614587,0.01989380128232007
2024-10-23,33.51199914977253,18.532522059554214,31.830313310234086,5.841674852673124,4.202341303601259,1.645178049459369,1.491585917021002,1.5938149602976202,1.3306849955115936,0.019885401875204243
2024-10-24,33.39060288043914,18.611766296696228,31.802395436176795,5.582849914243167,4.5727491137122485,1.5986578391424884,1.485787259998924,1.5906069307000805,1.344738952338216,0.019845376552714667
2024-10-25,33.51507306166358,18.09339427204079,31.996605513448873,5.782970937234941,4.484198179529449,1.5923700527066855,1.5504720947532697,1.5879348578024284,1.3771689926689876,0.019812038150997233
2024-10-28,33.10278259923846,18.164549887200707,32.323010139318974,5.796290922816245,4.3284415584568015,1.6143237193664575,1.5623871010548815,1.5920006791621337,1.4963506275816911,0.01986276580364484
2024-10-29,32.95657833901682,19.43904229345583,31.560079351499837,5.639667889547557,4.323754855575052,1.4122188288529636,1.5365258448699688,1.591382434046771,1.5209007394199054,0.019849423715290263
2024-10-30,33.86365471649455,19.359682457749834,32.1144247448182,5.714546003038312,2.862985927404981,1.416336138482011,1.5403325466522975,1.6020254522675703,1.5061110757969984,0.019900937295249322
2024-10-31,30.52889669668499,17.202509973620263,28.953612107390224,5.197711590191416,2.4667670526165324,1.324205196678492,1.388672306472782,1.4325302457344093,1.362907391524697,0.017868049328811093
2024-11-01,33.31038119969933,19.880183297490458,31.59504329205156,5.840830791889254,2.8598606435990797,1.572516818703525,1.6044095156496347,1.6037730256179237,1.6720802265497159,0.06092118874951859
2024-11-04,33.32811321260007,19.896680490130183,31.51262765343621,5.9447312669491925,2.867277054091013,1.5182757035516965,1.5741212146736148,1.605371081816258,1.6919377559332323,0.060864566818520434
2024-11-05,33.527503633739606,19.472575348318347,31.527272081817976,6.046531220638001,2.94731463007585,1.5050373750606445,1.575905274889818,1.6118062103224047,1.7660080175354018,0.020046207601952006
2024-11-06,33.4323674075378,19.665082522691662,31.356110262680296,6.052368748603416,3.1241854630756136,1.5213615169156858,1.5686310391444018,1.6016720494012482,1.6582511485858498,0.019969841364028032
2024-11-07,33.409854809741105,19.928310811452576,31.35676839166317,5.854266990688664,3.150138785804001,1.4999133860796277,1.5464768487549079,1.5961385117150415,1.6368737395186979,0.021257724582206563
2024-11-08,34.00271179685252,19.537769540453787,31.051561648323506,5.874236455754941,3.186232663742128,1.536275949743878,1.5530440227046658,1.5928540909453517,1.644099849536899,0.021213981942315534
2024-11-11,33.041841489671576,20.55154372655385,31.2674659035546,5.995627314761164,2.7953126238534107,1.5627298115446047,1.5781768564421397,1.600793320420961,1.5852494770575967,0.02125947614009188
2024-11-12,33.390619097858504,20.251924700420975,31.44332232788963,5.727276132538775,2.773948200841707,1.5496084684822218,1.5791673821602488,1.6015804341279316,1.661229096925325,0.02132415875467784
2024-11-13,32.85410444871777,20.094953462463387,31.51660037284958,6.041873756692529,3.097608898263102,1.5185578808750193,1.584376530510957,1.6051111102926408,1.6654423715775837,0.021371167757437425
2024-11-14,32.33075005940381,20.419415011809377,31.611129596338706,5.836527074452505,3.4295709948985924,1.4922792321999307,1.5662782404540825,1.605016891779758,1.6876629853732492,0.02136991328998545
2024-11-15,32.31625580044376,20.42545392659107,31.47220883902172,5.878727082105304,3.5904431544389133,1.4833286850056133,1.5622158642712278,1.6027150665186685,1.6473123158455418,0.02133926575818057
2024-11-18,31.600312972223694,20.384884678124116,32.259002592008535,5.770323573774389,3.6438496690960465,1.4603773391217896,1.5528517986199224,1.5865605930906876,1.6308224874837673,0.1110142964570538
2024-11-19,31.752494078116673,20.24546597495821,32.1779449800158,5.806213369969424,3.6385597669653733,1.4591959038029783,1.5464989914975742,1.5873288671744696,1.6302631901880162,0.15603487731148472
2024-11-20,31.77481619534156,19.53919130831931,32.339092943196185,6.013934831777836,3.671167554240447,1.4289800867697833,1.5525242621287672,1.5838421609486584,1.6266821749790772,0.4697684822983698
2024-11-21,31.55983978082015,18.945165835613096,32.83981743028128,6.0930534130649425,3.773020464667156,1.4498484765361819,1.556740519056059,1.5884189016845556,1.6329738268882943,0.5611213513882835
2024-11-22,31.383186463885178,19.09466258101001,32.975402767387216,6.021307266518805,3.4583920830496355,1.5216342071640476,1.7235142106990085,1.591254991603026,1.668904126868737,0.5617413018143397
2024-11-25,31.805335918798892,19.24646368431905,32.708645710475,5.9649018185788325,3.257997387810195,1.5066393382740757,1.725515404830416,1.5899424116552776,1.6328987821041128,0.5616595431541449
