date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,ZHESHANG INTERNATIONAL FINANCIAL,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD
2024-07-16,38.18978267260063,28.278666228747028,0.0,4.46033997921312,1.2177803640972384,2.0713815680800916,1.003020332531163,0.0,0.0
2024-07-17,38.29763021303058,28.21396649805608,0.0,4.450232430906658,1.215758854435946,2.071886945495415,1.0003923699714827,0.0,0.4321916903005152
2024-07-18,38.49513170693885,28.148444720461374,0.0,4.389292455497008,1.2175782131311093,2.0665764396151993,0.9964504261319624,1.3665462923362433,0.0
2024-07-19,38.63350404325432,28.06692734336976,3.8717426208239014,4.315264771700478,1.2262707046746668,2.0670818170305227,0.9973499979312376,0.0,0.0
2024-07-22,38.681009520294694,32.27041855018934,0.0,4.360777949894165,1.2271803840222484,2.0673850434797165,0.9857245990955937,1.3735372791978908,0.0
2024-07-23,38.67888693515034,32.30043796865954,0.0,4.241391935544002,1.229201893683541,2.0662732131660055,0.9795365558714113,1.3722308785792807,0.0
2024-07-24,38.73821824370927,32.33077840286394,0.0,4.2200931076016595,1.2235416666319219,0.0,0.9864134285126792,1.3665914730771729,0.0
2024-07-25,38.79633664647143,32.27656100837066,0.0,4.236574071568244,1.2234405911488575,2.0626344957756793,0.9802983617872695,1.3691867377180817,0.42868674631202475
2024-07-26,38.84677331252068,32.2308733738932,0.0,4.3060545209949215,0.0,2.0781495824260987,0.9205324286511576,1.384388844135192,0.0
2024-07-29,38.97271336441921,32.14285552925925,0.0,4.337324748568039,0.0,2.077161064201727,0.8897044063164475,1.383159867336609,0.0
2024-07-30,39.06064903468542,32.099190111971474,0.0,4.330691669991923,1.2239459685641805,2.077363215167856,0.868074252940618,1.3884729506416427,0.0
2024-07-31,39.15505353586778,32.042344097927874,0.0,4.3363894465855015,1.2289997427174115,2.035819220656376,0.8195298210098237,1.4010000943994474,0.0
2024-08-01,39.39035726044222,31.934294406531787,3.8760888665956803,4.316698679040974,1.2355935029306155,1.9946814990490742,0.7778361842456667,1.3908735944399104,0.0
2024-08-02,39.47162194882618,31.719090148217642,0.0,4.442480749959465,1.2285182191160917,1.935754492422399,0.7787857884090588,1.3869790550019474,0.0
