date,ABCI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,TOTAL_CCASS_PCT
2024-07-29,28.30682725969151,10.011321564876084,7.182731197643482,3.9511112178941468,3.2195229422801925,4.249292492902991,2.4474562723259687,1.7721513968994314,2.0253221559383774,1.8356723436116125,65.00140884406379
2024-07-30,28.30682725969151,10.010520171204726,7.179766041059459,3.9511112178941468,3.219042106077378,4.249292492902991,2.4474562723259687,1.7720712575322954,2.0253221559383774,1.8356723436116125,64.99708131823846
2024-07-31,28.30682725969151,9.98158985966872,7.181769525237852,3.9511112178941468,3.2248121405111525,4.2396757688467,2.4474562723259687,1.7719911181651598,2.0253221559383774,1.8356723436116125,64.9662276618912
2024-08-01,28.30682725969151,9.98631808232973,7.167825275356231,3.9511112178941468,3.2232093531684374,4.2396757688467,2.44761655106024,1.7719911181651598,2.0253221559383774,1.8356723436116125,64.95556912606214
2024-08-02,28.30682725969151,9.986398221696865,7.171832243713018,3.9511112178941468,3.220404475318686,4.238874375175343,2.44761655106024,1.7711897244938022,2.0253221559383774,1.8356723436116125,64.9552485685936
2024-08-05,28.30682725969151,9.98158985966872,7.171832243713018,3.9511112178941468,3.2210455902557724,4.23703116973122,2.44761655106024,1.7711897244938022,2.0253221559383774,1.8356723436116125,64.94923811605841
2024-08-06,28.30682725969151,9.982471392707213,7.175839212069807,3.9511112178941468,3.224251164941202,4.23703116973122,2.4474562723259687,1.7711897244938022,2.0253221559383774,1.8356723436116125,64.95717191340485
2024-08-07,28.30682725969151,9.995614248917477,7.183051755112024,3.9511112178941468,3.2229689350670303,4.23703116973122,2.4554702090395444,1.7701479127210373,2.0253221559383774,1.8356723436116125,64.98321720772398
2024-08-08,28.30682725969151,9.911868610260614,7.192267782332637,3.9511112178941468,3.222007262661401,4.236069497325591,2.4534667248611504,1.7703883308224446,2.0253221559383774,1.8356723436116125,64.90500118539948
2024-08-09,28.30682725969151,9.912269307096292,7.192588339801179,3.9511112178941468,3.222007262661401,4.236069497325591,2.4534667248611504,1.7705486095567162,2.0253221559383774,1.8356723436116125,64.90588271843797
2024-08-12,28.30682725969151,9.912028888994884,7.192588339801179,3.9511112178941468,3.2226483775984875,4.236069497325591,2.4534667248611504,1.7705486095567162,2.0253221559383774,1.8356723436116125,64.90628341527366
2024-08-13,28.30682725969151,9.912429585830562,7.191786946129822,3.9511112178941468,3.226094370385325,4.236069497325591,2.4488987809344125,1.7703883308224446,2.0253221559383774,1.834470253104576,64.90339839805677
2024-08-14,28.30682725969151,9.912429585830562,7.192588339801179,3.9511112178941468,3.2254532554482385,4.236069497325591,2.4488987809344125,1.7703883308224446,2.0253221559383774,1.834470253104576,64.90355867679104
2024-08-15,28.30682725969151,9.902011468102915,7.192588339801179,3.951912611565504,3.2254532554482385,4.236069497325591,2.4488987809344125,1.7703883308224446,2.0253221559383774,1.8340695562688973,64.89354125589907
2024-08-16,28.30682725969151,9.902332025571457,7.1921876429655,3.951912611565504,3.2248121405111525,4.234066013147197,2.4488987809344125,1.7703883308224446,2.0253221559383774,1.8340695562688973,64.89081651741645
2024-08-19,28.30682725969151,9.901771050001507,7.191386249294143,3.951912611565504,3.2225682382313514,4.234066013147197,2.4488987809344125,1.7703883308224446,2.0253221559383774,1.8339894169017614,64.88713010652822
2024-08-20,28.30682725969151,9.89944700835457,7.187379280937354,3.951912611565504,3.222167541395673,4.234066013147197,2.440884844220837,1.7707890276581235,2.0253221559383774,1.8339894169017614,64.8727851598109
2024-08-21,28.30682725969151,9.904255370382716,7.173354891688597,3.951912611565504,3.2217668445599936,4.2336653163115185,2.438881360042443,1.7685451253783224,2.0253221559383774,1.8329476051289966,64.85747854068798
2024-08-22,28.30682725969151,9.892955719616573,7.165340954975022,3.9438986748519285,3.2097459394896304,4.231261135297446,2.4375991301682705,1.747468471821619,2.0253221559383774,1.8329476051289966,64.79336704697938
