date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,OSHIDORI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,CCB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2025-01-16,0.0,2.8357266259432268,0.0,0.0,0.0,0.0,0.0,6.0511390585698885,0.0,0.0
2025-01-17,0.0,2.8358416097736256,0.0,0.0,0.5049645706072583,0.0,30.21801509162774,0.0,0.0,0.0
2025-01-20,28.290572763205173,2.8359565936040245,0.0,0.0,0.5045908731584621,0.0,30.219452389507723,0.0,0.0,0.0
2025-01-21,0.0,2.8358703557312253,0.0,0.0,0.5117635644987424,0.0,30.219021200143732,0.0,0.0,0.0
2025-01-22,0.0,2.835927847646425,0.0,0.0,0.5119647862019403,0.0,0.0,0.0,0.0,0.0
2025-01-23,28.290860222781173,0.0,0.0,0.0,0.5119360402443407,0.0,30.218302551203735,6.05194394538268,0.0,17.259336945742003
2025-01-24,0.0,2.835985339561624,0.0,0.0,0.5130858785483292,0.0,0.0,0.0,0.0,0.0
2025-01-27,28.291426518145883,2.836100323392023,0.0,0.0,0.5130571325907295,0.0,0.0,0.0,0.0,0.0
2025-02-03,28.29133165648581,2.8363877829680204,0.0,0.0,0.5133733381243263,0.0,0.0,0.0,0.0,0.0
2025-02-04,28.29118792669781,2.836531512756019,0.0,0.0,0.5146669062163134,0.0,30.21755515630614,0.0,0.0,0.0
2025-02-05,28.291762845849806,0.0,0.0,0.0,0.5147531440891124,0.0,30.21810132950054,6.052231404958678,0.0,0.0
2025-02-06,28.29118792669781,2.8364740208408192,0.0,0.0,0.5156126482213439,0.0,30.218388789076535,6.049356809198706,0.0,0.0
2025-02-07,0.0,2.836818972332016,0.0,0.0,0.5185447358965146,0.0,0.0,0.0,0.0,0.0
2025-02-10,0.0,2.8368477182896155,0.0,0.0,0.5193783686669062,3.69700610851599,0.0,0.0,0.0,0.0
2025-02-11,28.292596478620197,2.8369627021200143,0.0,0.0,0.5233453108156666,0.0,0.0,0.0,0.0,0.0
2025-02-12,0.0,2.8367499820337763,0.0,0.0,0.5252425440172476,0.0,0.0,0.0,0.0,17.259365691699603
2025-02-13,0.0,2.836692490118577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.260199324469998
2025-02-14,28.292711462450594,2.843649040603665,0.0,0.0,0.5175673445921667,0.0,0.0,0.0,0.0,0.0
2025-02-17,28.298748113546534,2.837669881422925,0.0,0.0,0.5190046424721524,0.0,0.0,0.0,0.0,0.0
2025-02-18,0.0,2.8349965073661516,0.0,0.0,0.5257599425080848,0.0,0.0,0.0,0.0,0.0
