date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HANG SENG BANK LTD,THE BANK OF EAST ASIA LTD,UOB KAY HIAN (HONG KONG) LTD
2024-09-11,30.737000340453946,3.9216523390971916,2.0810888872503215,0.8760525766501094,0.6521415164949463,1.138693414336956,0.20428268761777968,0.0,0.9044927578929425,1.0946284312272736
2024-09-12,30.822441331124573,3.976777408918565,2.0826468105114673,0.8663155562679462,0.0,1.1406125810542804,0.20330898557956337,0.0,0.903811166466191,1.118970982182681
2024-09-13,30.913675751552383,3.8736906004305673,2.0862344156712753,0.8669971476946977,0.0,1.1518314785684047,0.20350372598720662,0.0,0.0,1.1384450229470071
2024-09-16,30.876081018486644,3.851266145120242,2.0873054879133135,0.8716709174781359,0.6531152185331626,1.1596912014208867,0.20321161537574176,0.0,0.9039085366700126,1.157919063711333
2024-09-17,30.860500909543347,3.8334257816356354,2.085552824244524,0.8712814366628494,0.6535046993484491,1.1701877093928585,0.0,0.0,0.0,1.1775878448833024
2024-09-19,30.71381649492401,3.8680705870063905,2.089317935285899,0.865049743618265,0.6533099589408059,1.1705468107045527,0.0,0.0,0.0,1.177685215087124
2024-09-20,30.512501359008105,4.074589478725138,2.089544126269377,0.8457704432615823,0.6509730740490868,1.167041483366974,0.0,0.0,0.9042006472814775,1.1950171113673742
2024-09-23,30.46930871555446,4.0784402755458755,2.087499351989122,0.8512231746755937,0.6528231079216977,1.186603352055147,0.2037958365986715,0.0,0.9040059068738343,1.2135174500934838
2024-09-24,30.18827162788939,4.302550652508262,2.0854447433182823,0.8436282987775064,0.6527257377178761,1.1700092298092535,0.19571410968147623,0.0,0.0,1.2329914908578097
2024-09-25,30.166536164141306,4.3408987388409646,2.0852500029106387,0.842167745720182,0.6520441462911247,1.1456666788538459,0.19542199907001137,0.0,0.0,1.2524655316221358
2024-09-26,30.045826614574246,4.416084699645097,2.07395505926733,0.8401229714399278,0.650388852826157,1.1531387709249141,0.19444829703179503,0.0,0.9041032770776558,1.2814426121688416
2024-09-27,29.992280207867427,4.430877278379882,2.072995962759687,0.8399282310322844,0.0,1.1524086891366594,0.1969799223311574,0.0,0.9036164260585478,1.3007219125255243
2024-09-30,29.867214120640977,4.52653600612894,2.075371016771304,0.8400256012361061,0.6504862230299786,1.1542049746567609,0.1988299562037684,0.0,0.0,1.3250644634809317
2024-10-02,29.639806593836788,4.73727219611561,2.05730193067792,0.8513205448794152,0.6515572952720166,1.1518681871352454,0.2095406786241477,0.0,0.9027400942241531,1.3370409985509921
2024-10-03,29.52279107506231,4.8521244410717825,2.062170440869002,0.8386624183826032,0.6504862230299786,1.1501155234664562,0.19921943701905492,0.0,0.0,1.3644993960286917
2024-10-04,29.31186686321206,5.092211807928241,2.057205728916544,0.8178836168870675,0.6487335593611893,1.209270843394211,0.0,0.0,0.8986505456636447,1.3922499041178564
2024-10-07,29.17052408060417,5.239352596692889,2.050560309875922,0.8718267098042505,0.6492204103802973,1.227754142334652,0.0,0.0,0.896703141587212,1.4109449832516092
2024-10-08,29.286160253071316,5.248390304271205,2.0502292511829285,0.8720214502118937,0.6488309295650109,1.1414841417486878,0.0,1.9384144697349712,0.0,1.4311006154426866
2024-10-09,29.251406003591462,5.278065139698497,2.044589958458395,0.8699766759316395,0.6478572275267945,1.14713180831075,0.0,1.9384242067553532,0.0,1.4505746562070128
2024-10-10,29.23676775662973,5.222780382742856,2.0471483605638086,0.8727030416386452,0.6468835254885783,1.1432370001578849,0.22541202184707337,1.9330688455451637,0.9020585027974016,1.4915675120159189
2024-10-14,29.18667010517208,5.287757564527309,2.046953620156165,0.8734820032692183,0.6488309295650109,0.0,0.22025140104452698,0.0,0.0,1.5112362931878882
2024-10-15,29.149558133576893,5.3043771977666045,2.0465641393408784,0.8730925224539317,0.6478572275267945,1.138952711189733,0.2213224732865649,0.0,0.8983584350521797,0.0
2024-10-16,29.128066387448975,5.3098743299935585,2.0476516671473624,0.8729951522501102,0.6499020018070488,1.1397316728203062,0.22005666063688373,1.9330591085247812,0.8997216179056825,1.5113336633917098
2024-10-17,29.11977755410825,5.324201966005096,2.006084327135908,0.8738714840845048,0.6502914826223353,1.139536932412663,0.22044614145217026,0.0,0.0,1.5123073654299262
2024-10-18,29.057276983457996,5.099236191802137,2.2507756493396647,0.8710477481736775,0.6494151507879407,1.1351090223938742,0.22083562226745673,0.0,0.0,1.5125021058375694
2024-10-21,29.004038656076077,5.14867338116727,2.247659802817372,0.8665687187978826,0.649317780584119,1.136472205247377,0.2213224732865649,0.0,0.8983584350521797,0.0
2024-10-22,29.0247151214874,5.233795484420381,2.2104059628352166,0.8657897571673093,0.6202040896414517,1.1339405799480147,0.22025140104452698,0.0,0.8995268774980393,1.511528403799353
2024-10-23,29.06235133425996,5.209755852169063,2.207193330330326,0.8647186849252715,0.0,1.1354985032091607,0.22112773287892165,0.0,0.0,0.0
2024-10-24,29.071796244030658,5.20387274445416,2.2094328450182235,0.8651081657405582,0.6193277578070571,1.142801268495783,0.22161458389802982,0.0,0.0,0.0
2024-10-25,29.077293863108633,5.204398543554797,2.215664927543623,0.0,0.0,1.1354985032091607,0.22249091573242447,0.0,0.0,1.5113336633917098
2024-10-28,29.09092569164366,5.1410407256301,2.2164536261945784,0.8652055359443797,0.6202040896414517,1.168020151285585,0.22239354552860283,1.9393881717731876,0.0,0.0
2024-10-29,29.0572795150833,5.1948011520449136,2.213532520079929,0.8653029061482014,0.0,1.174295758292093,0.2229777667515326,1.9380249889196848,0.8992347668865743,0.0
2024-10-30,29.03532496837662,5.1992111459462,2.217899573721329,0.8651081657405582,0.0,1.1801379705213908,0.22434094960503545,0.0,0.0,1.515228471544575
2024-10-31,28.907970194509335,5.19036214182289,2.2197496075939407,0.8655950167596661,0.0,1.19561983292903,0.22395146878974892,1.939777652588474,0.8995268774980393,1.5171758756210076
2024-11-01,28.86697928610451,5.184316523237809,2.2213075308550865,0.8650107955367364,0.6203988300490949,1.1952303521137435,0.21431181861140755,0.0,0.0,1.5193180201050835
