date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA MERCHANTS BANK CO LTD,HANG SENG BANK LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD
2024-09-16,12.080949607008243,3.5682023548314206,0.07101651031874796,2.020830064929359,0.0,5.309953775587712,0.0,3.955207122457935,0.0
2024-09-17,12.081251437956775,3.566032046582457,0.07757055377257291,0.0,0.0,5.311376692916503,0.0,3.9545459689516282,0.0
2024-09-19,12.081208319249843,3.5672824890835155,0.0,0.0,2.5089050816069633,5.310255606536243,0.0,3.955005901825581,0.0
2024-09-20,12.212286313745878,3.5673687264973815,0.0,2.0228422712529017,0.0,0.0,0.0,3.9549484102163373,1.5184827562569123
2024-09-23,12.213910451707024,3.821812216109362,63.919530480124244,0.0,0.0,5.312928966366092,0.0,3.9555233263087777,0.0
2024-09-24,12.11490990058872,3.8229620482942437,63.87349407402205,2.0242508156793817,0.0,0.0,0.0,3.9556814282341985,0.0
2024-09-25,12.203904008372286,3.8264115448488885,63.85134543156077,2.024394544702492,0.0,0.0,0.0,3.9553795972856673,0.0
2024-09-26,12.220986030294107,3.771550176727726,63.68749434521515,2.0246820027487122,2.517528822993575,0.0,0.0,3.954459731537762,0.0
2024-09-27,12.226490851879227,3.7642774881583505,63.600222082382636,2.028850144418908,2.258816581395222,5.313000830877648,0.0,3.9458503630534616,0.0
2024-09-30,12.269796406542328,3.7139723300697822,63.512446767969244,2.04790861288332,2.271148531578077,5.310011267196956,0.0,3.8784414512147793,1.519057672349353
2024-10-02,12.235450229280605,3.9551496308486906,0.6777254626715083,2.051415601047209,0.0,5.30992502978309,0.0,3.8669431293659637,1.518339027233802
2024-10-03,12.252186266697993,3.909170716355739,0.6484909793708944,2.0444159976217424,0.0,5.310269979438554,0.0,3.8672880790214283,1.5185833665730892
2024-10-04,12.227852943085438,3.888646211855603,0.0,2.0568916768277075,2.2706023612902584,5.310543064582464,0.0,3.870248896897498,1.519733198757971
2024-10-07,12.244728167688805,3.872174865807175,0.0,2.0726012590536516,2.044372878914809,5.310557437484775,0.0,3.870234523995187,0.0
2024-10-08,12.175723145048485,3.8676617744815145,0.0,2.0752602459811906,2.057308490994727,5.310442454266286,0.0,3.869214047931105,1.5202937419481006
2024-10-09,12.19187449279986,3.7923765121763937,0.0,2.0503663791785045,2.0734061415830687,5.321107147781063,0.0,3.869127810517239,1.5215585573514705
2024-10-10,12.149451434338655,3.740289114201259,63.597146281288076,2.0612035475210133,2.0762807220452726,5.325864578446011,0.0,3.869400895661148,1.5228521185594621
2024-10-14,12.138441072523298,3.6990532574709434,63.57253987253161,2.0942037312271142,0.0,5.326971291923959,0.0,3.8693721498565257,1.5236138823819463
2024-10-15,12.168725870033192,3.9187430692948784,63.49249717956154,2.0971358032985625,2.0832659525684285,5.3266838338777385,0.0,3.8708956775014944,1.524160052669765
2024-10-16,12.183893593842011,3.9005900936760605,63.53481100396519,2.097020820080074,0.0,0.0,0.0,3.8705363549437184,1.5236426281865683
2024-10-17,12.167795943253669,3.8771335171044767,63.58745894513045,2.096733362033854,0.0,5.3266550880731165,0.0,3.8709675420130494,1.5237001197958124
2024-10-18,12.152353610773297,3.8430669502843116,63.59231698611157,2.0965896330107436,0.0,5.326928173217025,0.0,3.8725054425603282,1.524303781692875
2024-10-21,12.151100983591085,3.799071496310281,63.67237405198395,0.0,0.0,5.32810675120653,0.0,3.872232357416419,1.5244187649113634
2024-10-22,12.18437824810794,3.7326686876333697,63.60124255844672,2.0889719947859033,0.0,5.328854142126702,0.0,3.872146120002553,1.5238438488189225
2024-10-23,12.100196159272297,3.706150682869539,63.53581710712696,2.1020944545958637,0.0,5.328911633735946,0.0,0.0,0.0
2024-10-24,12.369760919472828,3.7616588315946964,62.92387641833298,2.124832386051897,0.0,5.328969125345191,0.0,3.88098545492383,1.5244906294229184
2024-10-25,12.35100715653741,3.7879899886284845,60.13307560369999,2.1097264657230155,0.0,5.328624175689726,0.0,3.8721604929048636,1.5276239221267207
2024-10-28,12.353944115395644,3.786380511027697,60.1823890315291,2.1106750772755425,0.0,5.328811023419769,0.0,3.872577307071883,1.5282994485353387
2024-10-29,12.363674570260203,3.7768081580885577,60.19957902269309,2.1049690350580677,2.0834096815915384,5.328796650517459,0.0,3.8724479509510843,1.5274370743966774
2024-10-30,12.366345630425684,3.7781592109057933,60.13526028485127,0.0,0.0,5.329127227270612,0.0,0.0,0.0
2024-10-31,12.363232459785117,3.7846988814573073,60.08035579802318,2.102238183618974,2.0645236879548587,5.329026616954435,0.0,3.8729653754342808,1.526287242211796
2024-11-01,12.343708309285827,3.7928195712630335,60.02397090225704,2.1000822482723214,0.0,5.329314075000656,0.0,0.0,0.0
2024-11-04,12.36500895051076,3.8180871335258058,59.91768328966705,0.0,0.0,5.327230004165558,0.0,0.0,0.0
2024-11-05,12.356144635485263,3.8323019339114044,59.94249091905587,2.0997947902261007,0.0,5.327517462211778,0.0,3.8724479509510843,0.0
2024-11-06,12.357121992842414,3.85549979824139,59.87025271204069,2.0987886870643293,0.0,0.0,0.0,0.0,0.0
2024-11-07,12.406997027456423,3.9016943062690066,59.650879104067585,2.101318317871069,0.0,5.328437327959683,2.7021056344716894,0.0,0.0
2024-11-08,12.410486768137538,3.894982160889761,59.67276903428728,2.10189323396351,0.0,5.3284804466666165,0.0,0.0,1.526373479625662
2024-11-11,12.420303460415964,3.889391101890774,59.54822783576229,2.101275199164136,0.0,5.327905530574175,0.0,3.873008494141214,1.5277389053452088
2024-11-12,12.374683868480789,3.885927232433818,59.572431803254055,2.099564823789125,2.064811146001079,5.3294434311214545,0.0,3.8741008347168515,1.5219035070069349
