date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-06-17,23.342857069854784,17.235221599154958,5.004159412251049,2.649393033515876,2.1975340307829145,2.108360785755692,1.7591659791156538,1.510580932411035,1.0105106618798458,56.81778350472181
2024-06-20,23.342857069854784,17.235221599154958,5.008480295924994,2.6580348008637653,2.1975340307829145,2.108360785755692,1.7591659791156538,1.510580932411035,1.0105106618798458,56.83074615574364
2024-06-21,23.342857069854784,17.235221599154958,5.008480295924994,2.6580348008637653,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,56.82815362553928
2024-06-27,23.342857069854784,17.235221599154958,5.011072826129361,2.6666765682116544,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,56.839387923091536
2024-07-12,23.342857069854784,17.235221599154958,5.011072826129361,2.679639219233488,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,56.852350574113366
2024-07-16,23.342857069854784,17.37867493712992,5.011072826129361,2.679639219233488,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,56.99580391208833
2024-07-17,23.342857069854784,17.37867493712992,5.006751942455416,2.679639219233488,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,56.99148302841438
2024-07-23,23.342857069854784,17.37867493712992,5.006751942455416,2.6865526331117997,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,56.9983964422927
2024-07-25,23.342857069854784,17.37867493712992,5.006751942455416,2.7038361678075784,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.01567997698847
2024-08-02,23.342857069854784,17.37867493712992,5.017122063272883,2.7228480559729347,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.04506198597129
2024-08-05,23.342857069854784,17.37867493712992,5.017122063272883,2.731489823320824,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.05370375331918
