date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BNP PARIBAS,HANG SENG SECURITIES LTD
2024-11-22,21.921193933143435,13.998515538014576,3.668906197375965,1.9191190959777074,1.2641628506043554,1.7647442294776141,0.8652029674459648,1.306463189479537,0.664467012636582
2024-11-25,21.719936765861284,14.373779563131276,3.5856692440051394,1.9274465111138526,1.2622832670903523,1.7327013053624725,0.8099071685260577,1.2970638729918988,0.6694238073604781
2024-11-26,21.514264647609156,14.62177351071749,3.6073968249525667,1.9464225202345489,1.2670087447271332,1.7411388714924825,0.8317785626110747,1.1207594306518294,0.6812980844990557
2024-11-27,21.381179093282103,14.787859179266167,3.546638539111032,1.94760342700957,1.2695191409527988,1.7357124810515439,0.8303906600883839,1.1164906170054112,0.6748872966561502
2024-11-28,21.1290128353352,15.000734247248676,3.5687133710666172,1.955969394993568,1.2708469671234361,1.7304252333460546,0.8350390320294597,1.116810032857419,0.6671767270856452
2024-11-29,21.234195237304217,15.032567884475476,3.508983840432279,1.9497348487408452,1.266496002865794,1.697192182817706,0.8351271528245514,1.1073586479949813,0.666185368140866
2024-12-02,21.208058906887764,15.05907021359924,3.539447739035275,1.9451742781569785,1.2752522798814507,1.6929403544545418,0.844600138296886,1.0860787317017178,0.6655464923764527
2024-12-03,21.1251727293569,15.425630690981045,3.5281836323121096,1.9209410595068204,1.2393543022981441,1.6492985306854835,0.8316243512196647,1.0541975973663642,0.6591577347323201
2024-12-04,21.18437579331606,15.667195158100693,3.491226541907698,1.9226153546135585,1.2543554687448475,1.3913298598498842,0.8314921700270275,1.075191220211475,0.6579240436010393
2024-12-05,21.18385777522212,15.717622283091796,3.477379394378413,1.9324958987631913,1.205328252734767,1.3744326973910919,0.8337392503018604,1.0366216514380815,0.6541128192133325
2024-12-06,21.12593962260638,15.696494848819338,3.490150763241221,1.9339058314846551,1.1653283292456473,1.3466746469372741,0.8263371035141756,1.0283580357575823,0.6510726517826763
2024-12-09,21.08938808613118,15.72557471119953,3.492511398175629,1.937654269805859,1.1655382109493566,1.3492521801936999,0.8237595702577496,1.0379403681215262,0.6494644472722567
2024-12-10,21.086625378038967,15.589077582320709,3.5235692970281374,1.9329618374672373,1.1612219112094835,1.3533057367679082,0.8248390499976204,1.0553247174110814,0.6569767450538058
2024-12-11,20.978275716422573,15.49105378329194,3.654844817178714,1.9385075104194318,1.1818561774522114,1.343041371480155,0.8138019204124118,1.0342551234255022,0.6550160573630203
2024-12-12,21.02178581061807,15.512577287493036,3.597321247453198,1.954595063073321,1.1653896943643292,1.2925136896467537,0.8153880947240585,1.041999839804105,0.656271778693074
2024-12-13,20.936128289157075,15.695471997705415,3.454405157527727,1.9689571554838219,1.1370516438523186,1.1943250937160663,0.8306979813612656,1.0392006166574277,0.6611845130194243
2024-12-16,20.874463427590737,15.704362857205375,3.491259014420689,1.9720772925360237,1.1310594297860976,1.2028287504423947,0.8381221583477231,1.0278201904847415,0.6636078348844401
2024-12-17,20.651423978377608,15.800260312463685,3.8338490824085976,1.976887035683111,1.144855973948801,1.1568480245300183,0.8400167554421901,0.8710840171291778,0.6655342546010344
2024-12-18,20.531583772639962,15.927785191273177,3.8609035984646036,1.9855008434033035,1.155287713671731,1.1684887815616034,0.8467029207697565,0.8101428255623312,0.6654901942034888
2024-12-19,20.259958978128633,15.940981280338129,4.0736272749211455,1.9964663748425002,1.157602327520902,1.1848043357576927,0.8524748328482488,0.7895632382729577,0.6663273417568578
2024-12-20,20.116922283879983,16.040557778791506,4.095876817368098,2.0006288707496407,1.1567266932102769,1.181323564351579,0.8567641566097245,0.7873268426445297,0.6686405126280093
2024-12-23,19.571070135295102,16.260154800159487,4.229181208674662,2.058632908095293,1.2004877333999944,1.2128109198989667,0.8692552793139425,0.7957972117405123,0.6824314170598267
2024-12-27,19.38485083677081,16.371363243564943,4.217337443361385,2.0909567172447887,1.1718493341730136,1.1896615870284335,0.8876102901765295,0.784154119507857,0.6943938149934958
2024-12-30,19.541532342188116,16.358739939668087,4.077058269093131,2.100225923378474,1.1666216671401057,1.1908291875633956,0.8724314832220211,0.7834238955242321,0.699328579518619
2025-01-02,19.49804313262106,16.392269902200397,4.080902891262178,2.105848999434057,1.161719947913142,1.1256243924921405,0.8789028981719497,0.7885195245607948,0.7003860290597168
2025-01-03,19.39371654879887,16.550843272967526,4.095450610127539,2.102764771605855,1.1582065828279438,1.115105633484058,0.8806653140737795,0.7930388325823597,0.6932041842597608
2025-01-06,19.194209956186707,16.66566466897173,4.069379202706871,2.1073822902535495,1.1771305235738403,1.0722128364732773,0.8790541905620224,0.7881498688404853,0.6904504094131519
2025-01-07,19.042504114358547,16.774559941506034,4.037553925940507,2.12508465647749,1.1750376546904175,1.1088710872313352,0.882556992166909,0.8123481365802907,0.6817837071857056
2025-01-08,19.102489393570437,16.782645024455675,4.102505208499383,2.1050151453954045,1.1571341086912827,1.1082454295861857,0.8626416924762332,0.8322860172247086,0.6795366269108727
