date,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD
2024-07-23,56.465519744536074,16.856447468179493,0.0,9.59097529403501,4.993977965540078,3.0801998369768095,1.958669141157944,3.233678030167981,1.8985542895972627,1.9219782298093513
2024-07-24,56.51277881638613,16.870876220271068,0.0,9.598842168022932,4.998157697960126,3.104583535720934,1.9511692996168184,3.1398621306628542,1.900143293187228,1.9235868381719017
2024-07-25,56.51676595499588,16.871264771836316,0.0,9.583324303768867,4.99851033231916,3.1072077843929375,1.9590036366876549,3.1399233095138035,1.900277353745689,1.9237225527396917
2024-07-26,56.493485391526654,16.863834263415438,0.0,9.578575303888881,4.996451330267701,3.1532108595023867,1.955632175752119,3.13638596319502,1.8994945855388485,1.9229301269129573
2024-07-29,56.48216909180833,16.860616491279583,0.0,9.567682645166748,4.99545048317198,3.1734116398867833,1.9616504107537323,3.1357577087450452,1.8991140947637744,1.924147434424016
2024-07-30,56.46732898071291,16.85650695141696,0.0,9.564367798773008,4.994137979751272,3.2031774271692015,1.9611350072114453,3.1310888485631434,1.8986151219976366,1.923641884404426
2024-07-31,44.13669389922893,13.175842438170118,0.0,7.475819761516841,3.90358005738299,2.503582038412615,1.5303822010974728,2.446859600335663,1.484019095372464,1.503580823748433
2024-08-01,56.465519744536074,16.856607670212195,0.0,9.56310014034419,4.993977965540078,3.2114053017629165,1.9578681309944148,3.12938650687646,1.8985542895972627,1.9235802501364099
2024-08-02,56.46190161997209,16.85584793783656,0.0,9.560565067168689,4.993657967877241,3.2177673879533275,1.9591844031592347,3.129185986094185,1.8984326364903343,1.923456993448341
2024-08-05,56.46063538591546,16.85595048730885,0.0,9.559389529593087,4.993545978383359,3.2205786123428624,1.958980277639907,3.129115809891269,1.898390061586026,1.9234138573391826
2024-08-06,56.45150209418966,16.853704290060712,0.0,9.557843165605192,4.992738202986304,3.2299876992980114,1.9644292268228452,3.1286096319614556,1.8980829706345455,1.9231027184412854
2024-08-07,56.470223999765565,16.85977439703923,0.0,9.528168831698478,4.994394023818948,3.228014819057437,1.9673237369074095,3.1296472223167267,1.8987124619471452,1.92374050744905
2024-08-08,56.462353860185154,16.857905263928423,0.0,9.521874925735503,4.99369796534241,3.26248702226037,1.950549670814895,3.12921104978663,1.8984478422761009,1.9234723996705116
2024-08-09,56.459911849096414,16.857656713627446,0.0,9.51986124101427,4.993481986642063,3.2807673229217107,1.9214716209340226,3.129075710617075,1.8983657339266384,1.9394078212203698
2024-08-12,56.266736962325496,16.80045796198389,0.0,9.487129853252831,4.976397026964117,3.3150391796241325,2.1944644959151263,3.1182100897472207,1.8918705664052786,1.9496938637819126
2024-08-13,56.25613982997832,16.797772630955766,0.0,9.484225815736112,4.975459785162766,3.359264678086387,2.178090397402357,3.1082059428434765,1.8915142563745526,1.949326663460259
2024-08-14,56.2517404987102,16.796937801454863,0.0,9.483484132227233,4.9750706952630255,3.3679393258616583,2.176324111761917,3.107962875551027,1.8913663365592697,1.949174222610811
2024-08-15,56.24976551256181,16.796667244493825,0.0,9.48315116920007,4.9748960216329605,3.371810825813254,2.1754497519933818,3.107853755662922,1.8912999311061565,1.9491057875356235
2024-08-16,56.24940643907088,16.79687919980589,0.0,9.483090632979799,4.974864264108903,3.3727468349730185,2.174797509355663,3.1078339165064888,1.8912878578883845,1.9490933453109685
2024-08-19,56.24994505102641,16.79735921788097,0.0,9.483181437600036,4.974911900547035,3.3729387208679453,2.173382020261117,3.1078636753361226,1.8913059677728452,1.9491120087075209
2024-08-20,56.22930563755693,16.79151493970906,0.0,9.479701837708529,4.973086489631584,3.4198797311366906,2.174658469939144,3.092844056538912,1.8906120036128669,1.9483968341662914
2024-08-21,56.235675318459776,16.79389573981291,0.0,9.47503190523859,4.973649843094375,3.4199480367908914,2.174904816223686,3.0874506179616734,1.890826172986605,1.948617549431491
2024-08-22,56.23549587107568,16.794161249521213,0.0,9.459206278251685,4.973633972235731,3.435732516047189,2.1748978761277824,3.087440765942759,1.8908201393823387,1.9486113314156162
2024-08-23,56.209577757602624,16.786740019215028,0.0,9.442567026130783,4.9713416974425755,3.4478639633592936,2.2182297931087,3.0860178098742908,1.889948688172199,1.9477132450945087
2024-08-26,44.13669389922893,13.181477478191361,0.0,7.413208205725243,3.90358005738299,2.7193414596704635,1.7411647550085583,2.423192432246439,1.484019095372464,1.5293767847345714
2024-08-27,44.13669389922893,13.18172792441453,0.0,7.413208205725243,3.90358005738299,2.7187153441125473,1.7392864083348103,2.4225663166885227,1.484019095372464,1.5293767847345714
2024-08-28,44.14433250903551,13.181978370637696,0.0,7.406947050146083,3.90358005738299,2.7413807273091058,1.7094833077780096,2.4132998064313664,1.484019095372464,1.5293767847345714
2024-08-29,44.153724242404245,13.18222881686086,0.0,7.395426523880428,3.90358005738299,2.7582858473728376,1.6970862197312728,2.4132998064313664,1.484019095372464,1.5293767847345714
2024-08-30,44.20519094126494,13.182479263084026,0.0,7.394424738987763,3.90358005738299,2.715584766322967,1.7066031762115959,2.4132998064313664,1.484019095372464,1.5293767847345714
2024-09-02,44.235244488044906,13.182729709307194,0.0,7.380399750490446,3.90358005738299,2.745387866879768,1.7083562997737607,2.4132998064313664,1.484019095372464,1.5293767847345714
2024-09-03,44.39665707887565,13.18298015553036,0.0,7.379022296263031,3.90358005738299,2.693295052461158,1.6622741947111441,2.4057864197363745,1.484019095372464,1.525870537610242
2024-09-04,44.46465322846532,13.183230601753525,0.0,7.379022296263031,3.90358005738299,2.7222215912368766,1.6597697324794805,2.4056611966247914,1.484019095372464,1.5246183064944099
2024-09-05,44.493704990352626,13.183481047976695,0.0,7.379022296263031,3.90358005738299,2.7336168943909476,1.6555121466856517,2.405410750401625,1.484019095372464,1.523366075378578
2024-09-09,44.505726409064614,13.18373149419986,0.0,7.376517834031366,3.90358005738299,2.734368233060447,1.6635264258269764,2.405410750401625,1.484019095372464,1.523240852266995
2024-09-10,44.531522370050745,13.183981940423026,0.0,7.376517834031366,3.90358005738299,2.71921623655888,1.6689110196250536,2.405285527290042,1.484019095372464,1.523240852266995
2024-09-11,44.61504618547674,13.184232386646192,0.0,7.371884578902789,3.90358005738299,2.7507724606778456,1.662649864045894,2.394516339693887,1.484019095372464,1.5197346051426652
2024-09-12,44.61504618547674,13.18448283286936,0.0,7.371884578902789,3.9034548342714066,2.77130905097749,1.6541346924582363,2.394516339693887,1.484019095372464,1.5184823740268332
2024-09-13,44.61504618547674,13.184733279092525,0.0,7.37113324023329,3.9034548342714066,2.788589840375971,1.6547608080161524,2.394516339693887,1.484019095372464,1.51835715091525
2024-09-16,56.531095925557764,16.706506963011332,0.0,9.339858991770821,4.946012579700327,3.5527404156841143,2.08704531204569,3.034057890062545,1.880379670281938,1.9223022518854775
2024-09-17,48.58459118556026,14.358367113348969,14.016237016758911,8.026830447480764,4.250757839540464,3.1046092795085465,1.786308299726046,2.6074278406856544,1.61605707546497,1.6488139019254218
2024-09-19,48.667552881907184,14.383841243885842,14.040170753174841,8.040536839856667,4.260748264764099,3.0237176207719423,1.7056139199509106,2.6118802119310827,1.6171774399378742,1.6487608238195566
2024-09-20,48.658579919418635,14.381872119328603,14.037582130611332,8.03905438530164,4.25996269959616,3.0403682379934414,1.7058457406431349,2.6113986528269484,1.6168792767542621,1.648456837525842
2024-09-23,48.7119295133437,14.39791394458815,14.054340250200756,8.047868458538213,4.2660005715527465,3.058877862743831,1.561844033367502,2.614261807853986,1.6395705036235029,1.6473930541876138
2024-09-24,48.71473055757532,14.398207074154817,14.054359465605382,8.026824241383828,4.268740848327955,3.0736480436159166,1.5633501130679006,2.613171604448536,1.6395727452805338,1.647395306539809
2024-09-25,48.71706180410363,14.405732538924692,14.05503203787124,8.02707163681518,4.277559040637781,3.0758460645349324,1.5412748692852611,2.6132966579418224,1.6396512071385099,1.6474741427469513
2024-09-26,48.8219055629566,14.403572986255417,14.053725384994426,8.019489582688774,4.270872431273051,3.1947765011264173,1.335920802912533,2.613053707830655,1.64086593425331,1.645817105708816
2024-09-27,48.74005317920852,14.416771726185926,14.061665124960799,8.020463618144511,4.281492884164025,3.230095763777484,1.34666144918856,2.614529968849708,1.6417929517152825,1.646473333805179
2024-09-30,44.617550647708406,13.197756482697178,12.87230962997159,7.342081478345988,3.9382668592915353,2.957265371678537,1.206211622325142,2.3933893316896384,1.5029277852215264,1.503580823748433
2024-10-02,48.64609222468737,14.394986410256122,14.034557081552634,7.998448368735132,4.291670524764784,3.1560135964884375,1.3294566944994939,2.5965193751980875,1.912915814801788,1.6393399090161478
