date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD
2024-12-30,46022039.0,22616004.0,15192587.0,12304439.0,391456.0,0.0,1811646.0,0.0,0.0
2025-01-02,45955839.0,22612349.0,15145587.0,12271239.0,387386.0,2724779.0,1736046.0,0.0,144800.0
2025-01-03,45950439.0,22547076.0,15094587.0,12257839.0,382044.0,2938379.0,1742246.0,2759069.0,0.0
2025-01-06,46561839.0,22327924.0,14901187.0,12185839.0,387321.0,2935379.0,1795846.0,2771069.0,136400.0
2025-01-07,46434039.0,22426084.0,14792587.0,12154239.0,381321.0,2934179.0,1792446.0,2769069.0,0.0
2025-01-08,46408039.0,22461423.0,14798387.0,12154039.0,379721.0,2927979.0,1802646.0,2770869.0,0.0
2025-01-09,47110439.0,22271200.0,14507187.0,12114639.0,379244.0,2945379.0,1909246.0,2780669.0,0.0
2025-01-10,47065839.0,22204799.0,14472587.0,12165439.0,378444.0,2953179.0,1949646.0,2783869.0,0.0
2025-01-13,47102839.0,22232985.0,14698187.0,12158839.0,378321.0,2962579.0,1933846.0,2790869.0,0.0
2025-01-14,47119439.0,22130785.0,14909387.0,12140839.0,376121.0,2970979.0,1956246.0,2792269.0,0.0
2025-01-15,47203239.0,22183178.0,14830291.0,12107439.0,378321.0,2987654.0,1955846.0,2785394.0,11219917.0
2025-01-16,47457239.0,21970153.0,14794891.0,12080439.0,374321.0,2998054.0,1953446.0,0.0,11224317.0
2025-01-17,47518039.0,21857709.0,14722491.0,0.0,369994.0,2999054.0,2058646.0,2786594.0,11219917.0
2025-01-20,47613839.0,21635174.0,14682691.0,12074239.0,369194.0,3012254.0,2044246.0,0.0,0.0
2025-01-21,47891039.0,21680620.0,14596251.0,12074839.0,360394.0,3001054.0,2033046.0,0.0,0.0
2025-01-22,47991439.0,21639293.0,14554851.0,12074239.0,362521.0,3003054.0,2043246.0,0.0,11230317.0
2025-01-23,48084239.0,21626720.0,14530051.0,12068239.0,351794.0,3005054.0,2078246.0,0.0,0.0
2025-01-24,48130839.0,21595620.0,14516251.0,12067839.0,349994.0,3001654.0,2078446.0,0.0,0.0
2025-01-27,48269039.0,21585893.0,14486451.0,12068639.0,351721.0,2986254.0,2052646.0,2785594.0,0.0
2025-02-03,48227439.0,21606093.0,14540051.0,0.0,347121.0,2959454.0,2059846.0,2784594.0,0.0
2025-02-04,48260039.0,21516093.0,14524451.0,12068039.0,361121.0,3007454.0,2054446.0,2795394.0,145800.0
2025-02-05,0.0,21619536.0,14522651.0,12066839.0,367394.0,3030454.0,2064646.0,0.0,0.0
2025-02-06,0.0,21668072.0,14577921.0,12068439.0,360921.0,3014454.0,2091646.0,2790394.0,0.0
2025-02-07,48282239.0,21658082.0,14517021.0,12079039.0,387121.0,3013854.0,2082046.0,2787794.0,0.0
2025-02-10,48269239.0,21733663.0,14581221.0,12075239.0,356721.0,3111654.0,2068846.0,2772794.0,11229317.0
