date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CMB INTERNATIONAL SECURITIES LTD,CHIEF SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-09-27,50.8278755169978,20.813376073998644,2.9141155823137797,2.24976195861334,0.5629926016095634,0.493965140935754,0.002046854081626809,0.02135730640434289,1.0040896562001407,0.5885957836187545,79.47817647477376
2024-09-30,50.674006355284526,20.802973337510146,2.914559868390059,2.250104957332822,0.5630784354644254,0.4940404508636158,0.0020471661450103484,0.021360562539384294,1.0047006584571183,0.5620184882564496,79.28889028024356
2024-10-02,50.674006355284526,20.749073607823753,2.914559868390059,2.250104957332822,0.5614622516657329,0.4945791787965133,0.0026128304745526815,0.023515474270974134,1.0085256267806901,0.5172045398403576,79.19564469065999
2024-10-03,50.674006355284526,20.61191347610806,2.914559868390059,2.250104957332822,0.5763850154069926,0.49762299161738394,0.0023165301114590788,0.023165301114590788,1.0079330260545032,0.54389029331445,79.10189781473485
2024-10-04,50.674006355284526,20.477231492883696,2.914559868390059,2.250104957332822,0.5760617786472542,0.5131922288781205,0.0020202297483654756,0.022976746338076674,1.006693951808839,0.5686987146243782,79.00554632393614
2024-10-07,50.674006355284526,20.433890830682095,2.914559868390059,2.250104957332822,0.5762503334237682,0.5116029814760731,0.003097685614160396,0.022788191561562563,1.0154213443217777,0.6081066629158273,79.00982921100268
2024-10-08,50.674006355284526,20.36654983906991,2.914559868390059,2.250104957332822,0.5761156514405439,0.5127073737385128,0.003097685614160396,0.02321917390788053,1.0099263194062238,0.6348275683875413,78.9651147925722
2024-10-09,50.674006355284526,20.332044314967828,2.9159066882223024,2.250104957332822,0.5766274429767965,0.5009900411979931,0.0021549117315898406,0.03237754876713735,1.0142361428694033,0.6422889502581711,78.94073735360858
2024-10-10,50.6710433516536,20.332044314967828,2.9167955893115836,2.250104957332822,0.5762233970271233,0.5003166312818713,0.0021549117315898406,0.02965697270600518,1.0128085138472251,0.6450095263193034,78.93615816617896
2024-10-14,50.66915780388845,20.332044314967828,2.91218946548531,2.250104957332822,0.5762503334237682,0.49942773019259046,0.0021549117315898406,0.030599746588575734,1.0134011145734123,0.6356625966835324,78.92099297486789
