date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2025-01-13,3.064102985881535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,3.066778769513871,2.973263074925728,0.0,0.0,0.7533222852902938,0.0,0.0,0.0,0.0,0.0
2025-01-17,0.0,2.9657708807551875,1.3993334275119977,0.0,0.0,0.0,0.0,0.0,1.5668878768212995,0.0
2025-01-20,0.0,2.9655924951796986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6582723097462873
2025-01-21,3.041448017794425,2.991636789201101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22,3.041626403369914,2.9909232468991447,0.0,0.0,0.0,0.0,0.0,0.0,1.5663527200948324,1.6584506953217764
2025-01-23,0.0,2.991993560352079,0.0,0.0,0.0,1.150321524168099,0.0,0.0,1.561893080707606,0.0
2025-01-24,3.0430534879738262,2.991458403625612,1.3989766563610198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,0.0,2.9903880901726776,1.396657643879662,0.0,0.7535006708657828,0.0,0.0,0.0,0.0,0.0
2025-02-03,3.044658958153228,0.0,0.0,0.0,0.0,1.1521053799229897,0.0,0.0,0.0,0.0
2025-02-04,3.0475131273610527,2.9960964285883276,1.3975495717571074,0.0,0.7536790564412719,0.0,0.0,0.0,1.5668878768212995,0.0
2025-02-05,0.0,2.9957396574373494,0.0,0.0,0.0,1.1524621510739679,0.0,0.0,1.5663527200948324,0.0
2025-02-06,3.0311016544160596,2.987177149813874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-07,0.0,2.9907448613236554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-10,3.0364532216807314,2.9905664757481665,0.0,0.0,0.7806152783401198,1.152997307800435,0.0,0.0,0.0,0.0
2025-02-11,3.041804788945403,3.019108167826416,0.0,0.0,0.0,1.1535324645269023,0.0,0.0,0.0,0.0
2025-02-12,3.0437670302757827,3.0183946255244596,0.0,0.0,0.7825775196704995,1.1528189222249459,0.0,0.0,0.0,0.0
2025-02-13,3.064102985881535,3.0144701428637,0.0,0.0,0.0,1.1661978403866256,2.3459189128655007,0.0,1.5677798046987448,1.6580939241707984
2025-02-14,3.0639246003060463,3.013221443835277,0.0,0.0,0.0,1.1686952384434723,2.3437782859596323,0.0,1.5866886757005851,1.6616616356805793
2025-02-17,3.057681105163929,3.0116159736558754,1.39701441503064,0.0,0.0,1.1692303951699394,0.0,0.0,1.5922186285407456,0.0
2025-02-18,3.062497515702134,3.049255330084067,0.0,0.0,0.0,0.0,0.0,0.0,1.596678267927972,1.6580939241707984
2025-02-19,0.0,3.049076944508578,0.0,0.0,0.0,0.0,2.343421514808654,0.0,0.0,0.0
2025-02-20,0.0,3.059601693462432,0.0,0.0,0.0,1.168160081717005,0.0,0.0,0.0,0.0
2025-02-21,3.0616055878246886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,3.074092578108923,3.0579962232830304,0.0,0.0,0.8079082713899457,1.1704790941983627,0.0,0.0,0.0,0.0
2025-02-25,3.068384239693273,3.0515743425654245,0.0,0.0,0.0,1.17101425092483,0.0,0.0,1.5993540515603082,0.0
2025-02-26,3.057145948437462,3.040871208036081,0.0,0.0,0.8257468289388515,1.1699439374718956,0.0,0.0,0.0,0.0
2025-02-27,3.087649881846091,3.0441713411826288,0.0,0.0,0.8435853864877574,0.0,0.0,0.0,0.0,1.6595210087747108
2025-02-28,3.0858660260912005,3.0213379875200292,1.4032579101727571,0.0,0.0,0.0,0.0,0.0,0.0,1.6580939241707984
2025-03-03,3.087114725119624,3.0538041622590377,0.0,0.0,0.0,1.1735116489816768,0.0,0.0,1.6011379073151988,0.0
2025-03-04,3.0944285337146753,3.0874298432387253,0.0,0.0,0.0,0.0,2.3412808879027853,0.0,0.0,0.0
2025-03-05,0.0,3.0399792801586356,0.0,0.0,0.0,1.1699439374718956,0.0,0.0,0.0,1.6589858520482434
2025-03-06,3.0949636904411424,3.043546991668417,0.0,0.0,0.0,1.170835865349341,0.0,0.0,0.0,0.0
2025-03-07,0.0,3.059601693462432,0.0,0.0,0.0,0.0,2.3389618754214276,0.0,1.6038136909475345,0.0
2025-03-10,3.0978178596489676,3.0683425866613963,0.0,0.0,0.0,1.168160081717005,0.0,0.0,0.0,0.0
2025-03-11,0.0,3.068520972236885,0.0,0.0,0.0,0.0,2.334859007185179,0.0,0.0,0.0
2025-03-12,3.11244547683907,3.062455862670257,0.0,0.0,0.0,1.1699439374718956,0.0,0.0,1.6064894745798703,0.0
2025-03-13,0.0,3.0619207059437903,0.0,0.0,0.0,1.171192636500319,0.0,0.0,0.0,0.0
2025-03-14,3.109948078782223,3.062099091519279,0.0,0.0,0.0,1.1756522758875456,0.0,0.0,0.0,1.6593426231992214
2025-03-17,3.111196777810647,3.0672722732084616,1.3977279573325962,0.0,0.0,0.0,0.0,0.0,1.5886509170309644,0.0
