date,THE HONGKONG AND SHANGHAI BANKING,GAOYU SECURITIES LIMITED,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,ONE CHINA SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-08-05,22.23696682464455,14.488106522229746,1.163439404197698,1.1773414579101784,1.0616113744075828,0.0,0.0,0.22459941322500562,0.0,0.24319566689234937,40.59526066350711
2024-08-06,22.23696682464455,14.474565560821484,1.1722861656510946,1.1773414579101784,1.0616113744075828,0.0,0.0,0.21647483638004963,0.0,0.24427894380501017,40.583525163619946
2024-08-07,22.24057774768675,14.474565560821484,1.1722861656510946,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2161137440758294,0.0,0.23669600541638458,40.57919205596931
2024-08-08,22.24057774768675,14.474565560821484,1.1722861656510946,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2139471902505078,0.0,0.23669600541638458,40.57702550214399
2024-08-09,22.244188670728953,14.474565560821484,1.1722861656510946,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2123222748815166,0.0,0.23669600541638458,40.5790115098172
2024-08-13,22.24689686301061,14.474565560821484,1.1722861656510946,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2096140825998646,0.0,0.23669600541638458,40.5790115098172
2024-08-14,22.24689686301061,14.474565560821484,1.1722861656510946,1.1773414579101784,1.0616113744075828,0.0,0.0,0.20943353644775448,0.0,0.23669600541638458,40.578830963665084
2024-08-15,22.24689686301061,14.469690814714511,1.1722861656510946,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2119611825772963,0.0,0.23669600541638458,40.576483863687656
2024-08-16,22.25231324757391,14.468968630106072,1.1731888964116453,1.1773414579101784,1.0616113744075828,0.0,0.0,0.20907244414353418,0.0,0.23669600541638458,40.57919205596931
2024-08-21,22.25231324757391,14.468968630106072,1.1731888964116453,1.1773414579101784,1.0616113744075828,0.0,0.0,0.20835025953509367,0.0,0.23669600541638458,40.578469871360866
