date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FB SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,EVERBRIGHT SECURITIES INVESTMENT,THE BANK OF EAST ASIA LTD,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-10-31,40.96438666477833,17.220393842935945,14.168955679306613,4.328008020071739,4.361198384381924,3.8681286864210227,3.6787139691232187,5.402322024532529,3.4920077411826607,2.5158849872660176
2024-11-01,40.93015718108645,17.104547926691154,14.157077101827456,4.32737695132474,4.3504797540690925,3.8648858315952364,3.6756299105733206,5.58639836305114,3.2976793038728394,2.705767675908566
2024-11-04,40.908611845933066,17.05367055646814,14.151110920619237,4.335615527969757,4.348646342386104,3.8632570625312175,3.674080899153583,5.628250175463702,3.410595003483822,2.626161665991377
2024-11-05,40.913034340034294,17.04912987451552,14.153354286917446,4.328161310828508,4.349335730427938,3.86386950213006,3.676698733633948,5.633608957244322,3.420680026484122,2.612127237783842
2024-11-06,40.89196683190125,17.104085105778847,14.146339932257156,4.340822026026191,4.34718021430565,3.8619545814335536,3.6748765741391782,5.6360159208478455,3.3209774077244845,2.6757814055858455
2024-11-07,40.90400751930086,17.115492165452768,14.150233390357903,4.314491349129023,4.348550388457774,3.863171818834189,3.676034847007085,5.638809827766752,3.4405327487929953,2.548675944900654
2024-11-08,40.890020207595924,17.12288780386878,14.146302556862961,4.3386104394658185,4.347342392303235,3.8620986573701144,3.6750136708535495,5.630122824711556,3.1438359651943713,2.843765481773686
2024-11-11,40.89193488757748,17.16979050448112,14.147573240080765,4.349699361533752,4.3477502584207,3.8624609980929057,3.675358459329428,5.621438629964256,3.382180096018766,2.5518135645008226
2024-11-12,40.882662975288035,17.176397272952062,14.14499296107708,4.370569080636697,4.347261875679313,3.8615251553336982,3.6744679499874944,5.596288348128612,3.2112765889523396,2.734557791964668
2024-11-13,41.06071077639461,16.994561302433688,14.21650281818782,4.353628658004942,4.372903699107047,3.877195784430929,3.691690107213086,5.511862799449192,3.339142720246375,2.581801334532318
2024-11-14,40.94358600686012,16.9601059905123,14.17602645202798,4.405623158069714,4.3604534324296225,3.866156867318118,3.6811793506339745,5.483839778818115,3.5490403130523025,2.5739886502777556
2024-11-15,40.95261820148335,16.956710910285548,14.183652846041598,4.50432851847656,4.362799261570552,3.8682367756540965,3.68315974508779,5.46047186018132,3.4748420182537707,2.5531798629654205
2024-11-18,40.810336008984734,17.037155642796698,14.133615382793991,4.513734478188149,4.347408063684004,3.8545903083021513,3.670166197347982,5.454417408225854,3.62579928676626,2.552777222910172
2024-11-19,40.82755310454549,17.05984283270613,14.13933200074588,4.481289545588523,4.349385090366989,3.8561493729545293,3.6716506680514747,5.456896844606503,3.634040678429476,2.523859862005003
2024-11-20,40.83860038141795,17.100909414810893,14.143385089946985,4.4809794818177595,4.350631856886107,3.8572547517221083,3.672703159616997,5.479346445756388,3.502463508193216,2.5737259098315954
2024-11-21,40.83933973516298,17.085073822728848,14.143129914945998,4.4846163821131695,4.350553362771627,3.8599187959882513,3.6726368966943355,5.483840097309862,3.509739913037888,2.571151079247039
