date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHANGHAI COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-08-07,12.250731459001777,9.295167480060613,4.173842305654145,4.6745221362511336,3.8239791713122315,1.9535724264620353,2.2319748357240767,1.6044726263582831,1.2496123537852537,1.1776017718298255,42.43547656643937
2024-08-08,12.275243562649596,9.295167480060613,4.173842305654145,4.673924280064601,3.8239791713122315,1.9520350819823813,2.2319748357240767,1.6044726263582831,1.2496123537852537,1.1776017718298255,42.45785346942101
2024-08-09,12.278659883715495,9.285345556996157,4.177258626720044,4.673838872037954,3.8248332515787062,1.9571595635812284,2.2389782939091685,1.6044726263582831,1.2504664340517284,1.1776017718298255,42.46861488077859
2024-08-12,12.274901930543006,9.28436682371479,4.177258626720044,4.673753464011306,3.826968452244892,1.957074155554581,2.23991778220229,1.6044726263582831,1.2568720360502872,1.1776017718298255,42.473187669229304
2024-08-13,12.274207605990375,9.288124776887278,4.179564643439525,4.673386593832842,3.826968452244892,1.956305483314754,2.242052982868477,1.6044726263582831,1.2551638755173382,1.1776017718298255,42.47784881228359
2024-08-14,12.27275566953737,9.285562536087854,4.179564643439525,4.6702692008602105,3.826541412111655,1.9517788579024389,2.2400031902289377,1.6044726263582831,1.2551638755173382,1.1776017718298255,42.46371378387344
2024-08-15,12.28249218457518,9.285562536087854,4.179564643439525,4.665998799527838,3.826541412111655,1.9512664097425543,2.2400031902289377,1.6044726263582831,1.2551638755173382,1.1776017718298255,42.46866744941899
2024-08-16,12.286677177880904,9.286416616354328,4.179564643439525,4.665998799527838,3.826541412111655,1.9512664097425543,2.2400031902289377,1.6044726263582831,1.2560179557838127,1.1776017718298255,42.474560603257665
2024-08-19,12.274293014017024,9.285562536087854,4.179564643439525,4.661462565712525,3.826541412111655,1.9407612224649171,2.2444444076146057,1.6044726263582831,1.2508934741849655,1.1776017718298255,42.445597673821176
2024-08-20,12.274293014017024,9.285562536087854,4.178283523039813,4.66129174965923,3.8260289639517704,1.9451170318239372,2.2444444076146057,1.6044726263582831,1.2508934741849655,1.1776017718298255,42.447989098567305
2024-08-21,12.268485268204996,9.280865094622245,4.178283523039813,4.66129174965923,3.825943555925123,1.9533162023820931,2.2431632872148937,1.6044726263582831,1.2508934741849655,1.1776017718298255,42.444316553421466
