date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-08-13,0.0,0.3186380186169709,7.854030530366549e-05,0.00015708061060733098,0.553394991169627,0.0003927015265183275,0.24433888979970333,0.004869498928827261,0.022933769148670326,0.07484891095439322,1.2196524010606213
2024-08-14,0.0,0.31965904258591854,7.854030530366549e-05,0.00015708061060733098,0.5526095881165904,0.0003927015265183275,0.4357416138247362,0.004869498928827261,0.022933769148670326,0.07484891095439322,1.4112907460015653
2024-08-15,0.0,0.31965904258591854,7.854030530366549e-05,0.00015708061060733098,0.5522168865900721,0.0003927015265183275,0.4357416138247362,0.004869498928827261,0.022933769148670326,0.07484891095439322,1.410898044475047
2024-08-16,0.0,0.3197375828912222,7.854030530366549e-05,0.00015708061060733098,0.557871788571936,0.0003927015265183275,0.4357416138247362,0.004869498928827261,0.022933769148670326,0.07469183034378589,1.4164744061516072
2024-08-19,0.0,0.3243714609041385,7.854030530366549e-05,0.00015708061060733098,0.532503269958852,0.000471241831821993,0.44336002343919173,0.004869498928827261,0.022933769148670326,0.0744562094278749,1.4032010945552877
2024-08-20,0.0,0.3284555567799291,7.854030530366549e-05,0.00015708061060733098,0.5588928125408837,0.0003927015265183275,0.45624063350899285,0.004869498928827261,0.02316939006458132,0.07461329003848222,1.4468695043041258
2024-08-21,0.0,0.3325396526557197,7.854030530366549e-05,0.00015708061060733098,0.5304612220209568,0.000471241831821993,0.44603039381951637,0.004869498928827261,0.02316939006458132,0.07461329003848222,1.4123903102758166
2024-08-22,0.0,0.3641913956930969,7.854030530366549e-05,0.00015708061060733098,0.5270839888928991,0.000471241831821993,0.4529419406862389,0.004005555570486941,0.02144150334790068,0.0744562094278749,1.4448274563662304
2024-08-23,0.0,0.3520961886763324,7.854030530366549e-05,0.00015708061060733098,0.5228428124065012,0.0006283224424293239,0.3827269077447619,0.003377233128057616,0.018771132967576053,0.0744562094278749,1.3551344277094444
2024-08-26,0.0,0.2953900882470859,7.854030530366549e-05,0.0002356209159109965,0.5259058843133441,0.02072458744108882,0.34314259387171453,0.0030630719068429546,0.016100762587251426,0.07477037064908955,1.2794115202376322
