date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-05-20,15.493443454367181,21.036069188123715,3.7889130978243535,6.082409994261235,8.931663226641033,5.730195154260071,3.25810059582821,1.895848869680194,0.045240296535964,2.602167388331924
2024-05-21,15.517301521197094,21.226777294871997,3.7556018347033455,6.232760830510109,8.922210030349936,5.794341843378229,3.2635024222802658,1.8971993262932079,0.08890506035674517,2.6201734765054425
2024-05-22,15.474041894360216,21.41408045034667,3.9520932718968607,6.289930160461029,8.895651050294,5.782412809963273,3.23604313781565,1.9638218525352247,0.11456373600400833,2.64268108672234
2024-05-23,15.500825950518324,21.228910341092256,4.278228543939706,6.363530045870284,8.90645470319811,5.807846409508366,3.249547703945789,2.0209911824861444,0.0,2.651684130809099
2024-05-24,15.845327432498157,20.91540498944652,4.623720360769083,6.448383736387989,9.184648765478961,5.740098502755505,3.2810583582494455,2.027293313346876,0.09543226731964545,2.6854455461344453
2024-05-27,15.670218225010697,20.870164692910556,4.667835276794201,6.4123715600409525,9.176771101903046,5.728394545442718,3.278357445023418,1.9608958632070277,0.135720889607892,2.7007507210819357
2024-05-28,15.748319632463328,20.8096192214271,4.948955328403251,6.420924451923374,9.187124602602822,5.748201242433589,3.2916369350513874,1.9910560608976706,0.3101548687888477,0.0
2024-05-29,15.775103688621437,21.27801316861754,5.0284071924689,6.425425973966753,9.14728613251891,5.743699720390209,3.302215511853329,2.0052358553343157,0.006977359167238228,0.0
2024-05-30,15.77820973883137,21.280489005741398,5.044612671825066,6.37343339436572,9.158089785423023,5.763956569585417,3.297488913707781,1.9802524079935597,0.0,0.0
2024-05-31,15.81557237179142,21.26968535283729,5.107633980432379,6.377484764204761,9.188475059215834,5.7635064173810795,3.2997396747294703,1.987004691058629,0.007427511371576178,0.0
2024-06-03,15.822324654856487,0.0,5.130366666751445,6.34259796836857,9.185323993785468,5.762831189074572,3.2891610979275288,1.989255452080319,0.008102739678083105,0.0
2024-06-04,15.82840170961505,21.277337940311032,5.1472473744141185,6.279351583659087,9.183073232763778,5.791415854050032,3.2826338909646284,2.0270682372447064,0.0,0.0
2024-06-05,15.856086070181835,21.27801316861754,5.170655289039692,6.272599300594019,9.1850989176833,5.784438494882794,3.303340892364174,2.027293313346876,0.008777967984590029,0.0
2024-06-06,15.899750834002615,20.493848028660828,5.179658333126451,6.271698996185343,9.196352722791747,0.0,3.302890740159836,2.0104126056842024,0.7713358021330777,0.0
2024-06-07,15.74124143920232,20.442692732159866,5.189786757724055,6.260220114974725,9.1981533316091,0.0,0.0,2.016264584340596,0.7715608782352468,0.0
2024-06-11,15.92317765502077,20.357388889437825,5.226699238479767,6.2444647878228965,9.186899526500651,0.0,3.302440587955498,0.0,0.8573148731616261,0.0
2024-06-12,15.936213162553988,0.0,5.249206848696664,6.226908851853716,9.202879929754648,0.0,3.3062668816923706,2.002309866006119,0.0,0.0
2024-06-13,15.941614989006045,20.35221213908794,5.364878859427753,6.234561439327462,9.204680538572001,5.777010983511217,3.2972638376056116,1.9933068219193602,0.0,0.0
2024-06-14,15.942515293414722,20.232876789717945,5.405842710022506,6.236587124246983,9.203105005856818,5.771834233161331,3.299514598627301,1.9928566697150225,0.0,0.0
2024-06-17,15.937901233320256,21.082764151507998,5.467063409812467,6.233210982714448,9.201979625345972,5.755403677702995,3.294562924379584,1.9991588005757537,0.006977359167238228,0.0
2024-06-18,15.997321324292866,21.0733109552169,5.630243583884974,6.236362048144813,9.210532517228394,5.754522279686903,0.0,1.9825031690152495,0.007877663575914129,0.0
2024-06-19,15.973013105258618,20.32875920924193,5.715547426607015,6.248966309866276,9.213908658760928,0.0,3.2972638376056116,1.9782267230740391,0.7713358021330777,0.0
2024-06-20,15.956357473698112,20.348115754028463,5.891331862400985,6.242889255107714,0.0,5.747769996621833,0.0,1.9759759620523492,0.0,0.0
2024-06-21,16.012851575342527,20.325608143811564,5.904161200224617,6.2561687451356836,9.208281756206704,5.750020757643522,3.3107684037357505,1.9658475374547453,0.0,2.7549940617046587
2024-06-24,16.012401423138186,20.32448276330072,6.0666661459906175,6.225783471342872,9.21593434368045,5.750245833745692,3.305141501181526,1.9635967764330555,0.0,2.7815530417605974
2024-06-25,16.109634299275186,20.49427769893987,6.23277230939132,6.226683775751548,9.145935675905898,0.0,3.3044662728750187,1.9586451021853382,0.0,2.8265682621943924
2024-06-26,16.122688713200986,20.32988211391565,6.29444316138562,6.250766918683628,9.15223780676663,5.76600116089752,3.3062668816923706,1.9624713959222106,0.8573148731616261,2.8715834826281874
2024-06-27,16.121338256587972,20.566592849957946,6.457623335458126,6.271698996185343,9.14998704574494,5.764650704284506,3.3073922622032152,1.9658475374547453,0.0,2.894091092845085
2024-06-28,16.197864131325424,20.243948058107534,6.543827482588845,6.290155236563198,9.142559534373364,5.7644256281823365,3.3080674905097225,1.9748505815415045,0.0,0.0
2024-07-02,16.252557624152484,20.221890600094977,6.666719034373105,6.377034612000424,9.15853993762736,5.765325932591013,0.0,1.9714744400089697,0.0,0.0
2024-07-03,16.291495789827717,20.219864915175457,6.898997571811487,6.386037656087182,9.15426349168615,5.76375039987583,0.0,0.0,0.0,0.0
2024-07-04,16.256834070093696,20.21873953466461,7.025490341230451,7.370295450872111,9.153813339481811,5.8152928272725255,3.311443632042257,1.9669729179655902,0.0,0.0
2024-07-05,16.33065903160512,20.23877130775765,7.036519070236731,7.39235290888467,9.163716687977248,5.876738603164656,3.3098680993270744,1.961120939309197,0.0,0.0
2024-07-08,16.327507966174753,20.239671612166326,7.253042280523285,7.398204887541063,0.0,5.881240125208035,3.311443632042257,1.9624713959222106,0.0,0.0
2024-07-09,16.323006444131373,20.408779390465558,7.437829760404013,7.404957170606133,9.156289176605672,5.880789973003697,3.3098680993270744,1.9599955587983522,0.0,0.0
2024-07-10,16.320080454803175,20.487128381630576,7.604160999906886,7.41434284406658,9.282331793820298,0.0,3.3152699257791296,1.9676481462720972,0.0,0.0
2024-07-11,16.272364321143353,21.232298186582103,6.595594986087709,7.400163049629933,9.26657646666847,5.881690277412373,3.3094179471227365,1.9491919058942413,0.0,0.0
2024-07-12,16.2023656533688,21.24625290491658,6.83687656761285,7.408490865410185,7.677989337559843,5.846353329371843,3.304691348977188,1.9219576975317954,0.0,0.0
2024-07-15,16.15037307376777,21.308598985217383,6.93568497646503,7.364826101589404,7.667185684655732,5.846803481576182,3.30199043575116,1.9188066321014294,0.0,0.0
2024-07-16,16.032433196231228,21.429014699877786,6.8857180817835175,4.635103134484074,7.660433401590662,5.845453024963168,3.3175206868008194,1.9129546534450363,0.8505625900965571,0.0
2024-07-17,16.002047922438415,21.277763559220233,6.919704573211033,4.614396133084528,7.657057260058128,5.845679001369746,3.285784956394994,1.9147552622623882,0.7848403682632163,0.0
2024-07-18,15.991469345636473,16.449048611193795,6.930058073910805,4.592563751174137,7.6388260957824405,5.865260622258447,3.2535990737848306,1.9174561754884158,1.3930194042384125,0.0
2024-07-19,15.979990464425855,17.585006573460102,0.0307845587980594,4.1214794693344725,6.392579718072826,5.8582832630912085,3.4802507086689882,1.5546334987920278,1.4038230571425234,0.0
2024-07-22,15.993493004871073,12.581959155574785,0.0,4.01659400572373,6.031782726295958,5.85153098002614,3.4563926418390767,1.5487815201356345,0.916656637650681,2.569531353517423
2024-07-23,13.057835757781833,12.61797133192182,0.030559482695890424,4.016368929621561,6.029982117478607,5.841177479326366,2.654150514736666,1.5463056830117756,0.3236828428336118,0.0
2024-07-24,12.997290286298377,12.617296103615313,0.04699003815422561,3.9724790896986115,6.027731356456917,5.840052098815521,2.66652970035596,1.5460806069096067,0.32345776673144283,0.0
2024-07-25,12.99481444917452,13.13745980506564,0.10213368318562452,3.973379394107287,6.009725268283399,5.838926718304677,2.6897125388793643,0.0,0.3083776678861215,0.0
2024-07-26,12.945522782799513,13.16784507885845,0.0,3.8693942349052204,5.904389652468319,5.78986012803184,2.74350572729775,1.5280745187360887,0.3065770590687697,2.5807851586258717
2024-07-29,12.93494420599757,13.186751471440644,0.17168219875583782,3.846436472483985,5.897637369403249,5.69982968716425,2.7806432841556306,1.526949138225244,0.3056767546600938,2.59428972475601
