date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE CORE SECURITIES COMPANY LTD
2024-07-02,10.909773814444321,12.892717117987603,3.9951597825817435,1.6660480312705772,0.6444195332648511,0.5242733463143477,0.45303533962711506,2.416914619857436,0.0
2024-07-03,10.963352146800535,12.828924739591304,3.996373835782859,1.6648904456602114,0.6736644749646565,0.0,0.4544470293958542,0.0,2.804016141821727
2024-07-04,10.998202061558143,12.831618808345969,4.0001185781760675,1.663619924868346,0.6676977328754523,0.0,0.45576460651334405,0.0,2.8011268834283745
2024-07-05,10.996338631063406,12.841250297074819,4.000975003302436,1.6641940120409666,0.6444236742215061,0.5247344983054693,0.45623516976959044,0.0,2.768592139891499
2024-07-08,11.073473360027315,12.844638352519794,4.013614332365215,1.678687360333355,0.688407315895507,0.528028441099194,0.459416177381816,2.4193379265144532,2.7528661040930476
2024-07-09,11.093745225106407,12.919144326909004,3.9709789485330105,1.6805319682978408,0.7095550874197782,0.0,0.45885150147432036,2.416914619857436,2.681867519990593
2024-07-10,11.108756192980668,12.989637808412205,3.996271252992998,1.6890491632359006,0.6496523848996134,0.529327195686434,0.460197312387185,0.0,2.6931610381405062
2024-07-11,11.137592309323445,13.000910621778845,3.9180579930457733,1.6895009039618971,0.6382647540984508,0.5289507450814368,0.45991497443343715,0.0,0.0
2024-07-12,11.156988926745921,12.915691616072621,3.9197426095031354,1.698996870472949,0.6126050338479867,0.5297036462914311,0.460197312387185,2.431572571176859,2.690337658603028
2024-07-15,11.167821292904714,12.918213835126103,3.9178227114176503,1.6985733635423272,0.6208493020974234,0.5300706856313032,0.46090315727155456,2.30065246202399,0.0
2024-07-16,11.161647502982762,12.919380832001595,3.9202414065547564,1.6838447336218156,0.6266057024110855,0.5302024433430522,0.460592585522432,2.2982009215715977,0.0
2024-07-17,11.14816116005874,12.904803817562247,3.9584699654922133,1.6965028852148432,0.6865852008546698,0.5366021036280031,0.4572798201984574,0.0,0.0
2024-07-18,11.208383845593152,12.856825187955364,3.9612792281320037,1.6962205472610954,0.6899732562996437,0.5375432301404959,0.4561034120578415,2.3115366842536202,0.0
2024-07-19,11.228753540505934,12.906778687446204,3.968672796942723,1.7073763640577067,0.6349696355537625,0.0,0.45564673304251246,0.0,0.0
2024-07-22,11.23754468716281,13.760104105116763,3.970868227994226,1.7064341189712247,0.6328024718548543,0.0,0.4537622428695488,2.314623264677,0.0
2024-07-23,11.253553431182137,13.759133592677689,3.9753627370567446,1.7050490186940963,0.6283833423992543,0.0,0.0,2.319136618641248,0.0
2024-07-24,11.252978661679382,13.760226596978006,3.9907260431918306,1.7050019064397723,0.6230596576606319,0.5378994525198937,0.4547044879560306,2.323225962316579,0.0
2024-07-25,11.29554423848024,13.744141997201801,3.991310434807058,1.7070006153532633,0.6392009426323779,0.5370867249104136,0.4539479949514884,2.3230510634466484,0.0
2024-07-26,11.294112183080264,13.748212049391203,3.964299231966737,1.7076412717164102,0.6421356198464454,0.5367852395630505,0.4538820450317527,2.3266360068693097,0.0
2024-07-29,11.273837293470088,13.714069870158202,3.9562062346734566,1.7118149594939691,0.6404680290188427,0.5366910253919994,0.45435311588700766,2.36683719365677,0.0
2024-07-30,11.260553095351899,13.713775356659497,3.948621993903852,1.7197101070280427,0.6396860513991195,0.5376331671025094,0.4590638244395575,2.3777943017500007,0.0
2024-07-31,11.26049656684927,13.713803620910813,3.9490930647591065,1.7192390361727876,0.639827372655696,0.5376237456854043,0.45933704553560545,2.3816687653203017,0.0
2024-08-01,11.286320671134346,13.631582913834608,3.9469261388249333,1.719380357429364,0.6766057586088734,0.0,0.4583949038250954,2.3915706746977614,0.0
2024-08-02,11.296608858613116,13.620041677880861,3.9305988229817954,1.707085408107209,0.6760781592509878,0.5364931756327924,0.45603954954882053,2.385936667268912,0.0
2024-08-05,11.289712381292182,13.629720393887101,3.929421145843658,1.7085268849242892,0.714834948582065,0.0,0.0,0.0,0.0
2024-08-06,11.32307361926134,13.631670627227857,3.9261142284397685,1.7106938108584622,0.6973487984350001,0.0,0.4616923998118803,0.0,0.0
2024-08-07,11.343678258470192,13.659228272260274,3.935149367443559,1.6981633261086797,0.6631804276624486,0.5366816039748944,0.4612213289566253,0.0,2.703414870168006
2024-08-08,11.31972901618903,13.652489226819167,3.9372329138363518,1.6980785333547337,0.670708139929423,0.5359278906064864,0.4611836432882049,2.39047779031357,0.0
2024-08-09,11.361032508777786,13.65375169671125,3.936615811015968,1.695431115148201,0.6669395730873833,0.0,0.46117422187109985,0.0,0.0
2024-08-12,11.377086603524877,15.723390382001822,3.9388298440356664,1.691276270204852,0.661720108011158,0.0,0.4610705862829437,2.3905060545648853,0.0
2024-08-13,11.381910369082686,15.479695065019605,3.9417551940467996,1.6897028935483005,0.6238299006254079,0.5382644020485511,0.46127785745925587,2.59418286603731,0.0
2024-08-14,11.388467675387837,15.416232399399657,3.9425465930836276,1.6913045344561672,0.8214016338137283,0.5396587717801059,0.46221999916976586,2.39047779031357,2.6907901712471727
2024-08-15,11.405576968850696,15.53337349476174,3.946296317091458,1.69393310982849,0.6357055026722149,0.539102908170905,0.46262512010528517,2.4929828084170538,0.0
2024-08-16,11.423176176003023,15.609451437885419,3.9583463095688796,1.6962413570192396,0.6434970146181324,0.0,0.4628135484473872,2.39047779031357,0.0
2024-08-19,11.377114867776191,15.569203144012434,3.957978874301781,1.6919075051508938,0.6336422123261981,0.0,0.0,2.390628532987251,2.7006826592075273
2024-08-20,11.39224566364698,15.54048393246513,3.9633585034687933,1.6918886623166836,0.6250075777635453,0.5400450498814149,0.4627664413618617,2.4057356811011075,0.0
2024-08-21,11.39351755495617,15.601840534505406,3.9355464801745383,1.6928213826100884,0.6448442772641615,0.5406103349077209,0.4636991616552665,2.39047779031357,0.0
2024-08-22,11.396202658831122,15.600907814212004,3.9425560145007332,1.6929627038666648,0.6419707450471062,0.5422119758155879,0.45908266727376773,0.0,0.0
2024-08-23,11.388637260895727,15.593785222880546,3.9369408499060934,1.7107314965268825,0.6609172148454615,0.5411661985169218,0.4591486171935034,0.0,0.0
2024-08-26,11.384491837369485,15.466332292282758,3.9442895552480715,1.7204449775622404,0.7909516137300463,0.5408835560037688,0.4610423220316284,0.0,0.0
