date,BNP PARIBAS,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD,BANK OF CHINA (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-09-25,36.21153144933616,26.412903106582892,11.105451706803333,7.310905382226736,5.234555450961208,3.4531936498922673,2.6443214069440937,2.718561308061296,2.2791441351197506,2.6294324040722667
2024-09-26,36.21885221568759,26.419449754191497,11.091821001422202,7.3127174481342285,5.232868200365022,3.4502862633268183,2.6449768229862194,2.7192351250519713,2.2797090390775496,2.6300841297568938
2024-09-27,36.221313922275264,26.4174357146665,11.084455063639382,7.312159976191674,5.231560971395954,3.4598524553730257,2.64477518790624,2.719027829023077,2.2795352495341286,2.6298836299947603
2024-09-30,36.224127409043994,26.416861555395755,11.083922202312227,7.312001052953064,5.231544584990001,3.458641894989777,2.644717706089701,2.718968733391982,2.279485705880057,2.629729154953445
2024-10-02,36.21970261071518,26.41060740718032,11.101113614134235,7.310269948815631,5.230662769554561,3.457174441651344,2.6440915735535864,2.718325022048146,2.278946041415009,2.6291065709319845
2024-10-03,36.202942509028716,26.39914944209049,11.102407703204648,7.306225826061624,5.2181839726931205,3.4442552409395075,2.6428633286118726,2.7162194722760558,2.2778874154673288,2.689865089626633
2024-10-04,36.18112154859404,26.38408809745767,11.127531701409348,7.302057449903411,5.211254352319504,3.449774084603506,2.643137386657773,2.734756391029011,2.2798275984067606,2.6864513896189717
2024-10-07,36.194821748454395,26.42502196875181,11.128404220873067,7.307204107000666,5.216937438000064,3.4342121561141656,2.6450003303395215,2.6806287698508173,2.281596575816689,2.686172684798805
2024-10-08,36.19342923234936,26.42523614895896,11.127230006962073,7.307263333384324,5.213316169907889,3.457518138449125,2.645021768608119,2.6798075556265113,2.2699111533159266,2.681266492437709
2024-10-09,36.17409998938042,26.40004228033513,11.0881162239066,7.300359272203711,5.197831314828326,3.420792337906092,2.6416805497266536,2.815031076841822,2.2272787592676453,2.734768195603598
2024-10-10,36.1735045960951,26.405849702061886,11.121527192250372,7.301965188762494,5.176167014909253,3.3694175622786733,2.642261660652793,2.8389115905056164,2.2106953279925565,2.759700164491257
2024-10-14,36.171739203214855,26.404395468650517,11.1283656743236,7.301563052044077,5.17704818996368,3.385008622056568,2.641921771809961,2.8408933496279896,2.189516487117784,2.7595481811909717
2024-10-15,36.1554158468072,26.399320470653677,11.123067025176463,7.299255171032688,5.176189073370859,3.4128263635764404,2.641086712104624,2.8453389713372537,2.1888244238583523,2.758675942082442
2024-10-16,36.15553293753997,26.399405965888782,11.123103047665433,7.299278809956943,5.176205836662258,3.4128374161485198,2.641095265367563,2.8450243321556936,2.1888315124521265,2.758684876162716
2024-10-17,36.1561769501269,26.399876199580508,11.121519947219264,7.299408826777253,5.1762980367058065,3.4128982065746194,2.6411423093040227,2.8450750085344154,2.1888705005386004,2.758734014638608
2024-10-22,36.15438896720099,26.398920740219268,11.157890549929594,7.2990282451498745,5.176740605471744,3.434741573362761,2.6410046035990726,2.855872556902018,2.191994803758228,2.689417354406453
2024-10-23,36.14392773176572,26.39657849449501,11.16658260626021,7.298380638459183,5.180976602935878,3.434728258389994,2.6422598250552243,2.8555867880417836,2.1918003188962443,2.689178735700746
2024-10-24,35.85600100548459,26.988901292323387,11.075143398196964,7.239981438140548,5.143471204532725,3.4028760788037475,2.6211173458586536,2.8305851436079426,2.174262265974317,2.6676608270771207
2024-10-25,35.85104956027897,26.983917275445098,11.068858800257845,7.238644437078691,5.14361332077376,3.4035002110803467,2.6206333064029432,2.8503599678561895,2.1738607468567333,2.665562373969422
2024-10-28,35.862289194397114,26.98539061919485,11.066925837142772,7.239039672930817,5.137309950863048,3.3979047826771738,2.6207763951051124,2.8498732373454856,2.1739794414151072,2.6665108689285244
2024-10-29,35.87804821797923,26.961663628948372,11.078820905501171,7.241293341692266,5.132419425148308,3.393372330157493,2.621592299169636,2.8507925923076565,2.174656247977374,2.6673410111184945
2024-10-30,35.84958533887801,26.928462622516186,11.076975723538052,7.23591151641747,5.127449190133571,3.4239498071655974,2.6196438969947584,2.8752240558451745,2.1730400146048114,2.6897578339063677
2024-10-31,35.8403995794391,26.909611422825314,11.10487496089885,7.235158931442823,5.1296444768454155,3.4272852967967435,2.6193714358637274,2.871361812073835,2.1728140033744934,2.689478080439698
2024-11-01,35.837297648454864,26.910198835218637,11.097316679879388,7.23531686839543,5.131425735862492,3.434647175982006,2.6194286143647454,2.8719702186052367,2.1728614339320704,2.6895367893051354
2024-11-04,35.83619994174595,26.901735663701075,11.08253039753451,7.233041384367382,5.127758062194236,3.462994905616467,2.6186048124383037,2.876265817863841,2.1721780759564617,2.6886909385817703
2024-11-05,35.82562812476166,26.896032755562597,11.076442272635624,7.231853129180765,5.127076097389209,3.489731388462692,2.618174624003767,2.874991144519029,2.1718212271942536,2.68824923629041
2024-11-06,35.8219610806351,26.893159297483777,11.075226829705658,7.23108050866131,5.128389145334921,3.4992079832052805,2.6178949093301016,2.8735290114769145,2.1715891990246066,2.6879620351423403
2024-11-07,35.830385142007984,26.895549901100313,11.267713764806537,7.231938986096914,5.1146552713202444,3.5024791200302627,2.6182057071017146,2.678943945055715,2.171847011162714,2.688281151317602
2024-11-08,35.81198943796731,26.88932547935834,11.26595396144013,7.230006538814475,5.113577286083043,3.5346156871656405,2.617506096041212,2.678196026077788,2.171266671662801,2.687562815389259
2024-11-11,35.81361167608363,26.89040722119093,11.263940104103916,7.230340525492378,5.1140059824931035,3.5371849315951427,2.6192309868484127,2.672224633847033,2.1713669722833626,2.68768696606209
