date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-07-25,45.302982572581016,22.03902595339499,22.745417495391248,2.355876555224004,2.001513029056854,1.2467198026780595,1.1428544423526328,1.26750172081533,1.2885256862659338,0.6095827422399329
2024-07-26,45.28760113160779,22.04003904576957,22.723214860664655,2.3640216557170493,2.0016677377746785,1.2475296170471335,1.1429427802964132,1.2947280266489698,1.2886252839972063,0.6096298604765323
2024-07-29,45.288109866810856,22.03866465012257,22.724313134728455,2.3671739699399583,2.001764483757772,1.247106586623193,1.1429980217936972,1.2921668298209448,1.2880431308759257,0.6096593255266314
2024-07-30,45.27008408477271,22.030217398364417,22.73255904963888,2.3671639132701325,2.000997222727067,1.2482620590379008,1.1425599193858407,1.3112042779954969,1.2875264270418547,0.6094256477656967
2024-07-31,16.780630726842745,8.166108092668729,8.426313416870318,0.8774528033299991,0.7404440870694713,0.4627444569907811,0.4235204831475466,0.4860330385300795,0.4772562079187166,0.22589996411126784
2024-08-01,45.26923845161929,22.0306053588708,22.73059656698269,2.367588339979358,1.9975354948895006,1.2505100113450753,1.1425537899131069,1.314660154348778,1.2875195198696403,0.6091923121817666
2024-08-02,45.27654806980081,22.03341054321025,22.71844478234975,2.366401600894659,1.99779610247637,1.2506731585818813,1.1427028526891225,1.3170636042735677,1.2876874955356443,0.6092717901879514
2024-08-05,45.29191885179078,22.032578680527987,22.73608816517777,2.3673936697607423,1.9977206764763344,1.2512931937677498,1.1426597103958218,1.2834593853252056,1.2876388794046167,0.6092487873729937
2024-08-06,45.30414902356905,22.027607952398682,22.72299756889119,2.367316200911583,1.9972282601696465,1.2494665602484583,1.1423780572693265,1.294115496838947,1.28665440111345,0.6080864785896601
2024-08-07,45.30380791451747,22.03065396601696,22.722968106084323,2.3683617489684536,1.9973146356280926,1.2484624092150483,1.1424274624526913,1.2911809342952874,1.2867100459117808,0.6081127769098925
2024-08-08,45.32053684619549,22.035456879672203,22.7259459822775,2.3677021730466326,1.9887956347497255,1.2499036028340664,1.1428197214398508,1.2733657387360569,1.2871518451471509,0.608321575901329
2024-08-09,45.31665341263741,22.036780061108537,22.727310626088208,2.3677522950016643,1.984312386127232,1.2530164200208778,1.142888345287713,1.2756992136083072,1.2872291358262842,0.6083581042937716
2024-08-12,46.13479960211108,21.690304525559185,22.373716588975103,2.3320473059973663,1.9534402323978388,1.2363084541173408,1.1251071607635788,1.2881806479566345,1.2672022811616603,0.5988932009602119
2024-08-13,46.130257185381105,21.69113011005618,22.37456818575809,2.331728258098715,1.9535145849718092,1.2373976950205288,1.1251499850138462,1.2901101417278802,1.2672278577142524,0.5989159962575986
2024-08-14,46.24995226612564,21.753112740021642,22.436668045916374,2.3403582017180584,1.9589364988848175,1.2418362329448982,0.8829069870735373,1.2649057539503807,1.270745005938048,0.600578267426605
2024-08-15,46.24630710342814,21.754003348712544,22.432369593699697,2.341631986944038,1.9589757817331424,1.2441785259408944,0.8829246921401783,1.2682481681095825,1.27077048837883,0.600590310912956
2024-08-16,46.24308831290357,21.754643741410398,22.430384967072257,2.3433707082621353,1.9591378005195195,1.2482122275246306,0.8829977151904972,1.2676259751445227,1.269898568718386,0.60063998325408
2024-08-19,46.22456731864632,21.7580879464281,22.44654852448616,2.3446279863306505,1.9594479721004987,1.2502051191569468,0.8831375117873722,1.2620884248091075,1.2700996196330476,0.6011895766217977
2024-08-20,46.25012865739902,21.761475613254095,22.4270634514302,2.3468518745605493,1.960089885590494,1.2465105903043183,0.8832731685102035,1.2530301182649837,1.27029471671563,0.6012819239705134
2024-08-21,46.25252965037127,21.762043945021983,22.420566668548368,2.3513416767699264,1.9601001321124776,1.2487445091655673,0.8832777858892357,1.247627262189034,1.270301357279839,0.6034670126522992
2024-08-22,46.24332267684808,21.763415080567462,22.43557148930276,2.350921574235948,1.9647696359002689,1.2536192237383794,0.8833334375353689,1.2303421725255406,1.2702904735443998,0.6044142358017953
2024-08-23,46.23725307494116,21.766771003177375,22.43008846584818,2.355210204120232,1.9650479758400945,1.2540696172519985,0.883458575348656,1.2333126592759436,1.2695156332782207,0.6052727909181402
2024-08-26,46.20244138424952,21.75450619189548,22.397569870682872,2.353714249877419,1.96652265520728,1.255766113696794,0.8829570888103602,1.3138888031347293,1.2677044286515804,0.6049292137939696
2024-08-27,46.15947182273202,21.859637452385712,22.356241941441148,2.3287286199785533,1.9653586708429034,1.2572481019796795,0.882434466686954,1.3193536929840683,1.2669540746550503,0.6045711563139063
2024-08-28,46.17233035768531,21.910785293110248,22.32879360113906,2.3286147980458036,1.9613143059235636,1.2545232851290908,0.8826581401863438,1.2884355026149001,1.267275213574871,0.6052695025908084
2024-08-29,46.19770449689915,22.11792040944075,22.277278899277714,2.328567644184313,1.9608729479422133,1.2504261104394931,0.8824595140845517,1.113395992471367,1.2662406875221837,0.6051332977382614
2024-08-30,46.184543281118735,22.368804827523174,22.21158628661543,2.3282877531805823,1.949798557181992,1.249359308248137,0.88226740726474,0.9573827250147007,1.2613110007333244,0.6066588531191889
2024-09-02,46.162486749965595,22.41026638356273,22.195430336934006,2.3212449784821865,1.9491652882808401,1.2415094987986697,0.8819808584264187,0.9732988660094956,1.258155221229353,0.6064618183107089
