date,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,MINERVA HOLDING FINANCIAL SECURITIES LTD
2024-08-01,73.74456714696905,0.0,6.404152511119049,5.819653708889196,4.695895949803315,2.909826854444598,2.918874823519363,2.095545829591998,1.4114831756634243
2024-08-02,73.74323269399127,0.0,6.404036624068393,5.819548398701315,4.695810974698355,2.9097741993506574,2.920631565766145,2.0955079094104776,1.4114576340133784
2024-08-05,73.7899673022372,0.0,6.408095167908752,5.75805104095785,4.698786934366547,2.9116182622201956,2.924293217341801,2.0968359328459147,1.4123521421217369
2024-08-06,73.79531217235132,0.0,6.408559329062409,5.758468117100441,4.6991272842376235,2.911829161099846,2.9263158733441235,2.0879336189871545,1.4124544438170894
2024-08-08,73.83408564913373,0.0,6.411926509429826,5.761493727037821,4.701596296120485,2.9133590921625205,2.9278534160041247,2.0364887355550474,1.4131965745564465
2024-08-09,73.83809902408036,0.0,6.412275040396064,5.7092621227148905,4.738089638495538,2.913517452658059,2.9280125643628256,2.0474707660775247,1.4132733912147302
2024-08-12,73.84345086942545,0.0,6.412739807295266,5.673435528861678,4.742057099658579,2.9137286267676714,2.9282247890898985,2.072987452484298,1.4133758264171539
2024-08-13,73.86888273314867,0.0,6.414948370450851,5.675389473829222,4.743690275634325,2.9147321219793643,2.9292332768150824,2.0392611516599652,1.4138625964825273
2024-08-14,73.87423904204226,0.0,6.415413524975156,5.6758010021749685,4.744034245510026,2.914943472212504,2.929445678541919,2.0321579174251623,1.4139651171180057
2024-08-19,73.8715607905011,0.0,6.438746170196799,5.67559523054228,4.816370657154531,2.914837793264767,2.929339473828273,1.939636029570377,1.4139138549418644
2024-08-20,73.87691748779324,0.0,6.439213067251708,5.676006788728912,4.8167199098220115,2.915049158823408,2.93317757399022,1.9288996305791557,1.4140163830113546
2024-08-22,73.87691748779324,0.0,6.439213067251708,5.676006788728912,4.8167199098220115,2.915049158823408,2.9349904155069013,1.9270867890624745,1.4140163830113546
2024-08-23,73.89031263043493,0.0,6.440380606186319,5.677035945374258,4.815780092914094,2.915577706854618,2.9373357494430845,1.9093045005423193,1.4142727682503742
