date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD
2024-08-21,32.11718872798239,37.13017483990919,4.303797662816003,2.658989052071702,0.9878311118325388,1.698006978389506,5.446175626770658,0.6388757687986181,0.0
2024-08-22,32.12549632668809,37.12772937295686,4.294566997587443,2.6605055185021085,0.9784085806338713,1.6991937782046065,5.446373426739841,0.6382164355680067,0.0
2024-08-23,32.12661719318013,37.124103040188494,4.286654998820107,2.6849008480347307,0.973661381373469,1.6935235124213486,5.446637160032086,0.6277989705243464,0.6596210954998987
2024-08-26,32.14224339074562,37.13577323837032,4.2927867978647924,2.685296447973098,0.9476988167516834,1.693259779129104,5.4465712267090245,0.6343923028304606,0.0
2024-08-27,32.15859867899752,37.124103040188494,4.294105464326016,2.691823846956151,0.8966004913792988,0.0,0.0,0.6289857703394469,0.0
2024-08-28,32.238422702694535,37.1241027764552,4.29377579771071,2.6934721800326793,0.9270880599627705,1.6938531790366542,5.4489448263392255,0.6372933690451508,0.0
2024-08-29,32.1947649528296,37.13508937794352,4.2936439310645875,2.697098512801042,0.9460904392689299,1.6958311787284883,5.449670092892898,0.6371615023990285,0.0
2024-08-30,32.20457022696864,37.12636573996931,4.293577997741527,2.697625979385531,0.9209116240583719,1.6968201785744055,5.451252492646366,0.641117501782697,0.0
2024-09-02,32.31736143966281,37.1320518297501,4.304127329431308,2.716680709750201,0.9343539780974315,1.6964245786360386,5.452703025753711,0.0,0.0
2024-09-03,32.30276136240412,37.12955018760651,4.312830528075381,2.7248564418097825,0.9668155244400307,1.7019959444347053,5.4521755591692225,0.6427658348592256,0.0
2024-09-04,32.33941000442772,37.128695230206375,4.3286545256100535,2.7330321738693644,0.9195911773974266,1.7095782765867362,5.454483225476362,0.6430955014745312,0.0
2024-09-05,32.41924615985618,37.12625338958681,4.302940529616208,2.724460841871416,0.864439271323243,1.7110947430171428,5.450856892707999,0.6330736363692376,0.0
2024-09-09,32.41229480960584,37.121374323680286,4.316588727489865,2.768768034968503,0.7300254890644622,1.71498480907775,5.458505158183091,0.6449416345202431,0.0
2024-09-10,32.36489231072433,37.102549568746454,4.325291926133936,2.8033170962525404,0.7209266904820247,1.7162375422159117,5.458834824798397,0.6420405683055529,0.0
2024-09-11,32.359992014287776,37.076868539414136,4.317973327274149,2.849602289041462,0.7234577388876958,1.714523275816322,5.456856825106563,0.6474471007965665,0.659291428884593
2024-09-12,32.31542108789844,37.051945743297026,4.332280858378416,2.853887955040436,0.7286928447387504,1.7165672088312174,5.45837329153697,0.0,0.0
2024-09-13,32.29770757319149,37.05168201000478,4.348961989112885,2.859426354177572,0.7340511799706063,1.722946389704029,5.459494158029009,0.6402603685829021,0.0
2024-09-16,32.28518024180987,0.0,4.343027990037383,2.8609428206079786,0.7694903411159698,1.7219573898581118,0.0,0.6465240342737105,0.6602804287305101
2024-09-17,32.270516472961106,37.05201167662009,4.349291655728191,2.872810818758984,0.775143398301909,1.7237375895807625,5.460549091197986,0.0,0.0
2024-09-19,32.20663908277965,37.05352827491714,0.0,2.877887684634692,0.8266505102772727,1.7240672561960686,5.461208424428598,0.6467877675659551,0.0
2024-09-20,32.195055784717624,37.05405574150163,0.0,2.87894261780367,0.8146398324151628,1.724199122842191,0.0,0.0,0.0
2024-09-23,31.969092594388606,37.05293210581002,4.361093720556136,2.8820414839875435,0.9407275546377828,1.7371879874852354,5.461472157720842,0.6490954338730951,0.0
2024-09-24,31.868280543428117,37.05669030522451,4.379884717628561,2.89107434924692,0.9407255107047677,1.7364627209315628,5.461142491105537,0.6486998339347282,0.6604122953766324
