date,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2024-10-03,27.32840854297604,19.331064497782975,7.2620133245578335,13.126400313280765,10.965226807781113,6.476885941125637,7.290231433476116,4.84023562386529,3.379533515154228,0.0
2024-10-04,27.315113954318054,19.324007843031712,7.25936238307262,13.121608622934463,10.961224037014883,6.474521604285568,7.327392979119701,4.838468733494802,3.3782998427281954,0.0
2024-10-07,27.363076315921813,19.3194070229562,7.258880601634607,13.12073778233748,10.960496574463729,6.407725001945795,7.353453446044475,4.838147619283775,3.378075635412128,0.0
2024-10-09,27.319014390595996,19.344887314953358,7.328965796020137,13.108881116031492,10.922963580347233,6.405174452190489,7.357160504898241,4.836221828738339,3.3767310162247113,0.0
2024-10-10,27.319014390595996,19.344887314953358,7.328965796020137,13.098930042309808,10.922963580347233,6.405174452190489,7.367111578619926,4.836221828738339,3.3767310162247113,0.0
2024-10-14,27.323546034278078,19.331508346495674,7.330181515631061,13.101102876319104,10.92477546778178,6.406236934457378,7.368333625805199,4.837024055121107,3.3772911441106226,0.0
2024-10-15,27.30633378137139,19.319330614867784,7.325563925441972,13.092849939610929,10.917893491406371,6.402201375889771,7.426686215428838,4.833977009863949,3.3751636461189984,0.0
2024-10-16,27.300902837475714,19.315488202279138,7.324106947474816,13.090245908838222,10.915722036699727,6.400928045066245,7.445098078311128,4.83301558244774,3.37449236140727,0.0
2024-10-17,27.300902837475714,19.315488202279138,7.324106947474816,13.080301432331126,10.915722036699727,6.400928045066245,7.455042554818222,4.83301558244774,3.37449236140727,0.0
2024-10-18,27.32437714590818,19.303970129632273,7.319739488831732,13.072501481298943,10.909212852044643,6.397111089809493,7.470474110575043,4.830133593444972,3.3724801084547202,0.0
2024-10-23,27.32437714590818,19.303970129632273,7.319739488831732,13.065875783639896,10.909212852044643,6.397111089809493,7.4770998082340885,4.830133593444972,3.3724801084547202,0.0
2024-10-24,27.311710006594314,19.29502112129305,7.730260306788848,13.04326208971569,10.904155517406654,6.394145492571972,7.122634362776961,4.827894421631245,3.370916681221267,0.0
2024-10-25,27.31080566032341,19.294382223897248,7.730004342146582,13.026274183767253,10.903794458638194,6.393933769408888,7.14226573827808,4.827734560226907,3.3708050633134374,0.0
2024-10-30,27.309595482451947,19.28456706089012,7.728724773158452,13.007564632143739,10.90198952339823,6.392875363876192,7.17750066746949,4.8269354119790195,3.3702470846328136,0.0
2024-10-31,5.155625,3.640625,1.4603125,2.4556250000000004,2.0581253125,1.206875,1.355,0.9112500000000001,0.63625,0.0
2024-11-01,27.30597945503932,19.28201361687526,7.740942290654558,13.005842317717237,10.900546005386618,6.392028891705773,7.176550304100527,4.826296283846203,3.369800834674509,0.0
2024-11-04,27.30597945503932,19.28201361687526,11.964779093252469,13.005842317717237,10.900546005386618,6.392028891705773,2.952713501502615,4.826296283846203,3.369800834674509,0.0
2024-11-05,27.30326806283379,19.28009897757387,11.973520695514758,13.004550881182443,10.899463617716778,6.391394184668693,2.9524203069520842,4.82581704880733,3.3694662247502483,0.0
2024-11-06,27.30326806283379,19.28009897757387,11.980140471987745,13.004550881182443,10.899463617716778,6.391394184668693,2.9458005304790977,4.82581704880733,3.3694662247502483,0.0
2024-11-11,27.299653710726695,19.277546716569642,11.978554564913962,13.00282936470423,10.898020768487072,6.390548104668838,2.9586483716074268,4.825178216782582,3.369020181539553,0.0
2024-11-12,27.299653710726695,19.277546716569642,11.988482915154256,13.00282936470423,10.898020768487072,6.390548104668838,2.9487200213671336,4.825178216782582,3.369020181539553,0.0
2024-11-13,27.32160833642261,19.254503925111198,11.986499479071199,13.000678109943614,10.896217744052782,6.389490819623599,2.9581588776506975,4.824379914557849,3.368462793566455,0.0
2024-11-14,27.32160833642261,19.254503925111198,11.979881673975784,13.000678109943614,10.896217744052782,6.389490819623599,2.964776682746113,4.824379914557849,3.368462793566455,0.0
2024-11-15,27.322512411731896,19.255141058964263,11.976969077663027,13.001108303947515,10.896578301209804,6.389702248644095,2.9648747875634953,4.824539553870062,3.3685742564058465,0.0
2024-11-18,27.308957561327617,19.245588476367377,11.971027236674981,12.99465838179196,10.940783004402391,6.3865322818122365,2.9634038966876037,4.822146072958177,3.3669030879776574,0.0
2024-11-19,27.308957561327617,19.245588476367377,11.98425671835662,12.99465838179196,10.940783004402391,6.3865322818122365,2.9501744150059626,4.822146072958177,3.3669030879776574,0.0
2024-11-20,26.784526367942156,18.87600326208737,11.76709088042996,12.745113733758595,10.730680224950447,6.263887660953895,2.8870326350331257,4.729543350425053,3.3022463173749683,1.9138755670444314
2024-11-22,26.781920066461456,18.874166509233284,11.77567649282891,12.743873554696266,10.729636062833297,6.263278145614276,2.8867517087502357,4.7290831363571275,3.3019249882109443,1.913689335014201
2024-11-25,26.781920066461456,18.809295684317547,11.77567649282891,12.743873554696266,10.729636062833297,6.263278145614276,2.9516225336659714,4.7290831363571275,3.3019249882109443,1.913689335014201
2024-11-26,26.78713317674037,18.812956920421144,11.777968632451968,12.746354154222223,10.69279451908718,6.26449729493589,2.971662103656797,4.73000365407381,3.30256770908583,1.914061835324793
2024-11-27,26.779314272150188,18.80746560060542,11.806963014141065,12.742633616964769,10.68643017032724,6.262668748882405,2.9707947042860083,4.728623011843887,3.301603721575499,1.9135031392235209
2024-11-29,26.779314272150188,18.80746560060542,11.803719788481363,12.742633616964769,10.68643017032724,6.262668748882405,2.9740379299457094,4.728623011843887,3.301603721575499,1.9135031392235209
2024-12-02,26.779314272150188,18.800979149286018,11.816692691120165,12.742633616964769,10.68643017032724,6.262668748882405,2.9675514786263077,4.728623011843887,3.301603721575499,1.9135031392235209
2024-12-05,26.778445786725165,18.800369410881164,11.835768184407593,12.742220358004502,10.68608359652202,6.262465642989741,2.951239634966683,4.728469656902663,3.3014966465891025,1.9134410820113659
2024-12-06,26.785395247832298,18.707929562098688,11.848571653470689,12.745527180420627,10.750492096889168,6.2640908590970295,2.9520055317339704,4.729696775019922,3.302353440994705,1.9139376524429037
2024-12-09,26.783657544420624,18.706715884543264,11.854290480330045,12.744700313918933,10.746550906684545,6.263684475993244,2.9550577719470983,4.72938993578361,3.30213920070488,1.9138134856737519
2024-12-12,26.810617309674207,18.72554560068925,11.908433932812178,12.757528813093128,10.754121101483543,6.269989345401586,2.818410539517647,4.7341504223695035,3.3054630521071022,1.9157398828518568
2024-12-13,26.808876332263893,18.724329636449784,11.914154257144528,12.756700388696238,10.753422770606296,6.269582196633351,2.8182275228781712,4.733843005018864,3.305248408168178,1.9156154821406928
2024-12-19,26.826218532104456,18.727369843196513,11.99402471230212,12.758771651451205,10.755168767877887,6.270600167715011,2.711523117577439,4.734611623266953,3.305785070292015,1.915926514216394
2024-12-20,26.8253474237251,18.726761722869224,12.022860287657933,12.75835734509332,10.751572295439718,6.270396547054009,2.6887044748631377,4.734457879650308,3.305677723925935,1.915864299721318
2024-12-23,26.835878108442557,18.71825218328353,12.040117300830632,12.752559880027917,10.743440972046917,6.267547245694555,2.6907284653965746,4.7323065169459655,3.3041756064821626,1.9149937208491907
2024-12-27,26.8341361693826,18.717037166041298,12.045826849620648,12.751732100810864,10.742743606401122,6.267140414015215,2.6905538079847817,4.731999339013042,3.303961129708694,1.9148694170217382
2024-12-30,26.830652969598855,18.714607604702056,12.057243723820095,12.750076864725921,10.741349146673766,6.266326909082655,2.6902045611753085,4.731385102766707,3.3035322596821035,1.9146208577725354
2025-01-02,26.830652969598855,18.714607604702056,12.063733964015935,12.750076864725921,10.741349146673766,6.266326909082655,2.6837143209794694,4.731385102766707,3.3035322596821035,1.9146208577725354
2025-01-03,26.878663913100482,18.732236228018188,12.156302077918859,12.762087071247347,10.757963543144502,6.2722296092081,2.738213133382925,4.479235956032093,3.3066440922702465,1.9164243756772552
