date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,KAISA FINANCIAL GROUP CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PUBLIC BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-07-26,4.356693973877443,4.286515902915813,2.277430830057406,2.219600335790972,1.4941871254707924,1.7286902689331511,1.7661961964933983,1.147496929055622,1.0102076474165638,0.8504738603247927,21.137493070335957
2024-07-29,4.359119567774982,4.2868191021530055,2.2743988376854816,2.21808433960501,1.4944903247079848,1.7274774719843813,1.767408993442168,1.147496929055622,1.011117245128141,0.8504738603247927,21.136886671861568
2024-07-30,4.359119567774982,4.287425500627391,2.2737924392110966,2.21808433960501,1.4898749652795942,1.7177750963942233,1.766802594967783,1.1565929061713953,1.0120268428397183,0.8504738603247927,21.13196811319599
2024-07-31,4.3621515601469065,4.294095883845624,2.2722764430251345,2.21808433960501,1.455113172735481,1.7480950201134673,1.766802594967783,1.1565929061713953,1.0120268428397183,0.8504738603247927,21.135712623775312
2024-08-01,4.3621515601469065,4.294095883845624,2.267122055992863,2.21808433960501,1.4493523872288245,1.7480950201134673,1.7671057942049755,1.1565929061713953,1.0120268428397183,0.8504738603247927,21.125100650473577
2024-08-02,4.361481489832712,4.305617454858936,2.2631804659093615,2.217477941130625,1.4493523872288245,1.7474886216390824,1.7616482079355116,1.1565929061713953,1.008388451993409,0.8504738603247927,21.121701787024648
2024-08-05,4.360875091358326,4.305617454858936,2.2631804659093615,2.217477941130625,1.4493463232440809,1.7474886216390824,1.7616482079355116,1.1565929061713953,1.008388451993409,0.8504738603247927,21.12108932456552
2024-08-06,4.360875819036496,4.310771841891208,2.2637868643837464,2.217477941130625,1.4484359978543342,1.7474886216390824,1.761951407172704,1.1565929061713953,1.008388451993409,0.8504738603247927,21.12624371159779
2024-08-07,4.360875819036496,4.319867819006981,2.2619676689605916,2.217477941130625,1.4478295993799493,1.746579023927505,1.761951407172704,1.1565929061713953,1.0080852527562165,0.8504738603247927,21.131701297867256
2024-08-08,4.360572619799304,4.319564619769789,2.2610580712490145,2.217477941130625,1.4478295993799493,1.746579023927505,1.761951407172704,1.1565929061713953,1.008388451993409,0.8504738603247927,21.13048850091849
2024-08-09,4.339955071670217,4.321383815192943,2.262877266672169,2.217477941130625,1.4472232009055646,1.7456694262159278,1.761951407172704,1.160534496254897,1.0086916512306014,0.8504738603247927,21.116238136770445
2024-08-12,4.350166063980765,4.324112608327675,2.261664469723399,2.217477941130625,1.4435825360649763,1.7456694262159278,1.761951407172704,1.160534496254897,1.0096012489421788,0.8504738603247927,21.12523405813794
2024-08-13,4.351075661692343,4.331086190783102,2.2613612704862067,2.217477941130625,1.434422735509774,1.7456694262159278,1.7622546064098965,1.1620504924408592,1.006266057333062,0.8504738603247927,21.12213824232659
2024-08-14,4.351075661692343,4.332602186969064,2.262270868197784,2.217477941130625,1.434422735509774,1.7456694262159278,1.761951407172704,1.1620504924408592,1.006266057333062,0.8504738603247927,21.124260636986936
2024-08-15,4.350469263217958,4.3298733938343315,2.261664469723399,2.217477941130625,1.4349883536867565,1.7462758246903125,1.761951407172704,1.1620504924408592,1.008388451993409,0.8504738603247927,21.12361345821515
