date,HAO TIAN INTERNATIONAL SECURITIES LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,STANDARD CHARTERED BANK (HONG KONG) LTD
2025-03-04,65.07245396706529,10.200123930165892,8.745783634460928,8.484983812871903,2.640745377411076,2.6115504503602947,2.2443588276646214
2025-03-05,65.06987424105813,10.199719557449411,8.74543691746903,8.484647435002653,2.6446050781888357,2.6114469183094022,2.2442698525225424
2025-03-06,65.0698226486243,10.19971147032211,8.74550927115132,8.48464070771731,2.644602981341192,2.6114448477521144,2.2442680730916584
2025-03-10,65.06234261160971,10.198538972592276,8.744107546658583,8.48366536424831,2.656190767716865,2.6111446516961294,2.244010085478137
2025-03-19,65.0623941921827,10.198547057860386,8.744114478872511,8.483672089987085,2.656113594819981,2.6111467217774065,2.2440118644999387
2025-03-21,65.06445748216801,10.198870479097348,8.741220528272704,8.483941128283005,2.656197826773756,2.6112295277200426,2.2440830276851313
2025-03-24,65.06448327412096,10.19887452199262,8.741184352728688,8.483944491369687,2.6561988797069853,2.611230562827561,2.2440839172535085
2025-03-25,65.06577289783996,10.19907667084294,8.741357609136886,8.484112649103311,2.654269457255511,2.6112823192498076,2.2441283965715866
2025-03-26,65.06577289783996,10.19907667084294,8.741357609136886,8.488671410511145,2.649710695847676,2.6112823192498076,2.2441283965715866
2025-04-02,65.06487015586887,10.198935165806313,8.741236328930004,8.488553636148069,2.6510613628441413,2.6112460895388097,2.244097260863796
2025-04-03,65.05197657648593,10.196914093915034,8.759320620975204,8.48687150199654,2.650536015294089,2.6107286319820173,2.2436525593511876
2025-04-07,65.06391585587974,10.19878557903707,8.742574812154066,8.488429135374867,2.651022479990403,2.6112077906517315,2.244064346912127
2025-04-09,65.05875796213816,10.197977077863756,8.741881751010792,8.487756221441895,2.6587397480843196,2.6110007890880502,2.2438864503730334
2025-04-10,65.05625667815367,10.197585000954543,8.745509216503084,8.487429896603151,2.658637528746615,2.610900405148028,2.2436812738909064
2025-04-11,65.06226524090356,10.198526844714149,8.722136994716188,8.487817398642852,2.6702595486414666,2.6111415465803676,2.247852425801417
2025-04-14,65.04937269380356,10.196505934633487,8.740224347556195,8.486135477713985,2.669730417863856,2.6106241304521496,2.247406997976761
2025-04-15,65.06252314397298,10.198567271086748,8.72177517452822,8.487851043861808,2.670270133396412,2.61115189699496,2.2478613361588735
2025-04-16,65.00851132165354,10.190100904017955,8.718336995866768,8.484765483991517,2.743305783753123,2.6089842424759757,2.245995268241116
2025-04-17,64.99821391023328,10.18848678212392,8.716956002807214,8.483421488886615,2.7587113387083164,2.6085709768344834,2.2456395004061838
2025-04-22,65.00593666292714,10.189697325599036,8.71799170658126,8.48046895046911,2.7511181249186167,2.6088809137900792,2.2459063157147576
2025-04-23,65.00645157835721,10.189778038725407,8.717268657011152,8.480536124707971,2.7511399166694197,2.608901578872481,2.2459241056563517
2025-04-24,65.00902627787261,10.19018162353801,8.71761392039412,8.480872011865637,2.747288197542331,2.60900490919536,2.246013059591938
2025-04-30,65.02190283532613,10.192200027237467,8.707456244937097,8.482551846835783,2.7399094270655433,2.6095216836116726,2.2464579349863114
