date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,YUE XIU SECURITIES CO LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-11-14,34.570602907833795,33.71723820677392,8.968948480764766,6.230629774682522,4.460248952201446,2.97129672716468,3.2857966780623347,2.5597992122705526,2.0637144668340466,1.1717245934119374
2024-11-15,34.573720796825874,33.699845893514826,8.969445094477505,6.216771071251503,4.456403327463636,3.003720489520495,3.2859786137364106,2.5589779868117724,2.0631065135968907,1.1720302128010902
2024-11-18,34.52417507225843,33.702652901050065,8.958899595607733,6.2331469984018835,4.437938707529098,3.0756926481905706,3.282115243885517,2.5552479888288997,2.0606808911444214,1.1694499531033817
2024-11-19,34.44486222818084,33.54968264877306,8.960348208255041,6.298792135846713,4.442985237634636,3.120922311449916,3.282645946747121,2.558066125023068,2.0643810438882446,1.277314114201363
2024-11-20,34.42859257402008,33.599965143525964,8.95611588572338,6.043029048459124,4.440646259278513,3.1187270293759184,3.28109542481639,2.5568578504508324,2.0610021276189445,1.5139686567308552
2024-11-21,34.434034402940995,33.57486876097986,8.957468959581234,6.021260994919716,4.441317144117664,3.164637422558298,3.272936036990575,2.5572441359299214,2.0613135001084752,1.5149186418732628
2024-11-22,34.42436860627761,33.57992096891235,8.955204657307178,5.991578409350207,4.440194451473725,3.195805119284652,3.272108692062578,2.565731324981331,2.0607924336256445,1.5142953367247227
2024-11-25,34.409490069176854,33.569011227586614,8.951334133311152,5.989684689762983,4.455093172672073,3.223734911418123,3.2553181676498824,2.56462239168045,2.0599017396805688,1.5218094970613036
2024-11-26,34.37390919057779,33.746017509094564,8.948451034588642,6.024630250086299,4.451256478675728,3.2731337869129478,3.2542696754909777,2.5561106950789734,2.05923827432605,1.3129831051680318
2024-11-27,34.383730745275656,33.69210982619301,8.951070391703448,6.035201347984087,4.421327268777234,3.3315110205895655,3.255222253137661,2.5568589102404022,2.059841046851048,1.3131271892478888
2024-11-28,34.37123708479458,33.701008889003226,8.947880454869534,6.036494353901629,4.414948382599581,3.3591431703083616,3.2540621736261106,2.5388962217226045,2.059106971199777,1.3172222979745927
2024-11-29,34.368689132657074,33.81609422871119,8.949280675555396,5.8961255996158854,4.412756868879494,3.384889765853649,3.25457138976859,2.5392935241929324,2.0606301901630566,1.3176686246027314
2024-12-02,34.37024917342498,33.80141499186387,8.949686895374935,5.913833340452766,4.409834436042292,3.38216088704414,3.2547191191169658,2.539408786122304,2.060243304342938,1.3184490662148047
2024-12-03,34.37241472234801,33.81047146950605,8.9504384449764,5.901876527341735,4.405159912013479,3.3836460561798685,3.254992434025682,2.5302530448592453,2.0724278362886963,1.318319552460835
2024-12-04,34.371748940206906,33.82042686066822,8.950235111921794,5.881570414710165,4.4032639352069625,3.404915273475523,3.254656422508463,2.528310408246975,2.068610815478325,1.3162618175766572
2024-12-05,34.35696631072964,33.78437997990747,8.946885987379167,5.9239925625818115,4.4004156812340085,3.399319090477685,3.2534385495066784,2.528324792705196,2.067836753661554,1.3384402918167888
2024-12-06,34.33740218015444,33.81296950394042,8.946355606391188,5.933071610243834,4.4001548198773515,3.382790670126954,3.2532456821833833,2.528174910902368,2.0677141700830965,1.3381208460969563
2024-12-09,34.394895202328684,33.81722144073881,8.948695233574785,5.906097452229491,4.4013055366922815,3.342847391464612,3.254096462363361,2.528836072497846,2.0682549132072325,1.3377502949028917
2024-12-10,34.41740441278439,33.7996772548491,8.951801285028466,5.941159507334381,4.398028255927918,3.300763093350771,3.2552259444591893,2.529713820007856,2.068972795089683,1.3372536311682417
2024-12-11,34.39162205864344,33.77217384953307,8.945532523348945,6.019744100797033,4.393748010236479,3.2926897301540294,3.2529463769164044,2.527942313631643,2.0675239361437723,1.3360771005951813
