date,UPBEST SECURITIES CO LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,EDDID SECURITIES AND FUTURES LTD,WATON SECURITIES INTERNATIONAL LIMITED,DBS BANK (HONG KONG) LTD
2024-08-20,84.16003537087269,0.0,4.240404269107447,3.196571307340615,2.7446596786610886,2.3931200324708417,0.2754435398684467,1.274706349553006,1.4093082088414703,0.30575124328439235
2024-08-21,84.15628451247329,0.0,4.240215282067464,3.18929793551343,2.744537354213816,2.3930133755007605,0.2807794437358106,1.2755409015426826,1.414593578440417,0.3057376165123271
2024-08-22,84.15628451247329,0.0,4.240215282067464,3.1794929390655127,2.7329496311390047,2.3930133755007605,0.29236716681062186,1.2755409015426826,1.4243985748883345,0.3057376165123271
2024-08-23,69.30393578750663,14.85684979516861,4.240442068537025,3.170748883284885,2.7330958020188083,2.3958155979688907,0.2959484479197588,1.275609123413177,1.4218005253976362,0.30575396878457
2024-08-27,69.30393578750663,14.85684979516861,4.250247589401837,3.1680746503217545,2.7330958020188083,2.3958155979688907,0.2959484479197588,1.275609123413177,1.4146692374959553,0.30575396878457
2024-08-28,69.30640700721563,14.85737955642402,4.250399143501784,3.1664047310650867,2.7331932579588756,2.394118141722166,0.3004162146308937,1.2756546087145664,1.410262467495768,0.30576487127120633
2024-08-29,69.30640700721563,14.85737955642402,4.250399143501784,3.1664047310650867,2.7331932579588756,2.394118141722166,0.30576487127120633,1.2756546087145664,1.404913810855455,0.30576487127120633
2024-08-30,69.31011416723945,14.858174269148694,4.250626494918058,3.16657410024097,2.7333394549011323,2.3657185071338556,0.3057812264590802,1.29801010415283,1.4058804493468495,0.3057812264590802
2024-09-02,69.30764268315984,14.857644451219532,4.250474924604884,3.1611124334414673,2.733241988535247,2.36741706685732,0.3129019921426833,1.297963819258538,1.4058303179743918,0.30577032280609795
2024-09-03,69.308878403167,14.857909355460922,4.248767759287605,3.1602773199065375,2.735073669971957,2.367459276699143,0.31290757102600697,1.2970954867317384,1.4058553832137122,0.30577577453538574
2024-09-04,69.2687400453973,14.849304800097174,4.2498710337878105,3.1522104229646284,2.733489726211488,2.366088226847484,0.3127263590900465,1.3560385143448739,1.4059321784732004,0.3055986927859999
2024-09-05,69.26812289531541,14.849172500164084,4.695308344551883,3.1504004376348123,2.2879901971702825,2.3651761958261353,0.3127235728534556,1.3649359362150826,1.4005739502154764,0.3055959700533768
2024-09-09,69.26812289531541,14.849172500164084,4.695308344551883,3.1397090334346935,2.2879901971702825,2.3651761958261353,0.3127235728534556,1.3684997376151218,1.4077015530155552,0.3055959700533768
2024-09-10,69.26688862814207,14.848907907370137,4.694333745835995,3.1343074810876885,2.2879494281834054,2.3651340514859154,0.31271800052921506,1.3729300251154428,1.4112402075164576,0.3055905247336774
2024-09-11,69.26503730985368,14.848511035858857,4.712917402781601,3.1333327987869364,2.25047002961684,2.3615071951429925,0.3127096424151875,1.403184292888662,1.4058570248751168,0.3064732677801268
2024-09-12,69.26380315263908,14.84824646663703,4.712833428510593,3.1314951798137494,2.2504299309764413,2.362356012841951,0.31270407058737587,1.4031592910971993,1.4004866067332045,0.31448586016337227
2024-09-13,69.26380315263908,14.84824646663703,4.712833428510593,3.129713390237753,2.2504299309764413,2.3543379597499676,0.3278492819833456,1.4031592910971993,1.3951412380052153,0.31448586016337227
2024-09-16,69.26380315263908,14.84824646663703,4.712833428510593,3.121695337145769,2.2504299309764413,2.3543379597499676,0.3403218090153207,1.4031592910971993,1.390686764065224,0.31448586016337227
2024-09-17,69.25824998938435,14.847056021802604,4.712455581320147,3.11164600104939,2.250249504776446,2.348804262649172,0.3643467547750359,1.4030467940603462,1.3896844436407239,0.3144606465417792
2024-09-19,69.25824998938435,14.847056021802604,4.712455581320147,3.1036285907976167,2.250249504776446,2.348804262649172,0.3670192248589604,1.4030467940603462,1.3941385604472647,0.3153514699030873
2024-09-20,69.25701607402729,14.848573119408885,4.712371623505559,3.0973376436538427,2.220812766815402,2.3487624160005653,0.36701268598946885,1.4030217971684793,1.3985677597171509,0.34652411371335773
2024-09-23,69.25701607402729,14.868170884194729,4.701681933622371,3.084866338790123,2.2181403443446044,2.3487624160005653,0.36701268598946885,1.4030217971684793,1.4030217971684793,0.34830572869388915
2024-09-24,69.25393147798275,14.872853286680854,4.701472528275198,3.0856197116228277,2.219823087573462,2.3450947346417528,0.3732317145409829,1.4029593088354368,1.3967239341295017,0.3482902157172418
2024-09-25,69.25023032540088,14.886309956975245,4.7056748675276365,3.0810012051444438,2.2232673339348663,2.3467508456646127,0.37855608909696115,1.402884330182856,1.3770534441032984,0.34827160196920426
2024-09-26,69.25023032540088,14.886309956975245,4.711909908995116,3.070312562628765,2.2232673339348663,2.3414065244067728,0.37855608909696115,1.402884330182856,1.3868513664093376,0.34827160196920426
2024-09-27,69.24652956840085,14.885514427263368,4.7241275193788095,3.07727386490456,2.2231485217358258,2.3377187083703332,0.3785358589245841,1.4028093595440467,1.3743078360485488,0.35003433542908596
