date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,MERRILL LYNCH FAR EAST LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-08-20,54.719766984223675,14.603095768785273,10.170631184928666,6.034876388776269,4.591419599141139,0.5321403685032497,0.5196521771805922,0.292906618990265,0.0
2024-08-21,54.77502730911146,14.396621086655422,10.322327613088069,6.0406117966132085,4.577313627263097,0.5319425958192173,0.53433745821228,0.33463665532110703,1.2396391835152514
2024-08-22,54.9033361285206,14.3958959201473,10.438192904839037,6.040677720841219,4.5930035935296685,0.5318766715912064,0.47615949180331113,0.14393302625827925,0.0
2024-08-23,55.00418899025837,14.357000625620923,10.295642474452714,6.040545872385198,4.578268045274123,0.531678898907174,0.4730610530868031,0.10005204717801452,0.0
2024-08-26,55.11444561350075,14.342365447002525,10.220727994657501,6.062037170716721,4.562314382095507,0.5318107473631958,0.48255414192035956,0.09633375590763488,0.0
2024-08-27,55.17519478961271,14.34612312799914,10.149508403031723,6.060718686156505,4.559696036569488,0.5339203226595416,0.4834111568845001,0.09613598322360245,0.0
2024-08-28,55.19591147826512,14.276638991675746,10.178080128262177,6.060586837700484,4.560041479524264,0.0,0.4389287840342068,0.09460324492235114,0.0
2024-08-29,55.1621119617534,14.280264824216342,10.19956203239121,6.053137399935262,4.578382918241432,0.5333270046074443,0.4380717690700663,0.10330524301977793,1.2184775063237816
2024-08-30,55.06870392308488,14.295097775518773,10.291007177170703,6.0524781576551545,4.5694027199018,0.5328655350113686,0.0,0.12121092258979374,1.1554539443454481
2024-09-02,55.15780513193745,14.255806935624332,10.3400198629699,6.0275587994670685,4.568413856481637,0.5309537323990552,0.4354951206182638,0.0927677496039602,0.0
2024-09-03,54.98587392123241,14.257586889780624,10.5470952796275,6.020307134385879,4.560173327980286,0.5290419297867418,0.43904761245519625,0.10789604144788065,0.0
2024-09-04,55.041801893739375,14.249478209735294,10.572485831235296,6.02353742155841,4.582173890973193,0.5308878081710443,0.4433084601221049,0.12054640637144479,0.0
2024-09-05,55.040257453887655,14.247039013298894,10.575289918273736,6.01951604364975,4.600716728206933,0.5341840195715849,0.44212182401791034,0.1076944781207376,0.0
2024-09-09,55.03603830329495,14.22238335202285,10.596808904781023,0.0,4.5964810965572385,0.5594989231277355,0.4628220316133043,0.11692387004225084,0.0
2024-09-10,55.050667219111695,14.219812307130432,10.586788751744521,6.025317375714701,4.588040488023875,0.5742000259741458,0.4632624054564165,0.11962874111753433,0.0
