date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,DEUTSCHE BANK AG,CITIBANK N.A.,BNP PARIBAS,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,VALUABLE CAPITAL LTD,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-08-20,40.01182244013253,18.64329116308269,0.0,10.450315041637554,10.219712680793803,7.295840177134892,5.749352505680555,3.732818999390947,3.8968469921470295,0.0
2024-08-21,40.108069967197856,18.57669757311395,0.0,10.44301408648093,10.212318467410507,7.290561457393431,5.745192707790866,3.730118213070936,3.894027527541518,0.0
2024-08-22,40.10657472694248,18.579689707817828,0.0,10.442624767945727,10.211937749273591,7.290289663188817,5.7449785253727494,3.7300225023709976,3.893882357087805,0.0
2024-08-23,40.10744403910562,18.580092423590994,0.0,10.442851112398916,10.21215909357325,7.290447680609156,5.745103048091108,3.730103350809244,3.8917992518217086,0.0
2024-08-26,40.12170613735685,18.586699454031624,0.0,10.446564561913247,10.21579050963177,7.2930401440185655,5.747145991143163,3.731429765437527,3.857623436467246,0.0
2024-08-27,40.13366280396729,18.55389192862434,0.0,10.445339897223292,10.218834916588632,7.295213542360103,5.7488586976851614,3.7454251670154983,3.8587730465356844,0.0
2024-08-28,40.13408063293962,18.553130756246873,0.0,10.445448642982585,10.218941304219197,7.295289492357296,5.748918548681903,3.7453774025997846,3.8588132199727405,0.0
2024-08-29,40.216930076737796,17.79865278194917,0.0,10.466489733343925,10.239340937968045,7.232106076861113,5.760786135946588,3.761802735957335,4.523891521236035,0.0
2024-08-30,40.2932598089533,17.793281438530823,0.0,10.486354610077633,10.25877469759035,7.088264930357329,5.7717198213937015,3.7689860013208807,4.539358691775979,0.0
2024-09-02,40.29345283893374,17.792887616801075,0.0,10.486404846291698,10.25882384355393,7.088298887591052,5.771747471550811,3.7690040571271752,4.539380438150524,0.0
2024-09-03,40.45016034124434,17.75378850185174,0.0,10.491494404101651,10.260548999552908,7.089972456164009,5.773110198395802,3.769981053135687,4.410944045553862,0.0
2024-09-04,40.4482221602694,17.79022462787698,0.0,10.490991701153598,10.260057362419815,7.095731047154402,5.772833578173326,3.7698439727680984,4.372095550184376,0.0
2024-09-05,40.4514995566035,17.782953539673787,0.0,10.491841754280932,10.26088870364055,7.0963059926447025,5.773301333308065,3.7701929946311705,4.373016125217289,0.0
2024-09-09,40.457092128516855,17.748094091239082,0.0,10.49197546168374,10.262042077432632,7.097103651949749,5.773950280455232,3.7706603504358243,4.399081958286891,0.0
2024-09-10,40.45282702438111,17.74291223368039,0.0,10.49086936716287,10.260960223156832,7.096355454673446,5.773341573849663,3.7708291578566553,4.4119049652390325,0.0
2024-09-11,40.46719449488763,17.740498182492466,0.0,10.494856839658272,10.269093169324028,7.0988758391607245,5.775392068731921,3.774913883630366,4.379175522114587,0.0
2024-09-12,40.467035779976264,17.740428603129928,0.0,10.494815678162055,10.26905289328729,7.098847996918047,5.775369417276791,3.775291284540044,4.379158346709582,0.0
2024-09-13,40.4760139462458,17.72004237078835,0.0,10.4974928020202,10.271331223353467,7.103038262787112,5.776650762102201,3.7753007097214013,4.380129922981468,0.0
2024-09-16,40.48012512381851,17.72097035650737,0.0,10.498559039842796,10.271807786237664,7.103759723443857,5.777237500635548,3.766965653615987,4.3805748158982665,0.0
2024-09-19,40.482136905541296,17.72185105349544,0.0,10.499080797350398,10.267304878764765,7.104112766176087,5.77752461785113,3.76719645906516,4.380792521755721,0.0
2024-09-20,40.478131186624,17.720097471312258,0.0,10.498041910330613,10.266942782535688,7.113871516171175,5.776952930153147,3.7656031617787167,4.380359041094407,0.0
2024-09-23,40.47823705445728,17.72014381703697,0.0,10.4982873199901,10.26640295792132,7.1138901220243005,5.77696803938551,3.7657001915552595,4.38037049762926,0.0
2024-09-24,40.470492519743026,17.69226029431063,0.0,10.49627872582923,10.264438729242311,7.112529050668122,5.775862755836131,3.765023297823309,4.423114626547243,0.0
2024-09-25,40.47903108085901,17.676900015421502,0.0,10.49849325576971,10.264555549119818,7.114029669025033,5.777081361147499,3.765861242828176,4.4240478258292475,0.0
2024-09-26,40.47793709703459,17.67611714903087,0.0,10.498209524131477,10.267198684887818,7.113837405693214,5.776925230099084,3.7658466473403367,4.423928261782612,0.0
2024-09-27,40.47529060654767,17.67496146573188,0.0,10.497523140050966,10.261907142875454,7.113372295453665,5.776547528596449,3.7674311020064097,4.43296671873751,0.0
2024-09-30,17.623645715477576,7.6959857295351,0.0,4.57080421012117,4.468212905725485,3.097286055238079,2.515209293793993,1.6413729609876668,1.9252184140087867,0.0
2024-10-02,38.99195144145302,17.02720916572943,0.0,10.112809726588631,9.885828588639473,6.852681301920967,5.564848512732888,3.631587689550354,4.237923049050708,3.6951605243345322
2024-10-03,38.99498062883923,17.033025244373036,0.0,10.115527054825726,9.918721426751219,6.857412994171673,5.565280831924356,3.6282164061803117,4.191387820801656,3.6954475921327967
2024-10-04,38.96464451896842,17.063329496561693,0.0,10.107531807982388,9.903242459684133,6.910655241203297,5.560951326740443,3.667648139384899,4.129424287450052,3.6925727220246722
2024-10-07,38.97126730923633,17.067111059266253,0.0,10.10924977728807,9.896112487231818,6.9041917168808125,5.561896517304394,3.6688590746051206,4.128111712454194,3.6932003457330067
2024-10-08,38.89588552534997,17.10488012825412,0.0,10.114857387807614,9.893455618549064,6.908021478629061,5.564981706621717,3.6711461401727705,4.151523047118869,3.695248967496814
2024-10-09,38.89274988693431,17.106272379660183,0.0,10.114041966459938,9.893707735850684,6.909605947964543,5.564533078953623,3.6720678268212605,4.152070106781705,3.6949510705737487
2024-10-10,38.762691894971844,17.158270462388753,0.0,10.112097377545703,9.88878298358257,6.908277463944732,5.563463207049383,3.671361812112993,4.240814142213989,3.6942406561900327
2024-10-14,38.74018397588706,17.208471044100854,0.0,10.106225693758416,9.87586663794551,6.90426610811333,5.560232730176549,3.6783342701373942,4.234323979031361,3.6920955608495296
2024-10-15,38.70624397735915,17.189489131122848,0.0,10.117104723837338,9.891285730089473,6.911698330679805,5.566218143618755,3.6830498855492597,4.238840093614778,3.6960699841285924
2024-10-16,38.70696605833625,17.18982846090584,0.0,10.117304440939122,9.889422933194343,6.911834771331227,5.566328023765882,3.6832485943810007,4.238923770603555,3.696142946542779
2024-10-17,38.659795953016136,17.18964536958994,0.0,10.10547842373019,9.898388154658877,6.903411688684358,5.559544638089732,3.671041223584695,4.321055893444652,3.6916386552014258
2024-10-18,38.66023383776388,17.189840070139724,0.0,10.105844587252106,9.89850026992212,6.9034898809927085,5.559607608929112,3.6696984396225094,4.3211048363949,3.6916804689829386
2024-10-21,38.660168965323486,17.208269386955127,0.0,10.105827629496407,9.880025498473625,6.903478296835257,5.55959827982586,3.6698600832838797,4.321097585517496,3.6916742742888706
2024-10-22,38.6598283885832,17.208117790714073,0.0,10.106242002185734,9.888328459944763,6.903249680655432,5.559549302547433,3.6703731036240277,4.312669519259242,3.691641752486091
2024-10-23,38.65995813139575,17.2081755413481,0.0,10.106275918845903,9.887900193760727,6.903272848037871,5.559567960456511,3.670511271852464,4.3126839926259475,3.691654141676728
2024-10-24,38.664321240467444,17.20340485241519,0.0,10.107416499081214,9.884317182642476,6.904051941804225,5.560195405559284,3.671051385265282,4.313170716139399,3.6920707766254877
2024-10-25,38.6739267938089,17.207636807303544,0.0,10.109927530575144,9.886772788557586,6.881679066945824,5.5615767502161555,3.6639480297342617,4.321544218282246,3.69298801457633
