date,KGI ASIA LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),UPBEST SECURITIES CO LTD,HANG SENG BANK LTD,CMB WING LUNG BANK LTD
2024-07-09,48.34770663206899,13.14966038311837,11.981988857513546,8.57055636113867,0.0,5.79256658780432,4.930168663664809,3.640387697473861,3.5869648172174315
2024-07-15,48.32189168573608,13.142639206712433,11.975591151792525,8.565980167810832,0.0,5.827612509534706,4.94279176201373,3.638443935926773,3.585049580472922
2024-07-18,48.32189168573608,13.142639206712433,11.975591151792525,8.565980167810832,0.0,5.842868039664379,4.9275362318840585,3.638443935926773,3.585049580472922
2024-07-23,48.39572192513369,13.162719633307868,11.841100076394193,8.579067990832696,0.0,5.8517952635599695,4.935064935064935,3.6440030557677616,3.590527119938885
2024-07-24,48.382173382173384,13.148656898656899,11.828449328449327,8.56990231990232,0.0,5.914224664224664,4.92979242979243,3.6401098901098905,3.5866910866910864
2024-07-25,48.3747901724401,13.146650389134749,11.826644285060278,8.56859453685335,0.0,5.928582328704411,4.929040134289639,3.639554402563711,3.5861437509537617
2024-07-26,48.37528604118993,13.142639206712433,11.823035850495804,8.565980167810832,0.0,5.942028985507246,4.9275362318840585,3.638443935926773,3.585049580472922
2024-07-29,48.36790726052471,13.140634533251983,11.82123245881635,8.564673581452105,0.0,5.9411226357535085,4.942037827943868,3.6378889566809027,3.5845027455765712
2024-07-30,48.360530730517006,13.138630471252096,11.819429617202989,8.563367393625134,0.0,5.940216562452341,4.9565350007625435,3.637334146713436,3.5839560774744545
2024-07-31,48.32368180432795,13.12861932337702,11.886619932947271,8.556842426089608,0.0,5.93569033831149,4.952758305394696,3.634562633343493,3.581225236208473
2024-08-01,48.369399573300825,13.12861932337702,11.825662907650107,8.556842426089608,0.0,5.93569033831149,4.967997561718988,3.634562633343493,3.581225236208473
2024-08-02,48.34729626808835,13.122619954303122,11.820258948971821,8.552932216298553,0.0,5.963442498095963,4.9809596344249805,3.632901751713633,3.57958872810358
2024-08-06,48.3325719506624,13.118623420130957,11.816659052839958,8.5503273945485,0.0,5.9768539668037155,4.994670321303487,3.6317953403380536,3.5784985533729254
2024-08-08,48.36402374067874,13.11063765028154,11.809465834728352,8.545122507989651,0.0,5.973215644498555,4.991629888905798,3.6295845381220513,3.5763201947953127
2024-08-09,48.37973528069375,13.106648410162789,11.805872508747909,8.54252244028602,0.0,5.971398143922105,4.9901110603986005,3.6284801460520306,3.575232009736802
2024-08-12,48.530193695404485,13.087732624382834,11.697683251044436,8.530193695404481,0.0,5.962780098746677,4.998101025446259,3.62324344853779,3.570072161033042
2024-08-13,48.655628133070024,13.08673856904147,11.575269633905515,8.529545799787332,0.0,5.962327206440833,4.997721403615373,3.622968251557041,3.5698010025824094
2024-08-14,48.768248175182485,13.10066909975669,11.420316301703163,8.538625304136254,0.0,5.968673965936739,5.003041362530414,3.6268248175182483,3.5736009732360094
2024-08-15,48.77214323728427,13.09967307838516,11.419448034668896,8.537976127119288,0.0,5.968220177906181,5.002660989888239,3.6265490762563677,3.5733292784915984
2024-08-16,48.80328242534762,13.0917103563559,11.41250664843097,8.532786262442063,0.0,5.964592356203935,4.9996200896588405,3.6243446546615004,3.571157206899172
2024-08-19,48.994612641323315,13.073829577357918,11.396919341376432,8.521132104105016,0.0,5.804689278397451,5.023142878822369,3.6193944912360574,3.56627968738144
2024-08-20,49.08897661706651,13.080777406620104,11.28150622532645,8.525660491952628,0.0,5.807774066201032,5.025812329183116,3.621317947160644,3.5681749164895233
2024-08-21,49.25293894577171,13.067880166856277,11.323473644292758,8.517254455821009,0.0,5.635191505498673,5.020857034508912,3.6177474402730376,3.564656806977626
