date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-09-09,47.313783082791616,11.364115726656134,4.449781825942483,0.0,0.0,0.0,0.0,0.6634895261782843,0.0
2024-09-10,47.33564544361427,11.36298001960041,4.447131842812465,2.450373718603023,6.228122851325062,2.8312230476604197,0.0,0.0,0.0
2024-09-11,47.45375897740937,11.359607348213935,4.445328718576997,2.460784366613809,0.0,0.0,0.0,0.0,0.0
2024-09-12,47.426312723562745,11.370207280734007,4.434539501547637,2.4902181078079386,0.0,2.834251599809012,0.0,0.0,0.0
2024-09-13,47.462749991600504,11.370547992850724,4.454792944041348,2.472614648444247,0.0,0.0,0.0,0.0,0.0
2024-09-16,47.47685168754238,11.370453350596081,4.005185449131917,2.452455848205181,6.222633600555739,0.0,0.0,0.0,0.0
2024-09-17,47.5254031641745,0.0,4.002724750511186,2.4431809072501176,0.0,0.0,0.0,0.0,0.0
2024-09-19,0.0,0.0,4.001589043455465,0.0,0.0,2.836523013920456,0.0,0.0,0.0
2024-09-20,0.0,0.0,4.000642620909029,2.4494272960565886,0.0,0.0,0.0,0.0,0.0
2024-09-23,47.47467491568558,0.0,4.003008677275117,2.419709628098528,6.221687178009304,2.838415859013326,0.0,0.0,0.0
2024-09-24,47.5195353443866,11.43311977308573,4.48680379382942,2.4030525912812717,0.0,2.8403087041061963,0.0,0.0,0.0
2024-09-25,47.50959790764904,11.429996578682495,4.238557159899509,2.3924526587611994,6.220740755462869,0.0,0.0,0.0,0.0
2024-09-26,47.510071118922255,11.420626995472787,4.383815985171451,2.386395554464015,6.251404845967365,2.8388890702865437,1.900558436623524,0.0,0.0
2024-09-27,47.522563896535196,11.406998510804122,4.387223106338618,2.4447898255790568,6.265506541909247,2.843431898509432,1.902451281716394,0.0,0.0
2024-09-30,47.5284317163231,11.353998848203762,4.392806999362584,2.4148828731117096,6.216671138513199,0.0,1.9329260877116023,0.6633002416689973,0.0
2024-10-02,48.07186754248609,11.363652358177397,4.363373258168455,2.355447537195589,6.2374924345347695,2.840781915379414,1.9423903131759526,0.0,2.0512766057123226
2024-10-03,48.02833210535008,11.355560445405379,4.362048266603446,2.3968062024748003,6.145878732039858,2.8343462420636554,0.0,0.0,2.0539265888423404
2024-10-04,0.0,11.268016359860137,4.375676751272111,2.4496165805658756,6.1286538416947405,2.829235560312906,1.9424849554305963,0.0,2.03149637449183
2024-10-07,0.0,11.130406521608482,4.403690858646588,2.5260875223178267,6.080670218590484,2.826017723655027,1.9273421946876357,0.0,0.0
2024-10-08,0.0,10.47832138711474,3.928075672161123,2.5829675173585724,6.205314067955978,2.831980185697568,2.020754100020774,0.6670859318547374,0.0
2024-10-09,0.0,10.50075160146525,3.929022094707558,2.547855240885833,6.086632680633024,2.7464235874998404,2.107162478510293,0.6668966473454504,2.0260071237225072
