date,KOALA SECURITIES LTD,SUPREME CHINA SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-07-29,51.12949772252149,12.946982677409874,8.442928770317181,8.16779393179591,7.884223469051667,6.831663866979136,2.3858331921432008,0.3936209753616607,1.8174553944198857,0.0
2024-07-31,51.11677321081961,12.943760583708178,8.440827592900597,8.165761226721676,7.882261335679332,6.854850513360884,2.385239433868146,0.3935230155746454,1.8170030873669314,0.0
2024-08-01,51.11677321081961,12.95620399922042,8.440827592900597,8.165761226721676,7.882261335679332,6.842407097848642,2.385239433868146,0.3935230155746454,1.8170030873669314,0.0
2024-08-02,51.11681296505357,12.95621407544262,8.440834157451015,8.16576757734911,7.88226746582491,6.84233464787751,2.385241288902425,0.3935233216230333,1.8170045004758055,0.0
2024-08-05,51.09773803863423,12.951379289863729,8.394148610479238,8.162720411325635,7.879326091681907,6.839781338655474,2.384351204027429,0.4742285545295979,1.8163264608027554,0.0
2024-08-06,51.09773803863423,12.951379289863729,8.387929219600162,8.162720411325635,7.879326091681907,6.84600072953455,2.384351204027429,0.4742285545295979,1.8163264608027554,0.0
2024-08-07,51.10091620435577,12.952184836866115,8.388450930152207,8.163228114390419,7.879816168249963,6.6411738710870205,2.3844995053721774,0.6732909372551934,1.81643943227113,0.0
2024-08-08,51.09773803863423,12.951379289863729,8.387929219600162,8.162720411325635,7.879326091681907,6.646980221404096,2.384351204027429,0.6732490626600521,1.8163264608027554,0.0
2024-08-09,51.08820591297773,12.948963249945825,8.386364477238011,8.161197680973054,7.877856227666837,6.664394939728245,2.383906410653819,0.6731234701209353,1.8159876306955494,0.0
2024-08-13,51.07232693748798,12.944938519259178,8.383757870221727,8.158661059151493,7.8754076725900735,6.6934050362581115,2.383165457026888,0.672914253318493,1.81542319468606,0.0
2024-08-19,51.034257639337724,12.93528936572385,8.37750861946071,8.152579595490208,7.869537345923548,6.762955745929264,2.3813890461647786,0.672412663223127,1.8140699787467907,0.0
2024-08-21,51.027918273346984,12.933682571831303,8.376467983313814,8.15156689954409,7.868559808878409,6.780748344253635,2.3810932351266976,0.6661182448389811,1.8138446388660898,0.0
2024-08-22,51.04376964222532,12.937700305267013,8.379070058577593,8.154099111286865,7.871004106986039,6.751790612984984,2.3818329005585017,0.6663251685460971,1.8144080935675857,0.0
2024-08-23,51.034257639337724,12.93528936572385,8.37750861946071,8.152579595490208,7.869537345923548,6.7443207529531035,2.406235703466326,0.6662009988977402,1.8140699787467907,0.0
2024-08-26,51.021580482085504,12.932076177074157,8.37542760566599,8.15055445515656,7.867582514658215,6.7674859162211165,2.4056379828408136,0.6660355113367317,1.813619354960909,0.0
2024-08-27,51.018412176794904,12.931273129324886,8.374907513749132,8.150048327267974,7.867093958579201,6.773275408918857,2.4054885990805244,0.6659941522919047,1.813506733992621,0.0
2024-08-29,51.02950296719088,12.934084232879686,8.376728118112489,8.14405619293371,7.86880417037132,6.762325666472778,2.404458752025202,0.6661389314261988,1.813900968587745,0.0
2024-08-30,51.018412176794904,12.931273129324886,8.368697778063426,8.13918128981799,7.867093958579201,6.791904615975973,2.4039361651590982,0.6659941522919047,1.813506733992621,0.0
2024-09-02,51.021580482085504,12.932076177074157,8.369217484348166,8.139686742850365,7.867582514658215,6.786116280174591,2.4040854525113575,0.6660355113367317,1.813619354960909,0.0
