date,SPDB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOYUAN SECURITIES BROKERAGE (HONG KONG),FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-09-26,53.89492753623188,11.796014492753622,5.048550724637681,2.4581521739130436,0.7260869565217392,6.00672463768116,1.7184782608695652,1.5739130434782609,1.6323369565217392,1.4561594202898551,86.31134420289855
2024-09-27,53.89492753623188,11.790217391304347,5.048550724637681,2.4581521739130436,0.7260869565217392,6.016144927536232,1.7184782608695652,1.6079710144927535,1.6323369565217392,1.4561594202898551,86.34902536231884
2024-09-30,53.89492753623188,11.772101449275363,5.101811594202898,2.4581521739130436,0.7260869565217392,6.0831739130434785,1.7184782608695652,1.6079710144927535,1.596467391304348,1.4561594202898551,86.41532971014493
2024-10-02,53.89492753623188,11.772101449275363,5.120289855072464,2.4581521739130436,0.7260869565217392,6.0831739130434785,1.7184782608695652,1.6079710144927535,1.596467391304348,1.4561594202898551,86.4338079710145
2024-10-03,53.89492753623188,11.763043478260869,5.120652173913044,2.4581521739130436,0.7260869565217392,6.081,1.7184782608695652,1.6079710144927535,1.596467391304348,1.4561594202898551,86.4229384057971
2024-10-04,53.89492753623188,11.763043478260869,5.123913043478261,2.4581521739130436,0.7260869565217392,6.0831739130434785,1.7184782608695652,1.6079710144927535,1.596467391304348,1.4561594202898551,86.4283731884058
2024-10-08,53.89492753623188,11.763043478260869,5.12463768115942,2.4581521739130436,0.7260869565217392,6.072666666666667,1.7184782608695652,1.6079710144927535,1.588858695652174,1.4561594202898551,86.41098188405797
2024-10-09,53.89492753623188,11.763043478260869,5.134420289855073,2.482789855072464,0.7260869565217392,6.06831884057971,1.7184782608695652,1.6079710144927535,1.588858695652174,1.4561594202898551,86.44105434782608
2024-10-10,53.89492753623188,11.763043478260869,5.134420289855073,2.4501811594202896,0.7260869565217392,6.072666666666667,1.7184782608695652,1.642391304347826,1.588858695652174,1.4561594202898551,86.44721376811594
2024-10-14,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7260869565217392,6.071579710144928,1.7184782608695652,1.6431159420289856,1.588858695652174,1.4561594202898551,86.45446014492754
2024-10-15,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7260869565217392,6.076652173913043,1.7184782608695652,1.643478260869565,1.588858695652174,1.4561594202898551,86.45989492753623
2024-10-16,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7702898550724637,6.070855072463768,1.7184782608695652,1.643478260869565,1.588858695652174,1.4561594202898551,86.49830072463767
2024-10-17,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7702898550724637,6.071217391304348,1.7289855072463767,1.643478260869565,1.588858695652174,1.4561594202898551,86.50917028985508
