date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,DL SECURITIES (HK) LTD,BOCOM INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-12-03,451709679.0,337576188.0,65874000.0,0.0,62915696.0,17774000.0,0.0,0.0,18398761.0
2024-12-05,451840791.0,337522188.0,65618000.0,0.0,62991696.0,18030000.0,0.0,0.0,0.0
2024-12-06,451938235.0,337514188.0,65598000.0,0.0,62991296.0,0.0,0.0,0.0,18390761.0
2024-12-09,451849766.0,337670188.0,64696000.0,80194400.0,62817696.0,18430000.0,0.0,0.0,18378761.0
2024-12-10,451835766.0,337720188.0,65422000.0,80144400.0,63090091.0,0.0,0.0,0.0,18376761.0
2024-12-11,451432716.0,0.0,65652000.0,80540400.0,63888061.0,18646000.0,0.0,0.0,18896761.0
2024-12-12,451338716.0,337690188.0,65548000.0,80702400.0,63755961.0,0.0,0.0,0.0,0.0
2024-12-13,451770716.0,337714188.0,64552000.0,80844400.0,63675961.0,0.0,0.0,0.0,0.0
2024-12-16,451706716.0,337692188.0,64404000.0,80842400.0,63641679.0,0.0,0.0,0.0,0.0
2024-12-17,451712815.0,337698188.0,64188000.0,0.0,64191358.0,0.0,0.0,0.0,19064761.0
2024-12-18,446472085.0,337670518.0,64122000.0,0.0,64268358.0,18246000.0,0.0,0.0,0.0
2024-12-20,446264085.0,337952518.0,64106000.0,0.0,63816358.0,0.0,0.0,0.0,14046761.0
2024-12-23,446100085.0,338026518.0,64178000.0,0.0,63909814.0,0.0,0.0,0.0,14044361.0
2024-12-30,444665020.0,338016518.0,64630000.0,0.0,64150119.0,18638000.0,0.0,0.0,14043161.0
2025-01-02,444445020.0,338284518.0,65210000.0,0.0,63908119.0,0.0,0.0,0.0,14053161.0
2025-01-14,443682715.0,338284524.0,66346000.0,0.0,63806602.0,0.0,0.0,0.0,14117161.0
2025-01-27,443524533.0,338630512.0,8836000.0,0.0,63815444.0,0.0,0.0,0.0,13382161.0
2025-02-04,443268533.0,338704512.0,67770000.0,0.0,62479034.0,0.0,0.0,0.0,14547161.0
