date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB WING LUNG BANK LTD
2024-10-30,625248167.0,123361000.0,196399373.0,44366426.0,18532500.0,38791682.0,23800923.0,0.0,41755000.0
2024-10-31,625532707.0,124033000.0,196392553.0,44369426.0,18444500.0,0.0,23812423.0,0.0,0.0
2024-11-01,624946136.0,125611500.0,195940760.0,43893426.0,18458000.0,0.0,23848423.0,0.0,41755500.0
2024-11-04,624825636.0,125892000.0,197035194.0,43778426.0,18467500.0,0.0,23838423.0,0.0,0.0
2024-11-05,625043636.0,127082000.0,196638840.0,44547426.0,18478000.0,38775682.0,23817423.0,0.0,41715500.0
2024-11-06,624337136.0,128343000.0,197587825.0,44392426.0,18419000.0,40826182.0,23812423.0,0.0,41716000.0
2024-11-07,625501136.0,129625000.0,196358620.0,44384926.0,18449000.0,38724682.0,23804458.0,0.0,0.0
2024-11-08,625864203.0,131175500.0,196447340.0,44356926.0,18442000.0,38771682.0,23819958.0,0.0,0.0
2024-11-11,625529703.0,131261500.0,196464069.0,44369426.0,18432000.0,0.0,23804458.0,0.0,0.0
2024-11-12,625644703.0,129702000.0,196427069.0,44467426.0,0.0,38794682.0,23819458.0,0.0,0.0
2024-11-13,626862203.0,129510000.0,196096903.0,44588426.0,18457000.0,38797682.0,23813958.0,0.0,41704000.0
2024-11-14,625463755.0,131583000.0,195216198.0,45420926.0,18485000.0,39425182.0,23831958.0,0.0,41707000.0
2024-11-15,626354099.0,133944500.0,195112701.0,45303426.0,18487500.0,38797682.0,23811958.0,0.0,0.0
2024-11-18,633981038.0,135684000.0,194507844.0,44135926.0,18481500.0,39425182.0,0.0,0.0,0.0
2024-11-19,633266038.0,137629500.0,194982091.0,43796926.0,18466500.0,39430182.0,23831458.0,0.0,41706500.0
2024-11-20,633519538.0,138013500.0,195044401.0,43121426.0,18390000.0,39434682.0,23834458.0,0.0,0.0
2024-11-21,632821529.0,138726000.0,196592403.0,43539426.0,18387000.0,39447682.0,0.0,0.0,41702500.0
2024-11-22,629417529.0,144630000.0,195537493.0,43543426.0,18311500.0,40140682.0,23794958.0,77056500.0,41700500.0
2024-11-25,629960283.0,146545500.0,200791553.0,43662426.0,18305500.0,38775182.0,23787958.0,0.0,41708000.0
2024-11-26,629146783.0,148088000.0,202419068.0,43515499.0,18235500.0,38121682.0,23798458.0,0.0,41700000.0
2024-11-27,626819783.0,152684000.0,202537155.0,43756499.0,18286500.0,38022182.0,0.0,76553500.0,0.0
2024-11-28,625417783.0,156407500.0,203706653.0,44033999.0,18271500.0,38095182.0,23802458.0,0.0,41703000.0
2024-11-29,623220778.0,161890500.0,204394738.0,43267004.0,18029500.0,38061182.0,23802958.0,0.0,41702000.0
2024-12-02,622413778.0,164631500.0,203790476.0,43604004.0,17961000.0,37978182.0,23606958.0,76456500.0,0.0
2024-12-03,622423024.0,165585500.0,204154230.0,43580004.0,17972500.0,38031682.0,23596958.0,0.0,0.0
2024-12-04,621146024.0,166778500.0,204468275.0,42858504.0,0.0,38108182.0,23600958.0,0.0,41701000.0
2024-12-05,618509524.0,168461000.0,207852623.0,43214004.0,17809000.0,38138682.0,23589467.0,0.0,41691000.0
2024-12-06,615880137.0,171015000.0,210023561.0,43746504.0,17335000.0,37354182.0,23394967.0,76393000.0,41676000.0
2024-12-09,613045137.0,177960500.0,212011163.0,43753504.0,17206000.0,36039182.0,23354967.0,76093000.0,41673000.0
2024-12-10,609288137.0,180866500.0,213511138.0,43807004.0,16981000.0,37436682.0,23283467.0,0.0,41669500.0
2024-12-11,609150924.0,183268000.0,214066030.0,43721504.0,16844500.0,34327682.0,23181467.0,76073000.0,0.0
2024-12-12,608811141.0,185805000.0,215352330.0,43561504.0,16673000.0,34486271.0,23201467.0,0.0,41667500.0
2024-12-13,607045723.0,189121000.0,213805139.0,43900004.0,16523000.0,34246100.0,23196467.0,76078000.0,41655500.0
2024-12-16,607798640.0,191368500.0,212923979.0,43204504.0,16184500.0,33215100.0,23174467.0,0.0,41655000.0
2024-12-17,606299740.0,200132000.0,209024212.0,43281504.0,16019500.0,30833100.0,23121467.0,75978000.0,41654500.0
2024-12-18,605578351.0,205493000.0,207634312.0,43411504.0,15952500.0,30410600.0,0.0,0.0,41669500.0
2024-12-19,604884851.0,207539527.0,205106212.0,43402004.0,15895500.0,30809100.0,23106467.0,0.0,0.0
2024-12-20,603273851.0,211110527.0,205365417.0,43455504.0,15764500.0,30249100.0,23101967.0,75981000.0,41666500.0
2024-12-23,603286851.0,211834027.0,205639263.0,43367004.0,15658000.0,30033100.0,23057967.0,0.0,0.0
2024-12-27,602648777.0,213496527.0,206442663.0,43320004.0,15568500.0,29730100.0,23020467.0,74173000.0,0.0
2024-12-30,601694777.0,215385027.0,206568163.0,42689504.0,15527000.0,30126600.0,23027967.0,0.0,41664500.0
2025-01-02,599239777.0,220882527.0,208053713.0,42649004.0,15509000.0,29253100.0,22979467.0,0.0,0.0
