date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD
2024-10-18,35.974177944731544,25.19754321545194,16.570041431528473,7.715782619832701,2.119033258292118,3.3809277730262406,3.8148281726065143,2.8197509706673185,1.5107680154380327,0.8971465984251186
2024-10-21,35.85877095153175,25.151709389059874,16.57503471648673,7.636357436147266,2.0894870942433954,3.27340736516305,4.070284034224912,2.8206006861110637,1.5011617024287522,1.0231866246031995
2024-10-22,35.77639143422603,25.169608565670764,16.586929845698474,7.641837693652833,2.150140791265832,3.230446960208627,4.045515901429303,2.8629000789528183,1.5123078109819934,1.0239209179133233
2024-10-23,35.691252696749096,25.18324401908775,16.595915694987777,7.622026075716495,2.128638553062137,3.227159906725395,4.130820088980885,2.9274150938881585,1.4690522511365791,1.0244756196657343
2024-10-24,35.677297755092546,25.203175403573496,16.610595533688944,7.609862176591871,2.144385776120355,3.171784222978601,4.147077937161332,2.9413480807926913,1.4690912992725604,1.0253818147276021
2024-10-25,35.678190758268926,25.20825898207558,16.613945955411992,7.598790622307643,2.1599460987705092,3.1812485293501545,4.123962082053956,2.9419413621404273,1.4681269713931455,1.0255886382276698
2024-10-28,35.67479126563766,25.220645914401786,16.62352304521416,7.588034424217682,2.1700208292407726,3.1692072202721766,4.126339335194575,2.9436372408132936,1.4576208874038294,1.02617983760407
2024-10-29,35.58230965591098,25.140838138184296,16.583360766678034,7.6376515438558,2.216369548853622,3.3150665261246237,4.117628465909131,2.949108725709731,1.4339660322038712,1.0237005965699093
2024-10-30,35.2717915212458,24.997778590222687,16.491257663704186,7.566451617282108,2.1927978917456312,3.3389501098774614,4.325005908169797,2.9327295328267717,1.865222146977906,1.0180150179476484
2024-10-31,30.00200160952245,21.264956457552156,14.028681583975052,6.447227319471003,1.9877712554216787,2.8069540842936194,3.515239170154126,2.4947963112902753,1.5866956976193374,0.9618021378436422
