date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD,HANG SENG SECURITIES LTD
2025-01-06,78.53929622921733,9.350991474752215,2.6636453257168555,2.3389248638518696,2.3170547887893345,1.6951724590055037,1.0826964293248567,0.8016465568920703,0.599935336647449,0.6106365358025241
2025-01-07,78.54641765813992,9.34782617792229,2.6632922578820843,2.3380964101838124,2.317116236703796,1.695772108448957,1.0780378831841324,0.8017190963033516,0.5999897348539929,0.611732436377658
2025-01-08,78.56089844369889,9.338650545618357,2.65465883332186,2.327625742494668,2.3197252515806372,1.696049433189006,1.0834176954429982,0.8018502085789145,0.6000878565275488,0.6170359895471245
2025-01-09,78.56678129306877,9.322906516794335,2.654386456282374,2.3288187857202174,2.325824266533353,1.6961603884845844,1.0787307653595326,0.8091880576255397,0.6001271141837181,0.6170763559475744
2025-01-10,78.58103521673353,9.32370566794786,2.633441593057553,2.3302822491741195,2.339332570869934,1.6912633175784144,1.0813182256367817,0.8020481501309082,0.6002359918281109,0.6173370170428036
2025-01-13,78.58874779057975,9.3108480564335,2.6271955906072546,2.331752390676721,2.3425878260316444,1.6919537623340208,1.0940202658043183,0.7946576332839507,0.6002699126064462,0.6179667716423964
2025-01-14,78.60073447794372,9.309055357394055,2.627437618003875,2.333586602829279,2.330739664568292,1.6932465945865074,1.0882334304402226,0.7948298964577679,0.6012516299569356,0.6208847278193491
2025-01-15,78.61547451859211,9.304600326299848,2.6269478973438156,2.336638550252689,2.322932342039212,1.694154080814776,1.0861073511036274,0.7888078608803972,0.6013097647838442,0.623027307889678
2025-01-16,78.61981191937302,9.289720931742615,2.6251390632052276,2.3400225115741735,2.324381765270721,1.6986975411943654,1.0874978973363627,0.7888454107680517,0.6013383891361523,0.6245445703993163
2025-01-17,78.62317088641369,9.277297110097136,2.6298132305722977,2.3400782093417933,2.324734618701225,1.701713253469974,1.0830608630035103,0.7936246342143993,0.6013527023342917,0.6251544918516873
2025-01-20,78.64562565833522,9.260715894020302,2.630490156374501,2.3400689183499503,2.325464563388459,1.7022475753399084,1.0834009338729076,0.7850939944718422,0.6015415213963436,0.6253507844505742
2025-01-21,78.61602742909551,9.257081875034498,2.666540088334798,2.3399320083565116,2.324143112298465,1.701606935589943,1.0886458744679535,0.7847985248658906,0.6013151316423242,0.6199090203141093
2025-01-22,78.61778164353206,9.244941520884034,2.6686822006924222,2.342959380872006,2.3320791464641495,1.7016449047363036,1.0849512162163528,0.7842210046295728,0.6013285492076647,0.6214104327654386
2025-01-23,78.62255234570034,9.250258715580047,2.677430251808484,2.3461701236584065,2.310443716111157,1.7018157868660275,1.0869942170821163,0.7795390234683797,0.6013889356624805,0.6234068840625644
2025-01-24,78.59498977256457,9.255073049435172,2.6876965460871443,2.345392011332988,2.3304987560249018,1.6993179692771212,1.0851464771674029,0.7801728292672142,0.6011894837393268,0.6205231051041621
2025-01-27,78.607498917806,9.25386863212698,2.7232003374373406,2.3416003794489235,2.2896666842007467,1.6951260139880873,1.0834138105011595,0.7877343646044834,0.6012851688026046,0.616605691083682
2025-02-03,78.57182067863891,9.315137402308274,2.71743798043249,2.3402908202245896,2.264139412159122,1.696731310315178,1.1062103106998133,0.7752511038149874,0.6010634405729725,0.6119175408336528
2025-02-04,78.57290435535376,9.312849054308387,2.73856393817874,2.3362862409435734,2.2669743838801413,1.6936161028153862,1.0898590870298344,0.7752171386493034,0.6010660431427425,0.6126636556981341
2025-02-05,78.55667150336865,9.307505822622563,2.7611850268483407,2.339520131925815,2.2672493476181774,1.6937121954317382,1.0878499783629025,0.7750569818475247,0.6009418652700819,0.6103071467042109
2025-02-06,78.5528884456967,9.30060477595277,2.7420025686327154,2.3428487049818174,2.291243982874693,1.6936466567137562,1.0941034901509616,0.7748783341900772,0.6009186116384805,0.6068644291680361
2025-02-07,78.55350394584649,9.309922106910657,2.7386567526778864,2.345587290703791,2.2901160129288933,1.6947326033152594,1.085807777112227,0.7753447546109139,0.6009346924539319,0.6053940634399643
2025-02-10,78.55759139143518,9.306987167593762,2.737461240975296,2.3471960237806573,2.2906811815116774,1.6948207868711225,1.0834855831156298,0.7753850988264837,0.6009659614328365,0.6054255644573567
2025-02-11,78.56027765872612,9.30790011242763,2.7359194408983343,2.3517364874037057,2.284069208765919,1.6956221079853433,1.0814412053880207,0.7754116130257097,0.6009865113908556,0.6066356539883612
