date,UOB KAY HIAN (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,SINOMAX SECURITIES LTD,UPBEST SECURITIES CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,USMART SECURITIES LTD
2025-03-20,39.93648002916427,19.14338024074369,0.0,27.88966260351125,7.867893227382114,3.592177791313938,0.2494768197098801,0.43406082504435783,0.8003447106299623,0.08652375250053645
2025-03-21,39.97856569136328,19.16355382223036,0.0,27.79346149648661,7.7679158657191385,3.7027883656512897,0.27139345526021147,0.43451824485810453,0.8011881259011563,0.08661493252985472
2025-03-24,39.98780180004309,19.16798111127219,0.0,27.732018484431414,7.769710460245246,3.7484051950932282,0.27145615434419373,0.4346186300936293,0.8013732216012102,0.08663494287580649
2025-03-25,39.976834395956296,19.162723933210078,0.0,27.672445749642872,7.767579471533215,3.8267707078674134,0.2713817024062896,0.43449942778879347,0.8011534299760145,0.0866111816190286
2025-03-26,39.953188378114646,19.15138931607828,0.0,27.64165103297761,7.762985002622766,3.8778858366567546,0.2914185040939972,0.4342424244172928,0.8006795533275666,0.08655995171108828
2025-03-27,39.95030663093729,19.150007962941164,0.0,27.639657293477082,7.762425073339842,3.884818941182716,0.29139748463383164,0.43421110334051155,0.800621801840478,0.08655370830707872
2025-03-28,39.93878379812729,19.14448454250523,0.0,27.63168521073787,7.760186163707767,3.9125413607394863,0.2913134371062942,0.4340858642029434,0.8003908791781845,0.08652874369493888
2025-03-31,11.0776,5.3100000000000005,0.0,7.655647999999999,2.1524,1.0892000000000002,0.0892,0.1204,0.22200000000000003,0.024
2025-04-01,39.93763188042303,19.143932375699276,0.0,27.58906723550945,7.759962343776859,3.926849556235716,0.32158922182907257,0.4340733442625599,0.8003677942382749,0.08652624802575945
2025-04-02,39.93763188042303,19.143932375699276,0.0,27.553014632165386,7.759962343776859,3.962902159579782,0.32158922182907257,0.4340733442625599,0.8003677942382749,0.08652624802575945
2025-04-03,39.924965169814456,19.10181947353367,5.1322624396815,22.352905898526522,7.757501176383751,4.035169260861943,0.3474368674054049,0.46132696087024716,0.800113947759335,0.08649880516317135
2025-04-07,39.70250786355203,19.093286483451813,9.889601897051305,17.042912485597178,7.725215761342278,4.312921241129908,0.48561792791873665,0.8098435474490505,0.7997565281747739,0.1383362643329339
2025-04-08,41.82339815109978,20.11324134371632,10.417900025805668,12.052765001442081,8.137893346691563,4.898523004994155,0.5115594213458415,1.0443705693944776,0.8424791657179289,0.15786996979218848
2025-04-09,41.70375079465988,19.92250174068356,10.388096751733116,12.018284745557473,8.081312626767172,5.172100626646081,0.6523779251051978,1.0413828595646777,0.8415826597644779,0.17860926951836043
2025-04-10,41.30278310940499,19.6167226487524,10.291206813819578,11.205914107485606,7.921964971209213,5.9710892514395395,1.2026151631477928,1.3045825335892514,0.880218330134357,0.3029030710172745
2025-04-11,41.24674001019215,19.622890374411703,10.286579333912888,10.677778110854643,7.895920141491051,6.4315477082646355,1.2305524745945622,1.2620282382565424,0.8828202284241135,0.46314337959770974
2025-04-14,41.24859476879262,19.533837967473584,10.287041894626396,10.017237502810463,7.896275200479652,7.260735966424342,1.0552349546578732,1.196132803717305,0.8678707936745859,0.6370381473431762
2025-04-15,41.25354160732756,19.513694214999923,10.288275593266075,9.906006865846164,7.897222180580749,7.158169307568921,1.2142653694514818,1.2187626485975984,0.8979567361746145,0.6521054761869068
2025-04-16,41.36018636807695,19.473961073119412,10.314871871947096,9.494251146013376,7.898098745021417,7.1751709626512366,1.3376418426392125,1.3181032539265047,0.9994739610731194,0.628240775531675
2025-04-17,41.221178736981514,19.425380771777736,10.32899885617964,9.454578291493588,7.908915778700861,7.239178857383662,1.3364637890554452,1.3635542712660285,1.092649449160195,0.6291011980013245
2025-04-22,41.15104880362602,19.397973166287702,10.334442620729119,9.424927344185276,7.804665030342273,7.42218675179569,1.337168154918761,1.3672845548043187,1.0932253158457437,0.6670782574651026
2025-04-23,41.156534313430136,19.404109176357174,10.337711634632765,9.367656805446767,7.807133819364946,7.44261011026089,1.337591130927276,1.3707296499367356,1.084533349400494,0.691390010242815
2025-04-24,41.04218362282878,19.372885179336794,10.321076772689675,9.336040303782239,7.74945484622904,7.656214752988946,1.3188961576058351,1.3685239491691104,1.1564779306714792,0.6782464846980976
2025-04-25,41.07059549428885,19.38629625728002,10.328221643666572,9.342503273186956,7.751809658535117,7.629911661575043,1.2641273758822555,1.3664614967870095,1.1738325633192372,0.6862405754789388
2025-04-28,41.00148735746158,19.24099698021364,11.083066660657142,8.830997130451767,7.7387659440212735,7.405237301122279,1.4467931671699643,1.3641621970823756,1.2034074007301574,0.6850858610898274
2025-04-29,41.111228318690756,19.412589098690454,11.244895191307885,8.857879112102353,7.774378757968023,6.837052999593123,1.5084615500534968,1.3562591359122351,1.2100845401528053,0.6871712955288658
2025-04-30,10.9124,5.1528,2.9848,2.3512,2.0636,1.8144,0.4004,0.35200000000000004,0.3212,0.1884
2025-05-02,41.131062764786584,19.42195486001176,11.250320382348063,8.862152667842658,7.778129570159965,6.761952146184812,1.52426613596273,1.3267598413918917,1.2106683552701012,0.7327332760414311
