date,YUET SHEUNG INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,WATON SECURITIES INTERNATIONAL LIMITED,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SKY SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,QUAM SECURITIES LTD
2024-10-24,63.29963198103138,8.903762175024173,7.958997145092445,3.7872536165417747,4.798288588949447,4.015596970398586,3.1304866416619506,1.3935660566261296,1.375376941429202,1.337039883244909
2024-10-25,63.21240544302744,9.188616960486591,7.808240224221384,3.784711811281864,4.761510862324243,4.0129019130999515,3.128385623822241,1.3926307684486243,1.374453860828311,1.3361425324593428
2024-11-01,63.21240544302744,9.199802749791399,7.808240224221384,3.784711811281864,4.750325073019434,4.0129019130999515,3.128385623822241,1.3926307684486243,1.374453860828311,1.3361425324593428
2024-11-05,63.20533542737714,9.19877379433614,7.807366908608733,3.78428850874259,4.760978309321715,4.012453088551513,3.1280357283362905,1.3924750091279814,1.374300134510849,1.335993091087047
2024-11-06,63.26193987415866,9.10626089614985,7.7695806894827,3.787677582719503,4.821214845390046,4.016046498597966,3.1308370857014247,1.3937220601406182,1.3755309087532408,1.3371895589059986
2024-11-07,63.20480523995694,9.09803663229892,7.7625636401877,3.8745711534500735,4.816860594680264,4.012419430757636,3.128009489330012,1.3924633285834862,1.37428860642326,1.3359818843317062
2024-11-08,63.19773692420462,9.108202374874182,7.761695537665305,3.874137852655721,4.81632191583316,4.011970714123518,3.127659677972111,1.392307606713249,1.374134917067393,1.3358324788907436
2024-11-11,63.107754279172504,9.248783842344045,7.728309684497243,3.8686217505266343,4.820631577278156,4.00625836184291,3.123206431633215,1.3903252015315466,1.3721783866521187,1.3339304845216324
2024-11-12,63.09366259898482,9.257883407237646,7.7265839873985405,3.867757904536578,4.830719928831245,4.005363782211149,3.122509033560706,1.3900147481123013,1.3718719853357353,1.3336326237912803
2024-11-14,63.09718492900954,9.258400247112641,7.727015339417844,3.8679738298646433,4.830989613442115,4.005587389662815,3.1171006536839485,1.3900923484683498,1.3719485728357308,1.3337070765023646
2024-11-15,63.08309796807732,9.278659049024085,7.725290220249191,3.867110273173652,4.829911055626499,4.004693109622711,3.1164047355509976,1.389781999018892,1.3716422741320993,1.3334093155245514
2024-11-18,63.082393785142884,9.278555473366465,7.725203984510745,3.868183383762136,4.829857140377411,4.0046484061024925,3.1163699478011524,1.3897664851840008,1.371626962787021,1.3333944309656942
2024-11-21,63.06127560505882,9.230813094404022,7.722617807304366,3.9450017489014897,4.828240242432507,4.003307764425173,3.1153266763300285,1.389301231138492,1.3711677813344756,1.3329480486706256
2024-11-22,63.06127560505882,9.219654048370781,7.722617807304366,3.9450017489014897,4.8393992884657475,4.003307764425173,3.1153266763300285,1.389301231138492,1.3711677813344756,1.3329480486706256
2024-11-25,63.05177703634607,9.244485151471553,7.7102972271883345,3.9444075352604817,4.838670356704871,4.0027047684737935,3.114857432024171,1.3890919684320202,1.3709612499685502,1.3327472741301594
2024-11-26,63.05212878416007,9.244536723807757,7.710340240729307,3.943871668608338,4.838697350261605,4.002727098417826,3.1148748089220817,1.3890997177784514,1.3709688981688932,1.3327547091456706
2024-11-27,63.04509457347096,9.254661569109288,7.709480061084563,3.943431683079178,4.838157536344473,4.0022805468693825,3.11452730779724,1.388944747275925,1.3708159503737292,1.3326060245952551
2024-11-28,63.094367033528584,9.183740173979315,7.715505352202687,3.946513644989284,4.841938765091528,4.005408501704238,3.116961445193814,1.3900302674903908,1.3718873021516607,1.3336475136684913
2024-11-29,63.094367033528584,9.194905075726226,7.715505352202687,3.946513644989284,4.830773863344618,4.005408501704238,3.116961445193814,1.3900302674903908,1.3718873021516607,1.3336475136684913
2024-12-04,63.094367033528584,9.194905075726226,7.715505352202687,3.9353487432423737,4.841938765091528,4.005408501704238,3.116961445193814,1.3900302674903908,1.3718873021516607,1.3336475136684913
2024-12-05,63.08716886506009,9.205080779431816,7.714676316273038,3.93492588753106,4.841418495709008,4.00497811802757,3.116626525715253,1.3898809078590453,1.3717398919934152,1.3335042123997025
2024-12-06,63.05900998504509,9.290241856310958,7.700074160847581,3.933169538214261,4.805781377035044,4.003190500984088,3.1152354233093593,1.3892605362300179,1.3711276175844453,1.3329090044391618
2024-12-09,63.04081671818073,9.300362774114035,7.699215027064684,3.921573221705036,4.827560121491505,4.002743846039354,3.1148878417227497,1.389105529845016,1.3709746343751514,1.3327602854617442
2024-12-10,63.01972249046969,9.397634425440701,7.629716331374067,3.9202610153785544,4.825944760876069,4.001404479029964,3.113845562183108,1.3886407181581337,1.3705158895074754,1.3323143275822416
