date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,DEUTSCHE BANK AG,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-07-15,38.132268794369224,21.656901062499166,12.42941210806212,7.012869744506935,5.664638736248933,5.641357151376898,3.6557734850646146,4.406545942719825,1.4002329751522835
2024-07-16,38.195346952088755,21.618576910338223,12.439805956759285,6.994290170397069,5.669770323231428,5.594774656932209,3.6588305529407554,4.406679019728229,1.4219254575840454
2024-07-17,38.23326991330932,21.529636723656104,12.439722204438082,6.993453794927112,5.671310722227521,5.6496712717946584,3.656832705311227,4.379324281571173,1.4467783827648013
2024-07-18,38.26269672217301,21.52584083586874,12.440949637338958,6.994143842111251,5.669896904108681,5.626153139266648,3.651273300033479,4.3821244820704575,1.4469211370287711
2024-07-19,38.317417871038145,21.493455509837375,12.446082488013802,7.005321202338159,5.680133065791891,5.614818265464217,3.6527797317101958,4.342473762279618,1.447518103526598
2024-07-22,39.1363434656983,21.024777271412116,12.322965805638283,6.936024545640171,5.638800848384119,5.571395570608611,3.632283976696763,4.300299877428956,1.4371086384926715
2024-07-23,39.20588216576711,20.983059054311592,12.307142530022956,6.930022003149866,5.631381706998877,5.56523638969684,3.631409114794193,4.314553488557499,1.4313135467010678
2024-07-24,39.23200799742199,20.970824727503256,12.311420474670399,6.932430868608498,5.630214685834786,5.5909950265680495,3.6350147481369404,4.314881540569181,1.3822099306869002
2024-07-25,39.23445974403197,20.965495330932722,12.312189858776733,6.934817023440268,5.616114909350598,5.602671379616118,3.6356324975878476,4.316322946401137,1.3822963098625998
2024-07-26,39.15204636967592,20.98979251599638,12.324392198693952,6.941689967697492,5.6310642366855745,5.577337303118747,3.639235692799951,4.3744594499234495,1.369982265408534
2024-07-29,39.109016970916436,21.048947776982573,12.31862986239664,6.938444342970475,5.628822190966843,5.572940948291277,3.6410512481164807,4.371241781168224,1.3709048781910562
2024-07-30,39.179275915056586,20.994543950058684,12.323397550313825,6.941129733929335,5.631000717949764,5.571188446525354,3.6424604467234203,4.372542645827782,1.3444605936152532
2024-07-31,2.5067599791185082,1.348790802681845,0.7885466894573991,0.4442474527431787,0.3603151611674208,0.35696319978239816,0.23307290988678103,0.2791888702224233,0.08492835413306431
2024-08-01,39.58565030248117,20.640693796006932,12.33235777499493,6.958304517866987,5.6386159839331675,5.607995245434849,3.651759658848926,4.253268658888764,1.331354061544277
2024-08-02,39.6441202495604,20.581144864152293,12.350307064050122,6.970782834415192,5.649565336557932,5.614198505584193,3.657074659505952,4.221455138795565,1.311351347378351
2024-08-05,39.6124986771939,20.71247489677891,12.32031782803688,6.953856255137916,5.644445493986569,5.581023888584527,3.6474128007545943,4.206123574892853,1.3218465846338496
2024-08-06,39.89123643047752,20.552231186188134,12.306920446506938,6.945513645845171,5.649629705503634,5.609311692112224,3.6477411160405904,4.082862858255391,1.3145529190703948
2024-08-07,39.94394851534111,20.63247823062292,12.31590247836983,6.948238516786747,5.639687723973774,5.6004342515745815,3.6519661776338066,3.971757597600441,1.295586508096792
2024-08-08,39.973160164277736,20.62147124192977,12.31514595738526,6.951327816804243,5.633481123559937,5.568289411881984,3.657602025626514,3.9742483753270474,1.3052738832075101
2024-08-09,40.0514670743542,20.550005389959253,12.3226594731325,6.959868930952011,5.633008964219958,5.5486225612779885,3.6637427088956342,3.978627662271627,1.291997234936831
2024-08-12,46.60551858735138,18.25408962931364,10.976624835132402,6.199276980551241,5.0264068298757545,4.981379730026622,3.2621501480647033,3.5433358692619557,1.1512173904223018
2024-08-13,46.42854152645593,18.415788508038872,10.978568671208299,6.213609349329768,5.013017570045233,4.990620537258524,3.2536726216091174,3.544311631508976,1.161869584545281
2024-08-14,46.69004972436731,18.258765250729628,10.956746328785233,6.201258421356813,5.013133057665307,4.935667770711037,3.247205224974116,3.5372665253213476,1.1599076960892063
