date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-08-21,0.0,1.0567831832746466,0.4979249517871167,2.370866290665567,0.0,0.0,0.0,0.0,1.62739669749388
2024-08-22,0.0,1.0567378328532444,0.4977435501015073,2.3706395385585552,0.0,0.0,0.0,0.0,0.0
2024-08-23,0.0,1.0572593626993714,0.4986278833188531,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-26,0.0,1.0576901917026937,0.4986278833188531,2.370571512926452,0.0,0.0,0.0,0.0,0.0
2024-08-27,0.0,1.0576675164919926,0.49670049040925324,2.3701860343445316,0.0,0.0,0.0,0.0,1.627646124811593
2024-08-28,0.0,0.0,0.49747144757309314,0.0,0.0,0.0,0.0,0.0,1.6277368256543978
2024-08-29,0.0,1.0578489181776018,0.4949998496066651,2.3699819574482213,0.0,0.0,0.0,0.0,1.6278502017079037
2024-08-30,0.0,1.0578942685990043,0.49558940508489563,2.3698005557626116,0.0,0.0,0.0,0.0,1.6279182273400072
2024-09-02,0.0,0.0,0.31271383077991377,2.3697778805519105,0.0,0.0,0.0,0.0,1.6279635777614094
2024-09-03,0.0,1.0578035677561997,0.5001017720144296,2.368258641434932,0.0,0.0,0.0,0.0,1.6280316033935132
2024-09-04,0.0,0.0,0.49973896864321077,2.368167940592127,0.0,0.0,0.0,0.0,0.0
2024-09-05,0.0,1.0578262429669008,0.5018024128170178,2.3654242400972847,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.0,1.0579849694418089,0.5098974630373375,2.360004864739704,0.0,0.0,0.0,0.0,1.628530458028939
2024-09-10,6.224149196900158,1.0579396190204067,0.5093759331912104,2.3599595143183016,0.0,0.0,0.0,0.0,1.6278728769186048
2024-09-11,6.223922444793146,1.0583024223916255,0.5118928815790409,2.3582588735157133,0.0,0.0,0.0,0.0,1.6277141504436967
2024-09-12,6.22342359015772,1.058370448023729,0.5129812916926973,2.357691993248184,0.0,0.0,0.0,0.0,1.6274193727045811
2024-09-13,6.224103846478755,1.0585972001307409,0.5125051122679727,2.3569663865057464,0.0,0.0,0.0,0.0,1.62739669749388
2024-09-16,6.224897478853297,0.0,0.5135028215388244,2.3566489335559297,0.0,0.0,0.0,0.0,0.0
2024-09-17,6.224716077167688,0.0,0.47554451882505633,2.3560593780776995,0.0,0.0,0.0,0.0,0.0
2024-09-19,0.0,1.0508422780709386,0.0,2.355764600338584,1.5967747324503705,0.0,0.00702931531736446,0.0,0.0
2024-09-20,0.0,0.0,0.0,2.3557192499171817,0.0,0.0,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.48568033800848187,2.3192801863203925,1.5543267380177697,0.0,0.0,1.5660634270766982,0.0
2024-09-24,6.2249428292747,1.0517492864989857,0.48128134713245374,2.3182824770495403,0.0,0.0,0.17967836959611605,1.3934143727979464,1.6274873983366849
2024-09-25,0.0,1.0523615171879175,0.4845692526841242,2.3158335542938135,0.0,0.0,0.0,0.0,0.0
2024-09-26,0.0,1.0524748932414234,0.4867007224900347,2.3151532979727785,0.0,0.0,0.0,0.0,1.62739669749388
2024-09-27,0.0,1.0526562949270326,0.4878118078143924,2.314699793758755,0.0,0.0,0.0,0.0,0.0
2024-09-30,0.0,1.052815021401941,0.4969725929376674,2.2967578065393424,0.0,0.0,0.0,0.0,0.0
2024-10-02,6.2303848798429815,1.0523388419772164,0.8749456801155646,1.8721930569253113,0.0,0.0,0.0,0.0,0.0
2024-10-03,6.267413498918001,1.062996191006769,2.120109525349225,0.5327760703785027,0.0,0.0,0.0,0.0,0.0
2024-10-04,6.266438464857852,1.059300131662477,0.0,0.07487286547896105,0.0,0.0,0.0,1.4008064914865297,0.0
2024-10-07,6.268932738034979,1.0564884055355315,0.0,0.07498624153246693,0.0,0.0,0.0,0.0,1.6288252357680542
2024-10-08,6.269159490141991,1.0597536358765007,0.0,0.09752199968783037,0.0,0.0,0.18194589066623362,0.0,0.0
2024-10-09,6.266075661486632,1.1192080383349834,0.0,0.09464224792878106,0.0,0.0,0.0,1.400851841907932,1.62739669749388
2024-10-10,6.261744696242707,1.1191400127028799,2.2810808461168706,0.07036639410420939,0.0,0.0,0.0,0.0,0.0
2024-10-14,6.248388997139715,1.1288450028829828,2.452618815071265,0.07401710302709867,0.0,0.0,0.0,0.0,0.0
