date,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,TIGER BROKERS (HK) GLOBAL LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BNP PARIBAS,UOB KAY HIAN (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIB SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-07-08,19.32353669017733,19.487393212461686,17.01864623145335,9.133094001410932,10.483176639624151,11.896608546925798,4.5885413004318965,6.949107442613858,0.9154782489671005,0.2044176859338932
2024-07-09,19.58898581647362,19.423321092827113,16.962561062909593,9.103065526842153,10.448514289786042,11.857623962259064,4.573454748631759,6.926259643600292,0.9124682706056456,0.2037455860647222
2024-07-10,19.77504579456012,19.373649383302,16.918987838835925,9.060144248326676,10.421794061855353,11.82768913197411,4.562536839715357,6.89162778671087,0.9756722784558182,0.19285263626377377
2024-07-11,19.773212839198937,19.371075812619942,16.91741961240615,9.047313055352769,10.42082806240851,11.82996337682225,4.571512605715257,6.890988999512591,0.9835545071336675,0.19413112882992845
2024-07-12,19.31515576733055,19.480920016929577,17.013350293503706,9.06341566720074,10.479919647090504,11.895806967784784,4.632831467485138,6.929151933770229,0.9942162843084145,0.19523195459636122
2024-07-15,19.3147780516172,19.48053905962902,17.01301759053097,8.951707429432492,10.47971470800676,11.895704709823066,4.7546362347697935,6.8794108847893,1.0352631946451771,0.19522813675622122
2024-07-16,19.446555293751164,19.47274540530166,17.006211127026027,8.499443910375533,10.475522048161281,11.888730156727824,4.989390093535443,6.768690798843492,1.2561276458174064,0.1965835204601678
2024-07-17,19.438639077098177,19.464818527295332,16.999288314749283,8.333674842558167,10.471257719552241,11.87613982774544,5.25010186006549,6.714025159898614,1.2556163069999196,0.1964383640373357
2024-07-18,19.44056370781658,19.466745750056,17.000971423960365,8.311962032260718,10.472294484738706,11.877315691109015,5.263258550911013,6.714689919350941,1.2557406262851019,0.1964578135115607
2024-07-19,19.59076283872461,19.6164898852268,17.131748072283166,7.6037159468987205,10.55285056231868,11.965069441705815,5.309652701938516,6.766341358570586,1.2654001655063074,0.19796902682679857
2024-07-22,19.590569951154905,19.616296744352642,17.131251201028714,7.602853414489682,10.55274666061178,11.96495163551394,5.3115695924774196,6.76627473823777,1.265387706575298,0.19809835555785088
2024-07-23,19.585374305486763,19.610568627979028,17.1278236127597,7.600042742102751,10.549665173737829,11.972088178501354,5.327079715386522,6.764298931610169,1.265018203190665,0.19804050924522393
2024-07-24,19.582576461300107,19.610066772721275,17.127385293581046,7.59853588684352,10.549395196612972,11.975193941527602,5.329371259653177,6.764125826023673,1.264985830032677,0.1983635317039518
2024-07-25,19.582666409722485,19.61015684741458,17.12746396460218,7.598045841858696,10.549443653028135,11.975314565454177,5.329395738992656,6.764156895604738,1.2649916404774857,0.19836444284487184
2024-07-26,19.578529058272643,19.607262003515523,17.12493561488269,7.597777134579046,10.547886348166424,11.971512903752455,5.345798500242398,6.763158373335189,1.2648049028924024,0.1983351603612269
