date,GET NICE SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,GLOBAL MASTERMIND SECURITIES LTD
2024-10-14,31.392050360803157,23.498331652196818,14.229366810602281,9.710350931163356,1.3180216173001305,5.597654561828523,1.4368399304368924,4.654163494644747,4.964536069504699,3.1986845715193946
2024-10-15,31.392209588146553,23.498450840872934,14.229438985062034,9.710364204780806,1.3180283025939625,5.597221364908064,1.4368472184031886,4.654187101579638,4.964551597705876,3.1987007959469427
2024-10-16,31.53345092624421,23.54493984379263,14.257590305972585,9.45699744440028,1.3382215232589856,5.586312763390203,1.439689856625761,4.663394879539954,4.9743733963973575,3.2050290603780325
2024-10-17,31.08971678078985,23.541840650126314,14.255713595568295,9.446936345241795,1.3380453746811372,5.607556615049314,1.4395003518865384,4.662781042173195,4.973718625281938,3.64419061920162
2024-10-18,31.089718420772872,23.541841891958757,14.255714347557399,9.446936843567826,1.3380454452630504,5.607556910848009,1.439500427820203,4.662781288134964,4.973713612644193,3.6441908114327286
2024-10-21,31.0801547954648,23.534600097360638,14.25132909360708,9.444030835766206,1.3332393617228846,5.640987807913028,1.4390576176751846,4.661346952431768,4.972183629878275,3.6430698081801425
2024-10-22,31.0705970521529,23.5273627567438,14.246946536756045,9.441126615270782,1.3372224960216683,5.665611881781478,1.43861507987538,4.659913498900012,4.970654588110409,3.6419494943875295
2024-10-23,31.0710950019251,23.527739815636668,14.247174863999664,9.43249151980341,1.34603032960784,5.66410004127852,1.4386381356940405,4.6599881805310535,4.970734249801998,3.642007861721703
2024-10-24,30.097587286566135,22.790577632132628,13.800787807112464,9.068867403800898,4.32211894377357,5.486634615923925,1.5765521493060537,4.5139832055873805,4.814993097361716,3.527897858435227
2024-10-25,30.105338239844603,22.796446830242566,13.804341888058572,9.041193494839249,4.336001961328647,5.479534272303475,1.5769581546756535,4.515145679927705,4.816233089995626,3.528806388783908
2024-10-28,30.164410683093458,22.841177827812714,13.831428652414896,8.977898981975216,4.297594989241827,5.422046112075234,1.5800524487957108,4.524005261069525,4.825654460314683,3.5357305832067345
2024-10-29,30.18114463261733,22.853849154988705,13.839101748745012,8.978612174086797,4.30851385380625,5.4250540357807155,1.5809289956044983,4.526514989387436,4.768588356787635,3.537692058195621
2024-10-30,30.186353964951522,22.857793779913074,13.841490408323484,8.979974105741494,4.317793725110593,5.400381775265313,1.581201867446674,4.527296275888742,4.769411425687701,3.5383026716714028
2024-10-31,30.165753862663685,22.842194913932534,13.832044546840555,9.007967441082771,4.314847129026205,5.430817935210125,1.580122806350228,4.524206708779083,4.7661566317057575,3.5358880244090534
2024-11-01,30.16839837184659,22.844197396432474,13.833257146034624,9.008475605574281,4.306740327555136,5.431294032972033,1.5802613293021333,4.52460332761517,4.766574461309388,3.5361980013581733
2024-11-04,30.169685280096054,22.845171872628374,13.833847238107754,9.008859884561486,4.306924042301525,5.427259969036973,1.580328739289098,4.5247963358510095,4.766777791427228,3.5363488467004953
2024-11-05,30.181186104374063,22.853880558346134,13.839120764984061,9.029363605616808,4.274853595736639,5.454792295059038,1.580931167950959,4.52652120924857,4.721653779363512,3.537696919320214
2024-11-06,30.18633876200878,22.857782267899054,13.841483437246868,9.030905136130494,4.279851520515461,5.434383039934191,1.5812010710960618,4.527293995778129,4.722459879737122,3.538300889653839
