date,KINGSWAY FINANCIAL SERVICES GROUP LTD,CITIBANK N.A.,RAFFAELLO SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,ZHESHANG INTERNATIONAL FINANCIAL
2024-10-22,0.0,34.27031378486824,12.036268031436565,16.200207722364585,10.518725801700583,6.1192359752577135,5.758901673212867,15.096347011159441,0.0
2024-10-23,0.0,34.27060207823714,12.036369284558479,16.199502770417546,10.518814288748494,6.119287452322249,5.7589501190244485,15.096474006691643,0.0
2024-10-24,0.0,34.26725817333399,12.035194853068338,16.197922127141453,10.517787930513085,6.128447728359495,5.758388197716617,15.09500098986702,0.0
2024-11-01,0.0,34.26725817333399,12.035194853068338,16.197922127141453,10.517787930513085,6.114989305264087,5.771846620812025,15.09500098986702,0.0
2024-11-04,0.0,34.271491791696526,12.031956229916187,16.193563330606942,10.514957635539297,6.126798587407301,5.770293439802074,15.090938985031668,0.0
2024-11-05,0.0,34.27153213940442,12.031970395096337,16.19346466558102,10.514970014762289,6.126805800465934,5.770300233148438,15.09095675154156,0.0
2024-11-06,0.0,34.29075415464655,12.033994335040061,16.179367274311048,10.516738774750978,6.1143793313506345,5.77127087559067,15.09349525431006,0.0
2024-11-07,0.0,34.41579328730934,12.01657030286561,16.15594115260107,10.51410932472082,6.065213527265168,5.760731037477489,15.071641367760499,0.0
2024-11-08,0.0,34.44222145576703,12.011728040373375,16.14943086672929,10.50987250207183,6.062769455851258,5.758409661982854,15.065568017224354,0.0
2024-11-11,0.0,34.49501394630763,12.002055213547498,16.136426022831284,10.501409092283255,6.057887217522638,5.753772519078386,15.053435988429307,0.0
2024-11-12,0.0,34.56113204481717,11.992397952890629,16.12344210721016,10.49295930238776,6.066423401248571,5.722321708127832,15.041323483317878,0.0
2024-11-13,0.0,34.539428079265036,11.998834398944103,16.132095728089574,10.498590983954402,6.056261551645522,5.725392938345481,15.049396319755887,0.0
2024-11-14,0.0,33.26405458695528,12.115877238964663,16.357250578561082,10.62809696657996,6.575991445926471,5.86253326362103,15.196195919391513,0.0
2024-11-15,0.0,33.33179782004986,12.115877238964663,16.357250578561082,10.62809696657996,6.508248212831896,5.86253326362103,15.196195919391513,0.0
2024-11-18,0.0,33.32278539640837,12.092939224545427,16.3262827136488,10.60797564670686,6.428311690454293,6.054279142496002,15.167426185740243,0.0
2024-11-19,59.327621371892945,13.613670811601484,4.91848602867399,6.640287521190431,4.314516019806002,2.5540459043937345,2.462419336038487,6.168953006402928,0.0
2024-11-20,59.32435845852153,13.623921727308089,4.9182155207139715,6.639922317218962,4.31427872911936,2.5484056147624345,2.462283907366449,6.1686137249892,0.0
2024-11-21,59.3113430063411,13.664921630783095,4.917136490100135,6.627413336981482,4.313332199060697,2.536849277917063,2.4617436952295844,6.167260363586847,0.0
2024-11-25,59.327654002839246,13.399173339134501,4.91848873390386,6.6292359177940545,4.314518392844686,2.7575520149434056,2.484421199134703,6.168956399405541,0.0
2024-11-26,59.396442242014004,13.376163658596399,4.924191541221843,6.636612532864539,4.3195209187007855,2.6616322165527557,2.509327811924682,6.17610907812499,0.0
2024-11-27,59.387040560794944,13.50067594029945,4.9234121060000575,6.634873839663806,4.357376624344042,2.49604193178009,2.5254475164131858,6.175131480704422,0.0
2024-11-28,59.4361869899726,12.905727787763388,4.92748653237482,6.667812234964213,4.388533566645757,2.9334124927088148,2.56059861371083,6.1802417818595785,0.0
2024-11-29,59.508325456727405,12.982077280934442,4.933467086333647,6.681421921483782,4.393859986438689,2.743882124975714,2.56922332208364,6.187742821022683,0.0
2024-12-02,59.48453321569804,13.098209633079843,4.9314946188322075,6.678750597773113,4.392103261223449,2.654550346058708,2.575089450377687,6.185268876956948,0.0
2024-12-03,59.60286167976365,12.654585506401034,4.941304499691124,6.647831045678802,4.400840168194435,2.902959065042749,2.652045231074089,6.1975728041541105,0.0
2024-12-04,59.57652580008689,12.809166787935416,4.939121154846888,6.644893661909023,4.398895630736335,2.7525499887181746,2.684012606095312,6.194834369671968,0.0
2024-12-05,59.51735507941639,12.818515726402001,4.934215676484625,6.6382940298983675,4.405562126003315,2.865688180109107,2.631687450308675,6.188681731377519,0.0
2024-12-06,59.3537335235233,12.95935726753302,4.920650825610099,6.685861744486134,4.294404808696046,3.017383805096776,2.596939847664244,6.171668177390384,0.0
2024-12-09,59.49429803852592,12.984532696791698,4.932304159878027,6.618961895171893,4.370761951778253,2.7101418735855822,2.70271515001692,6.186284234251713,0.0
2024-12-10,59.40093157271209,12.980676380911275,4.924563723854587,6.600300380489663,4.363902763422307,2.805013324269676,2.748035970544363,6.176575883796046,0.0
2024-12-11,59.39766059072017,12.935908646099561,4.924292546975162,6.594430309875529,4.36366245999649,2.914991209511426,2.6928184734236056,6.176235763398054,0.0
