date,YUE XIU SECURITIES CO LTD,QUAM SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ZHONGTAI INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-07-05,0.0,0.0,8.132260947274352,0.2766075152134133,0.0,0.0,0.0,0.0,0.0
2024-07-08,0.0,0.0,8.164177199029746,0.0,0.0,0.9315227952962537,0.0,0.0,0.0
2024-07-09,0.0,0.0,8.158503198717677,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,0.0,0.0,0.9293950451792274,0.0,3.6579570761876394,0.0
2024-07-11,3.149779423237868,0.0,8.162758698951729,0.0,0.0,0.0,0.0,3.659375576265657,0.0
2024-07-12,0.0,0.0,8.180489949926947,0.29433876618863214,0.0,0.93365054541328,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0,0.3085237669688072,0.0,0.9293950451792274,0.0,0.0,0.0
2024-07-16,3.0519029178546604,0.0,0.0,0.29859426642268466,0.0,0.930813545257245,0.0,0.0,0.0
2024-07-17,3.1136076712484217,0.0,8.181908450004965,0.0,0.0,0.92797654510121,0.0,0.0,0.0
2024-07-18,3.107933670936352,0.0,8.179780699887939,0.0,0.0,0.9251395449451749,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0,0.3219995177099735,0.0,0.92230254478914,0.0,0.0,0.0
2024-07-23,3.090202419961133,0.0,0.0,0.0,0.0,0.9230117948281488,0.0,0.0,0.0
2024-07-24,3.105805920819326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-25,0.0,0.0,0.0,0.0,0.0,0.9215932947501312,0.0,0.0,0.0
2024-07-26,3.1533256734329123,0.0,0.0,0.0,0.0,0.9194655446331049,0.0,0.0,0.0
2024-07-29,3.1646736740570525,0.0,0.0,0.0,0.0,0.9166285444770699,0.0,0.0,0.0
2024-07-30,3.1448146729648068,0.0,8.17907144984893,0.0,0.0,0.9123730442430175,0.0,0.0,0.0
2024-07-31,0.0,0.0,8.180489949926947,0.0,0.0,0.910954544165,0.0,0.0,0.0
2024-08-02,3.136303672496702,0.0,8.184745450161,0.0,0.0,0.9095360440869824,0.0,0.0,0.0
2024-08-05,3.1270834219895884,0.0,8.185454700200008,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,3.107224420897343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,3.1320481722626496,0.0,0.0,0.0,1.4255925784075918,0.9059897938919388,0.0,0.0,0.0
2024-08-08,3.1433961728867894,0.0,0.0,0.0,0.0,0.9010250436188774,0.0,0.0,0.0
2024-08-09,0.0,0.0,0.0,0.0,0.0,0.9003157935798687,0.0,3.6629218264607,0.0
2024-08-12,3.1483609231598506,0.0,0.0,0.0,0.0,0.8981880434628424,0.0,0.0,0.0
2024-08-13,3.1320481722626496,0.0,8.184745450161,0.0,0.0,0.8967695433848248,0.0,0.0,0.0
2024-08-14,0.0,0.0,8.185454700200008,0.0,0.0,0.8960602933458162,0.0,3.6643403265387184,0.0
2024-08-15,3.1575811736669643,0.0,8.178362199809921,0.0,0.0,0.8889677929557286,0.0,3.6998028284891555,0.0
2024-08-16,0.0,0.0,8.162758698951729,0.0,0.0,0.8804567924876235,0.0,3.78845908336525,0.0
2024-08-19,0.0,0.0,0.0,0.0,0.0,0.8790382924096061,0.0,3.884207838631431,0.0
2024-08-20,0.0,0.0,8.157793948678666,0.0,0.0,0.8747827921755537,0.0,3.95867909272735,0.0
2024-08-21,0.0,0.0,8.150701448288581,0.0,0.0,0.8712365419805098,0.0,4.004780345262919,0.0
2024-08-22,3.1809864249542534,0.0,8.127296197001291,0.0,0.0,0.8676902917854661,0.0,0.0,0.0
2024-08-23,3.1923344255783936,0.0,0.0,0.0,0.0,0.8421572903811511,0.0,4.1111678511142316,0.0
2024-08-26,0.0,0.0,8.125168446884265,0.0,1.4227555782515566,0.8329370398740371,0.0,4.239542108174816,0.0
