date,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-06-19,2.516632519083114,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.0888235612723447,0.5797307165763016,14.989572691396116
2024-06-20,2.516632519083114,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.0701466696300668,0.5797307165763016,14.970895799753839
2024-06-21,2.523356200074334,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.058380227895432,0.5793571787434562,14.965479501177578
2024-06-24,2.5246635824892936,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.0443725591637234,0.5797307165763016,14.953152752693674
2024-06-25,2.5246635824892936,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.0256956675214455,0.5793571787434562,14.934102323218552
2024-06-26,2.5246635824892936,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.024014747273641,0.5812248679076839,14.934289092134975
2024-06-27,2.5304534188983996,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.2390249915487066,1.034513028065765,1.0287231916566588,2.024014747273641,0.5715128842536994,14.93877154612912
2024-06-28,2.5082727423840305,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.2384646847994383,1.034513028065765,1.0287231916566588,2.024014747273641,0.5715128842536994,14.916030562865485
2024-07-02,2.512008120712486,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.2384646847994383,1.034513028065765,1.0287231916566588,2.024014747273641,0.5716996531701223,14.919952710110362
2024-07-04,2.518358263870861,3.4569058740691903,2.5352012715227827,0.5184221388402771,1.1932666070251259,1.034513028065765,1.0287231916566588,2.024014747273641,0.5716996531701223,14.881104775494425
