date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,GEO SECURITIES LTD,GRANSING SECURITIES CO LTD,TIGER BROKERS (HK) GLOBAL LTD,HANG SENG SECURITIES LTD,VALUABLE CAPITAL LTD,BOCI SECURITIES LTD
2024-11-15,20.063917010031865,11.119886438229724,11.373961485120915,10.13417642282541,10.229093060791355,16.93896923699924,6.425126262310059,5.5051650020247545,3.7705269367979093,4.439178144868768
2024-11-18,20.053667789202585,11.165288934201484,11.382746441606912,10.12899959658413,10.223867748425336,16.93031632858443,6.436439224918734,5.465865056081783,3.775898394282825,4.436910486111781
2024-11-19,20.063870376482623,11.162845091548121,11.387550955026002,10.126782575475593,10.221629962709875,16.92661064488716,6.449622331931142,5.464668695267449,3.7604800252533357,4.435939341418703
2024-11-20,20.037596717055326,11.160402318470297,11.399647721980921,10.124566524671566,10.21939315638679,16.92290658302452,6.448210956635204,5.463472858054037,3.788834541963188,4.43496862175815
2024-11-21,20.041032098124102,11.162315733306727,11.406344299138734,10.126302348815527,10.22114523824968,16.925807960556213,6.456612088401832,5.449818339023919,3.774892911616809,4.435728982766456
2024-11-22,19.920514954658447,11.208978024203441,11.420705787788055,10.135511274584283,10.230440414764107,16.941200401322433,6.4770882568849135,5.454774439563732,3.77832582398804,4.432460622242551
2024-11-25,19.878153056096973,11.187888266172354,11.458053690307182,10.136251448149375,10.231187520790543,16.9424375790393,6.521377912966421,5.433264465002258,3.778601746614877,4.432784314860714
2024-11-26,19.870850281278422,11.195191040990906,11.458053690307182,10.136251448149375,10.231187520790543,16.9424375790393,6.521377912966421,5.4259616901837076,3.785904521433429,4.432784314860714
2024-11-27,19.764022974478003,11.21962872127992,11.504649468131795,10.145141970627023,10.240161311850473,16.957297818339114,6.534407004135849,5.430720809924983,3.767297604107046,4.436672317125794
2024-11-28,19.722949815272305,11.232685021617472,11.510538750181167,10.150335314645147,10.24540329669874,16.965978335718113,6.493874466430037,5.470065428929806,3.7692261007740644,4.438943469733144
2024-11-29,19.693473968399886,11.262860228199429,11.548235571213311,10.157763607632493,10.252901163035391,16.978394502671026,6.5498547758149,5.34965792303988,3.764666250027599,4.442192009966083
2024-12-02,19.71264868356701,11.322924191714293,11.469177415893533,10.152562661518001,10.247651504889568,16.9258141201388,6.6269609303568515,5.317660702394514,3.76273867747701,4.461861112050419
2024-12-03,19.749221315632997,11.322924191714293,11.461862889480336,10.152562661518001,10.247651504889568,16.9258141201388,6.590388298290864,5.324975228807713,3.76273867747701,4.461861112050419
2024-12-04,19.73016407251831,11.324580870632225,11.470855493403304,10.154048102578944,10.249150858582926,16.89902818224594,6.62793053381594,5.311123142991581,3.7706048076593945,4.4625139355714385
2024-12-05,19.782820480173683,11.332725523732796,11.42779792530743,10.154790986124656,10.249900699971645,16.885632273757714,6.635731573786069,5.296879448093841,3.7708806700780766,4.462840418974092
2024-12-06,19.78716344506546,11.342531159166063,11.444942170148808,10.157020289109045,10.252150882594936,16.88933921272599,6.578646426447429,5.298042283368119,3.7790262375372428,4.471137893836906
2024-12-09,19.788611523802782,11.343361236617264,11.453098015810413,10.157763607632493,10.252901163035391,16.89057522076066,6.571809596292493,5.298430008592166,3.7793027970126603,4.464146830443675
2024-12-10,19.795855097884026,11.347513446960516,11.471932299698324,10.16148183278958,10.256654213067868,16.89675797556077,6.515647572898218,5.293048533938665,3.7880071541224676,4.473101873079563
2024-12-11,19.792957031986365,11.236053989711513,11.51417211956899,10.159994216123177,10.255152663392343,16.89428433055641,6.456134653184901,5.424031494342417,3.7947724794831252,4.472447021650765
2024-12-12,20.014008196423973,11.228656671400804,11.47733145474752,10.153305327718009,10.248401126896924,16.76612090139026,6.451884221215623,5.3912003072969545,3.799589231500928,4.4695025614090085
2024-12-13,20.125206289765618,11.222162518012553,11.514749073097448,10.154048102578944,10.249150858582926,16.7673474431635,6.291413089494159,5.406225898995562,3.799867194122158,4.469829532187129
2024-12-16,20.117847586879538,11.203433334831752,11.510538750181167,10.150335314645147,10.24540329669874,16.761216528218068,6.340303110805003,5.404249133661933,3.7984777875597855,4.468195156518865
2024-12-17,20.141207630694268,11.200157099957362,11.51448349123175,10.147367038622013,10.24240721981948,16.756315023430584,6.33844900755424,5.395357978748591,3.7900562104916595,4.474199299450052
2024-12-18,20.184937126185538,11.243112986022037,11.527987978690113,10.13995393816342,10.23492468830472,16.612575832408947,6.406872913378472,5.391416431098418,3.7872874067886744,4.470930698959663
2024-12-19,20.28901222505143,11.380607965444257,11.497594526957768,10.151820103955076,10.246901992536788,16.47110869892423,6.326602586398517,5.361155717722673,3.79171943681008,4.48347674619918
2024-12-20,20.588671681863815,11.441445887367388,11.492715271328752,10.173398467222135,10.268682458629835,16.007710556493617,6.369368348714723,5.365221670033575,3.807108524383661,4.485677133962498
2024-12-23,20.827493311293026,11.454425850023537,11.549658500562215,10.171907359632204,10.267177385334811,15.646269605774318,6.368434795043505,5.364435293408338,3.857849763874341,4.492348135053704
