date,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-10-24,107385206.0,95155319.0,0.0,18949400.0,0.0,46189695.0,10658000.0,0.0,0.0
2024-10-25,107370406.0,95155719.0,40024000.0,18909400.0,0.0,46161095.0,10720800.0,0.0,0.0
2024-10-28,107375406.0,95180119.0,0.0,18733800.0,0.0,46234895.0,10728400.0,0.0,0.0
2024-10-29,129870281.0,95215719.0,40016000.0,18697800.0,22044053.0,23788931.0,10744000.0,0.0,0.0
2024-10-30,0.0,95203719.0,40010800.0,18771800.0,21963883.0,23728631.0,10727200.0,0.0,0.0
2024-10-31,130028960.0,95190519.0,40010400.0,18732600.0,21968683.0,23730631.0,10730800.0,0.0,0.0
2024-11-01,129879481.0,95233719.0,0.0,18694600.0,21962283.0,22721783.0,10742400.0,0.0,0.0
2024-11-04,129873081.0,95228119.0,0.0,18673400.0,21966683.0,22780983.0,10758800.0,0.0,0.0
2024-11-05,129994717.0,95236119.0,0.0,18713000.0,21972701.0,22765965.0,10780800.0,0.0,0.0
2024-11-06,129852287.0,95228519.0,0.0,18708200.0,21981501.0,22933377.0,10794800.0,0.0,0.0
2024-11-07,130101577.0,95164469.0,0.0,18827800.0,21960683.0,22033595.0,10781200.0,0.0,0.0
2024-11-08,130047177.0,95133669.0,40010000.0,19003000.0,21961883.0,22053995.0,10687600.0,0.0,0.0
2024-11-11,130008377.0,95126154.0,40000000.0,19040600.0,21968683.0,22074195.0,10678000.0,0.0,0.0
2024-11-12,129924777.0,95120954.0,39999600.0,19118600.0,21967107.0,22062795.0,10637600.0,0.0,0.0
2024-11-13,129744788.0,95121354.0,39999200.0,19141800.0,21967109.0,22163995.0,10643200.0,0.0,0.0
2024-11-14,129662837.0,95162554.0,39997600.0,19250200.0,21967423.0,22126775.0,10680000.0,0.0,0.0
2024-11-15,129447137.0,95200716.0,39998000.0,19379000.0,21991261.0,21981260.0,10695200.0,0.0,20274400.0
2024-11-18,124633385.0,95209516.0,39994400.0,19535800.0,21977422.0,24237543.0,10800000.0,0.0,0.0
2024-11-19,124254066.0,95217916.0,40001200.0,19870600.0,21968315.0,23807343.0,10930000.0,0.0,20275200.0
2024-11-20,124030305.0,95217516.0,0.0,19796600.0,21968026.0,23849856.0,10925200.0,0.0,0.0
2024-11-21,123930205.0,95236716.0,0.0,19827800.0,21968011.0,23901738.0,10928000.0,0.0,0.0
2024-11-22,123757331.0,95241516.0,0.0,19862600.0,21967916.0,24222672.0,10919600.0,0.0,0.0
2024-11-25,123708131.0,95247916.0,0.0,19880600.0,21968123.0,24247472.0,10930000.0,0.0,0.0
2024-11-26,123780203.0,95322716.0,40003600.0,20037400.0,21972545.0,23866577.0,10970400.0,0.0,0.0
2024-11-27,123801198.0,95320716.0,40004800.0,20082600.0,21987824.0,23665784.0,10943600.0,0.0,0.0
2024-11-28,124140271.0,95307116.0,0.0,20200600.0,21972568.0,23631711.0,10944400.0,0.0,0.0
2024-11-29,124083434.0,95307916.0,40002800.0,20231000.0,21972372.0,23652211.0,10957200.0,0.0,0.0
2024-12-02,124050634.0,95306316.0,0.0,20270200.0,21974416.0,23606611.0,10964800.0,0.0,0.0
2024-12-03,124267133.0,95317916.0,0.0,20451400.0,22011616.0,23211417.0,10972800.0,0.0,0.0
2024-12-04,124089646.0,95314716.0,0.0,20523000.0,21998016.0,23337304.0,11004800.0,0.0,0.0
2024-12-05,124113036.0,95315916.0,40004400.0,20589800.0,22012016.0,23250529.0,11008000.0,0.0,0.0
2024-12-06,124075836.0,95324316.0,40006800.0,20573000.0,22029216.0,23183729.0,11028000.0,0.0,0.0
2024-12-09,124034059.0,95310716.0,0.0,20605000.0,22029616.0,23107739.0,11026400.0,0.0,0.0
2024-12-10,123970459.0,95298716.0,0.0,20627000.0,22030416.0,23116139.0,11055200.0,0.0,0.0
2024-12-11,123878059.0,95311116.0,0.0,20586600.0,22036416.0,23201339.0,11050800.0,0.0,0.0
2024-12-12,123307512.0,95103116.0,40031600.0,20138600.0,21973616.0,23695486.0,11161600.0,20176400.0,0.0
2024-12-13,122727402.0,95136716.0,40035200.0,19989000.0,21983856.0,23573539.0,11508400.0,0.0,0.0
2024-12-16,122919631.0,95164316.0,40040800.0,18921400.0,22043056.0,24233739.0,11649600.0,0.0,0.0
2024-12-17,124119011.0,95198716.0,40042800.0,16443800.0,22085056.0,24638776.0,11785200.0,20179600.0,20450800.0
2024-12-18,124163357.0,95139116.0,0.0,16355800.0,22030656.0,24485976.0,11790400.0,20175600.0,20495200.0
2024-12-19,123967355.0,95116716.0,40043200.0,16279400.0,0.0,24487176.0,11791600.0,0.0,20526000.0
2024-12-20,124015185.0,95051916.0,40044400.0,16015800.0,21968856.0,24938449.0,11802400.0,0.0,20561600.0
2024-12-23,124007905.0,95097116.0,0.0,16016200.0,21965656.0,24975649.0,11757200.0,0.0,20603200.0
2024-12-27,123323537.0,95090316.0,0.0,16908800.0,21996160.0,24871110.0,11771600.0,0.0,20632400.0
2024-12-30,123094712.0,95225516.0,40043600.0,16659600.0,0.0,24948310.0,11779200.0,0.0,20635200.0
2025-01-02,120924271.0,95510288.0,40022000.0,19372800.0,22011621.0,24478910.0,11321600.0,0.0,0.0
2025-01-03,114244893.0,93073989.0,40001200.0,30796400.0,22271117.0,23284686.0,10749600.0,20176800.0,20702000.0
2025-01-06,114377805.0,91983794.0,40020000.0,30050800.0,22210317.0,23434686.0,10752000.0,20175600.0,21352000.0
2025-01-07,86961405.0,91645394.0,40021200.0,31452000.0,22258717.0,23316293.0,10793600.0,0.0,21354400.0
2025-01-08,87291507.0,91487794.0,40034400.0,33296400.0,21962717.0,21463391.0,10928000.0,0.0,20996000.0
2025-01-09,90311892.0,91864756.0,40039200.0,38118400.0,25125064.0,22993991.0,11392000.0,20205600.0,21036800.0
2025-01-10,92093040.0,92612756.0,40038400.0,36599200.0,23384664.0,23893191.0,11732800.0,0.0,21078800.0
2025-01-13,99879020.0,92930306.0,40040400.0,37435200.0,22002664.0,23423392.0,12235600.0,0.0,20708800.0
2025-01-14,98783652.0,93363106.0,40058400.0,36554400.0,21965657.0,24339792.0,12548800.0,0.0,0.0
2025-01-15,98188164.0,94900706.0,40069200.0,35421600.0,0.0,23456592.0,12829600.0,0.0,20758800.0
2025-01-16,97747366.0,95370706.0,40090400.0,37077600.0,0.0,22679066.0,12940400.0,0.0,20909200.0
2025-01-17,96279421.0,94921106.0,40206000.0,38155600.0,0.0,22625758.0,13222800.0,20236400.0,21148400.0
2025-01-20,96412089.0,95153106.0,40170000.0,37602800.0,0.0,22650466.0,13308400.0,0.0,21162000.0
2025-01-21,96376565.0,94689106.0,40168800.0,37813600.0,22039657.0,22398266.0,13381200.0,20237200.0,21165600.0
2025-01-22,96537531.0,93972706.0,40197600.0,38374800.0,21948857.0,22976666.0,13407600.0,0.0,21175600.0
2025-01-23,96470740.0,94432306.0,40270000.0,37754800.0,21945657.0,22417470.0,13636400.0,0.0,21179600.0
2025-01-24,97062130.0,94507906.0,40268800.0,37141200.0,21956057.0,22180072.0,13836000.0,20277200.0,21241600.0
2025-01-27,96105339.0,94051906.0,40272000.0,37620000.0,0.0,22537254.0,13912800.0,0.0,21290800.0
2025-02-03,97017533.0,93968369.0,40116800.0,37667200.0,22024057.0,22607899.0,13804400.0,20207200.0,21426800.0
2025-02-04,96868810.0,94105569.0,40117200.0,37767600.0,21896057.0,22617099.0,13819200.0,20207600.0,21418800.0
2025-02-05,96453838.0,94104369.0,40118800.0,0.0,0.0,22885467.0,13708400.0,0.0,0.0
2025-02-06,97147689.0,94039522.0,40127200.0,0.0,21898724.0,22819400.0,13719600.0,0.0,0.0
2025-02-07,97652537.0,94028722.0,40128800.0,37074400.0,21896124.0,23000013.0,13800000.0,0.0,0.0
2025-02-10,97891025.0,94276322.0,40134000.0,35961200.0,22177724.0,23058413.0,13796800.0,20211200.0,21420000.0
2025-02-11,98142702.0,95172322.0,40124800.0,35278800.0,21896124.0,23320413.0,13504800.0,20209200.0,21424800.0
2025-02-12,98293208.0,100841840.0,40116000.0,34574400.0,0.0,23242813.0,13434400.0,20212800.0,21423600.0
