date,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,KGI ASIA LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA MERCHANTS BANK CO LTD
2024-07-08,31.46778795138677,26.837153656953827,18.13314828359592,5.982170561706806,4.193407154943126,2.6454930273786954,3.363565771868503,2.7893249545040506,2.78244131063659,1.8055073270257092
2024-07-09,31.468243985459885,26.83754258344945,18.133411070846265,5.984068767352502,4.193467926184755,2.6321261811509995,3.3594480405674663,2.8002344465404096,2.782481634031614,1.808975364416647
2024-07-10,31.4629434055233,26.83302200899888,18.130356639370888,5.981249591357889,4.192761569263012,2.6496137628730656,3.3577954439745548,2.8015739752628734,2.78201294673117,1.808670656644366
2024-07-11,31.475428266016696,26.843669663036863,18.13755097495547,5.9368753541260295,4.194425305633751,2.655376165452617,3.3591278561123206,2.802685672277112,2.7831168817026404,1.811743860686504
2024-07-12,31.501056087190843,26.860992727852945,18.152318872916844,5.841246877979684,4.1978404770097395,2.6626157382147833,3.360049513953669,2.82310166944955,2.7853829421084977,1.8153950933234484
2024-07-15,31.517402036232006,26.87493094049919,18.161738140590106,5.8442779104485645,4.200018743234537,2.671436173285469,3.2952067223044472,2.8318239467970385,2.7868282818299916,1.8163371047786492
2024-07-16,31.555317250216426,26.907261294259122,18.183586584416084,5.7271945356590255,4.205071336376739,2.680281116602824,3.2991708329204,2.83341408720914,2.7901808167414015,1.8185221455988394
2024-07-17,31.542138928393438,26.896024121585523,18.17599264536596,5.7342446899263555,4.203315189134739,2.7132981498656705,3.2959772479663823,2.832230779736648,2.789015564607957,1.8177626834173344
2024-07-18,31.499413857054932,26.859592396015934,18.151372546387115,5.853590166995256,4.19762163291391,2.718689409576148,3.2896994109604805,2.829482394919377,2.785237733014716,1.81530045216213
2024-07-19,31.495701620025184,26.856426966527348,18.149233389207453,5.856163881422057,4.197126939059183,2.723083048845733,3.2903995719057435,2.8318685757987554,2.784909489997368,1.8150865172111748
2024-07-22,31.471051736407425,26.83540797774277,18.135029022649984,5.86299413762328,4.193842087944421,2.7876214180828893,3.2880055317336945,2.829652234291067,2.7827299006793513,1.8136659528451164
2024-07-23,31.462159869148813,26.82782587061882,18.129905130631663,5.894481851192685,4.192657154963411,2.7868338003119786,3.2874387671061758,2.823600373488253,2.78194366496341,1.813153517574785
2024-07-24,31.462850803736387,26.8284150314673,18.13030327807533,5.9025579432546085,4.192749229120246,2.7772956360676426,3.2866053614245105,2.8240246222490337,2.7820047587060777,1.8131933358988634
2024-07-25,31.45575770255257,26.817839752857797,18.126215915603094,5.891720587183863,4.191804000262695,2.8165069514918986,3.282604990140487,2.82338796371748,2.781377573287615,1.8127845629024943
2024-07-26,31.45530203030451,26.817451266099862,18.125953336852547,5.8916352389436355,4.191743277237985,2.8233470637476636,3.2816520546625774,2.818820147598761,2.7813372818858464,1.8127583026666152
2024-07-29,31.450062748177167,26.812984477226426,18.12293422791926,5.895904259953554,4.19104508888126,2.831929123516379,3.279294988764364,2.8179885441460453,2.780874014653598,1.8169825267619475
2024-07-30,31.452909967578663,26.815411895264567,18.124574923213228,5.891730389874796,4.191424510219308,2.8477569094444375,3.2777812392975996,2.800137373128066,2.7811257711766633,1.8171470208026688
2024-07-31,31.460770968755273,26.822113850176766,18.129104784041488,5.863863388602777,4.1924720696674,2.8767215151668317,3.2814981826559944,2.7939551003826937,2.7818208557644506,1.7976792847863239
2024-08-01,31.45672604991598,26.818665324591358,18.126773920708438,5.8631094702860524,4.191933042531839,2.8781625028295412,3.2912170308875623,2.7945013051255496,2.7814631963924596,1.7974481567312208
2024-08-02,31.44522365803704,26.808858875002677,18.120145727526285,5.873274846311021,4.190400230232525,2.9028147259928625,3.2900135722699098,2.7920313253750257,2.7804461331535526,1.796790906099099
2024-08-05,31.443686846909014,26.807548655266384,18.119260148148687,5.871177706041751,4.190195434306291,2.90575002405801,3.2934729762496415,2.791894871430309,2.7803102454077764,1.7967030921821348
2024-08-06,31.442207096678704,26.80628708322206,18.118407449815066,5.870901406490589,4.189998242332933,2.9054322772442975,3.29820501843668,2.7917634839406955,2.7801794030944684,1.7966185387445113
2024-08-07,31.45046132786114,26.813324289295004,18.123163907378252,5.835870786296951,4.191098203733222,2.909091793925673,3.2996140119676,2.799376233363129,2.7809092578228984,1.7970901883561259
2024-08-08,31.450347446920546,26.813227199253664,18.12309828408164,5.836030702952003,4.191083027923856,2.905098201480245,3.3006883529344604,2.802443915038808,2.7808991882548026,1.7970836811599722
2024-08-09,31.44698833015303,26.810363359315865,18.12116261060687,5.835226345325025,4.1906353909844904,2.915649643923979,3.3003358163652097,2.802144594455437,2.7806021687987283,1.7968917400713658
2024-08-12,31.396403819338087,26.767237159087603,18.092013550721326,5.974225568884759,4.183894483428217,2.922526839044204,3.2968343890541325,2.7967334760278297,2.7761293907061826,1.794001323707654
2024-08-13,31.395949865071582,26.766850137007598,18.091751961948667,5.974139188762957,4.1838339893422605,2.923930462636792,3.296786720791057,2.7966930386229274,2.776089251211591,1.793975384604574
2024-08-14,31.394815036835023,26.7658826307697,18.091098023110586,5.978622188943448,4.183682761780471,2.9272586156014637,3.2966675561638765,2.7920737391138495,2.775988907553157,1.793910540128427
