date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,GF SECURITIES (HONG KONG) BROKERAGE LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2025-02-25,93.26241528879207,1.7226190973992386,1.5096836131297724,1.2354423604317943,0.9087556458025673,0.8369616543300153,0.5241223401145442
2025-02-26,93.26256885699496,1.7218223575345397,1.5096860990122007,1.235444394741784,0.9087571421821212,0.8369630324918048,0.524758117042591
2025-02-28,60.11839819498137,1.0992389234791637,0.9531582183352391,0.7963852913458926,0.5857979723892243,0.5395184528851581,0.33886482815270647
2025-03-05,93.3046067500618,1.7060099706589626,1.4817581521967484,1.236001268522902,0.9091667624192107,0.8373402916954917,0.525116804444891
2025-03-06,93.3045155700066,1.7060083034949425,1.4817567041783195,1.2360000606654573,0.9091658739542307,0.8373394734214893,0.5252140142789501
2025-03-10,93.3036493683704,1.7059924655992647,1.4816696565793677,1.2359885861374738,0.9091574336235265,0.8373316998982303,0.5262107897917394
2025-03-12,93.3036493683704,1.7060168961209397,1.4816696565793677,1.2359885861374738,0.9091574336235265,0.8373316998982303,0.5261863592700642
2025-03-13,93.3040596724038,1.7060243983528276,1.4816761722412992,1.2359940214136453,0.9091614316553778,0.8373353820754668,0.5257489218575869
2025-03-19,93.3040596724038,1.7059999677237185,1.4816761722412992,1.2359940214136453,0.9091614316553778,0.8373353820754668,0.5257733524866958
2025-03-20,93.30403687764061,1.7059995509372958,1.4816758102585774,1.2359937194526038,0.9091612095415748,0.8373351775092152,0.5257976546601296
2025-03-21,93.30401408288856,1.7059991341510765,1.4816754482760324,1.23599341749171,0.9091609874278801,0.8373349729430635,0.5258219568216893
2025-03-27,93.304219236058,1.7060028852343812,1.481458830087305,1.2359961351450663,0.9091629864550383,0.8373368140420266,0.5258231129781749
2025-03-31,60.11839819498137,1.099223182145999,0.954543455653728,0.7963852913458926,0.5857979723892243,0.5395184528851581,0.3389592761516943
2025-04-02,93.3012560000955,1.7059487045216217,1.4814117806385425,1.2359568813125263,0.9096227103718226,0.8373102211764476,0.5284937018835338
2025-04-03,93.30130158691553,1.7059495380449836,1.481412504453581,1.235957485198758,0.909623154811786,0.8373106302846633,0.5284451002907032
2025-04-07,93.30378613598057,1.7059949663000846,1.4814519534429338,1.235990397890886,0.9096473774466303,0.8373329272870442,0.5257962416518486
2025-04-08,93.30437880025796,1.7060058027550222,1.4814613636039557,1.235998248883717,0.9096531555133944,0.8373382460134844,0.525164382972452
2025-04-11,93.29754082402022,1.713209451772115,1.4813527920906813,1.2359076665684552,0.9095864899748421,0.837276880200831,0.5251258953728575
2025-04-15,93.29621893089627,1.7131851780369856,1.4813318034338239,1.2358901555190553,0.9095736024312252,0.8372650171812808,0.5265353125013591
2025-04-17,93.29649242295204,1.7131902001326467,1.48104300209325,1.235893778454081,0.909576268789597,0.8372674715715381,0.5265368560068378
2025-04-22,93.29653800511724,1.7131910371514527,1.4810437256911584,1.2358943822786506,0.9095767131841789,0.83726788063798,0.5264882559393427
2025-05-02,93.2996604894591,1.7132483748866196,1.4777464554502566,1.2359357456661824,0.909607155246718,0.8372959026407587,0.5265058766503625
