date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMBC SECURITIES CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIDAS SECURITIES LTD
2024-12-03,960347107.0,1921328000.0,304708441.0,61262528.0,89622400.0,0.0,0.0,0.0
2024-12-04,962226496.0,1912606000.0,304892441.0,60756915.0,89634400.0,0.0,0.0,0.0
2024-12-05,986771236.0,1882288000.0,305256441.0,65349714.0,91620400.0,0.0,0.0,0.0
2024-12-06,979485795.0,1846208000.0,304982441.0,97283954.0,91012400.0,0.0,0.0,0.0
2024-12-09,964826679.0,1857036000.0,303682441.0,110335181.0,90300400.0,0.0,0.0,0.0
2024-12-10,940819183.0,1895676000.0,301514441.0,93742319.0,90166400.0,0.0,0.0,0.0
2024-12-11,963721539.0,1857132000.0,299336441.0,121507564.0,85044400.0,0.0,10203607845.0,0.0
2024-12-12,963556148.0,1846002000.0,297976441.0,114168813.0,84604400.0,0.0,10203507845.0,0.0
2024-12-13,966730417.0,1880498000.0,295890441.0,116196182.0,83028400.0,0.0,0.0,0.0
2024-12-16,967841792.0,1871950000.0,297290441.0,129181317.0,83680400.0,0.0,0.0,0.0
2024-12-17,981553117.0,1855178000.0,297370441.0,133373937.0,83992400.0,0.0,0.0,0.0
2024-12-18,983114371.0,1851176000.0,297612441.0,136239857.0,83456400.0,0.0,0.0,0.0
2024-12-19,980062941.0,1875508000.0,297884441.0,125067699.0,82988400.0,0.0,0.0,0.0
2024-12-20,1005119031.0,1859636000.0,292652441.0,146818358.0,87582400.0,0.0,10204091845.0,0.0
2024-12-23,991727023.0,1898032000.0,293206441.0,112007068.0,95028400.0,0.0,0.0,0.0
2024-12-27,972439316.0,1923050000.0,294136441.0,102611558.0,87858400.0,0.0,0.0,0.0
2024-12-30,977391796.0,1901718000.0,294668441.0,100840558.0,90600400.0,0.0,0.0,0.0
2025-01-02,997001637.0,1870906000.0,294776441.0,95735068.0,93116400.0,0.0,0.0,0.0
2025-01-03,1025599185.0,1840048000.0,294930441.0,112804583.0,92926400.0,0.0,0.0,0.0
2025-01-06,1022404604.0,1861466000.0,295832441.0,110688639.0,93650400.0,6989989659.0,0.0,0.0
2025-01-07,1034612723.0,1861310000.0,295876441.0,108531939.0,93616400.0,0.0,0.0,0.0
2025-01-08,1056309615.0,1838676000.0,295878441.0,118711663.0,93070400.0,0.0,0.0,0.0
2025-01-09,1080167482.0,1795862000.0,295394441.0,134674425.0,91184400.0,0.0,0.0,0.0
2025-01-10,1092398328.0,1767454000.0,295466441.0,134624425.0,91924400.0,0.0,10204221845.0,0.0
2025-01-13,1092647839.0,1767698000.0,295626441.0,150956861.0,92138400.0,0.0,0.0,0.0
2025-01-14,1086825105.0,1790270000.0,296016441.0,135952746.0,91854400.0,0.0,0.0,0.0
2025-01-15,1101342458.0,1758962000.0,296292441.0,147331902.0,91620400.0,0.0,10204501845.0,0.0
2025-01-16,1117278522.0,1732624000.0,295392441.0,160189420.0,90762400.0,0.0,10204481845.0,0.0
2025-01-17,1138452600.0,1730068000.0,294942441.0,167446277.0,80552400.0,0.0,0.0,0.0
2025-01-20,1151784593.0,1699816000.0,294762441.0,181904111.0,76936400.0,0.0,0.0,0.0
2025-01-21,1198460087.0,1671574000.0,294362441.0,165147029.0,76710400.0,0.0,0.0,0.0
2025-01-22,1211624485.0,1658552000.0,294060441.0,162627029.0,74772400.0,0.0,0.0,0.0
2025-01-23,1229824502.0,1658312000.0,293686441.0,156580629.0,74284400.0,0.0,0.0,0.0
2025-01-27,1232589290.0,1676438000.0,289333573.0,140602366.0,75420400.0,0.0,0.0,0.0
2025-02-03,1234065290.0,1678880000.0,289395573.0,139421338.0,73172400.0,0.0,10204351845.0,0.0
2025-02-04,1285812943.0,1665118000.0,288195573.0,104827304.0,72572400.0,6681726952.0,0.0,0.0
2025-02-07,1240348583.0,1671770000.0,288885573.0,128976573.0,77778400.0,0.0,0.0,0.0
2025-02-11,1254396883.0,1647596000.0,289533573.0,130905735.0,80514400.0,0.0,0.0,0.0
2025-02-12,1252371580.0,1638948000.0,289733573.0,140676002.0,79398400.0,0.0,0.0,0.0
2025-02-13,1263245299.0,1625244000.0,288327573.0,153010925.0,80324400.0,0.0,0.0,0.0
2025-02-17,1267557407.0,1621152000.0,286311573.0,157620983.0,78780400.0,0.0,0.0,0.0
2025-02-18,1271295499.0,1600708000.0,286511573.0,172738295.0,77296400.0,0.0,0.0,0.0
2025-02-19,1264614721.0,1619904000.0,288917573.0,153421295.0,78872400.0,0.0,0.0,0.0
2025-02-20,1281335601.0,1619358000.0,288997573.0,140317995.0,78182400.0,0.0,0.0,0.0
2025-02-21,1292726114.0,1587508000.0,287967573.0,156014895.0,75338400.0,0.0,0.0,0.0
2025-02-24,1313765482.0,1583626000.0,287937573.0,150442169.0,75430400.0,0.0,0.0,0.0
2025-02-25,1322572116.0,1595160000.0,287939573.0,139693069.0,74994400.0,0.0,10204071845.0,0.0
2025-02-26,1323402116.0,1594872000.0,289359573.0,134400769.0,75942400.0,0.0,0.0,0.0
