date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,PRUDENTIAL BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,VICTORY SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,RIFA SECURITIES LTD,DBS BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2025-01-22,70.64156934726952,4.051729494747259,2.8488601366712234,2.850183546445815,2.115168082442879,1.3459820443649224,1.3956936417338728,1.2508273217959962,0.9774029092228601,0.7390371145069176,88.21645363920128
2025-01-23,70.64156934726952,4.060728201283466,2.8488601366712234,2.850183546445815,2.112597023432534,1.3459820443649224,1.3956936417338728,1.2439711644350768,0.9774029092228601,0.7390371145069176,88.21602512936622
2025-01-24,70.64156934726952,4.060728201283466,2.8488601366712234,2.8493265267757,2.112597023432534,1.3459820443649224,1.3956936417338728,1.2439711644350768,0.9774029092228601,0.7390371145069176,88.21516810969611
2025-01-27,70.64156934726952,4.060299691448408,2.8488601366712234,2.8491122718581714,2.112597023432534,1.3459820443649224,1.3956936417338728,1.2439711644350768,0.9774029092228601,0.7390371145069176,88.21452534494352
2025-02-04,70.64156934726952,4.058585652108178,2.8488601366712234,2.844827173507597,2.112597023432534,1.3459820443649224,1.3956936417338728,1.2439711644350768,0.98083098790332,0.7390371145069176,88.21195428593317
2025-02-06,70.64156934726952,4.058585652108178,2.8488601366712234,2.8362569768064474,2.109597454587132,1.3459820443649224,1.3956936417338728,1.2439711644350768,0.98083098790332,0.7390371145069176,88.20038452038662
2025-02-11,70.64156934726952,4.058157142273121,2.8488601366712234,2.8362569768064474,2.1117400037624194,1.3459820443649224,1.3956936417338728,1.2439711644350768,0.98083098790332,0.7390371145069176,88.20209855972685
2025-02-12,70.64156934726952,4.058157142273121,2.8488601366712234,2.836214125822942,2.1117400037624194,1.3459820443649224,1.3956936417338728,1.2439711644350768,0.98083098790332,0.7390371145069176,88.20205570874334
2025-02-17,70.64156934726952,4.058157142273121,2.8488601366712234,2.838356674998229,2.1117400037624194,1.3331267493131986,1.3956936417338728,1.2525413611362262,0.98083098790332,0.7390371145069176,88.19991315956806
2025-02-18,70.6458544456201,4.035317568064558,2.8488601366712234,2.869423638039895,2.1080976701644305,1.3695500852930829,1.3956936417338728,1.2396860660845022,0.98083098790332,0.7390371145069176,88.2323513540819
2025-02-19,70.6458544456201,4.037460117239846,2.8488601366712234,2.8608534413387456,2.1080976701644305,1.3888330278706686,1.3956936417338728,1.2289733202080657,0.98083098790332,0.7390371145069176,88.23449390325719
2025-02-20,70.6458544456201,4.039602666415132,2.8488601366712234,2.8604249315036885,2.1080976701644305,1.3888330278706686,1.3956936417338728,1.2289733202080657,0.98083098790332,0.7390371145069176,88.23620794259742
2025-02-21,70.64371189644481,4.039602666415132,2.8488601366712234,2.8604249315036885,2.1080976701644305,1.3888330278706686,1.3956936417338728,1.2118329268057673,0.98083098790332,0.7390371145069176,88.21692500001984
2025-02-24,70.64371189644481,4.048172863116282,2.8488601366712234,2.8604249315036885,2.1080976701644305,1.3802628311695195,1.3956936417338728,1.1989776317540433,0.98083098790332,0.7390371145069176,88.20406970496812
2025-02-25,70.64371189644481,4.048172863116282,2.8488601366712234,2.868995128204838,2.1080976701644305,1.3802628311695195,1.3956936417338728,1.1818372383517448,0.98083098790332,0.7390371145069176,88.19549950826698
2025-02-26,70.64371189644481,4.048172863116282,2.8488601366712234,2.8661669632934585,2.1080976701644305,1.3802628311695195,1.3956936417338728,1.1818372383517448,0.98083098790332,0.7390371145069176,88.19267134335558
2025-02-27,70.64371189644481,4.048172863116282,2.8488601366712234,2.8661669632934585,2.1080976701644305,1.3888330278706686,1.3956936417338728,1.1818372383517448,0.98083098790332,0.7390371145069176,88.20124154005674
2025-02-28,70.63942679809423,4.050315412291569,2.8488601366712234,2.8222447052000685,2.1080976701644305,1.4402542080775644,1.3956936417338728,1.1818372383517448,0.98083098790332,0.7390371145069176,88.20659791299495
