date,CITIBANK N.A.,MIRAE ASSET SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,ABN AMRO CLEARING HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CHINA MERCHANTS BANK CO LTD
2024-08-26,75.01500581260676,10.841044628605687,0.2854808418866164,0.4408691482299646,12.366018239696219,0.6920200154593296,0.05420522314302843,0.19875248485777092,0.10660360551462257,0.0
2024-08-27,74.75949419240682,10.842141669928344,0.2855097306414464,0.6993181377103782,12.369076621776586,0.6848619488171404,0.05421070834964173,0.19877259728201965,0.10661439308762871,0.0
2024-08-28,73.92747610380009,10.840966277006201,0.28547877862783,0.9269026166840303,12.976636633576424,0.6829808754513907,0.054204831385031016,0.19875104841178037,0.10660283505722766,0.0
2024-08-29,73.47484900219814,10.844297219052274,0.2855664934350432,1.0627411274671228,13.291493624818404,0.6831907248002932,0.05422148609526136,0.19700473281278297,0.10663558932068068,0.0
2024-08-30,73.7805374040834,10.845692904205418,0.28560324647740937,0.7537756568422765,13.293204269587774,0.6832786529649413,0.05422846452102708,0.19703008775973177,0.10664931355801993,0.0
2024-09-02,73.11290916335899,10.837927109159963,0.285398747207879,0.8796784170268169,13.843645560766992,0.6827894078770776,0.054189635545799815,0.19688900914973934,0.10657294990673964,0.0
2024-09-03,73.06385256855857,10.84458730380786,0.285574132333607,0.8838338652603407,13.88107174887406,0.6832090001398952,0.0542229365190393,0.19701000268584282,0.1066384418207773,0.0
2024-09-09,71.79010846516887,12.427264993317683,0.2805011241348848,0.8450540195456024,13.63448502123997,0.6710723096391549,0.05325970711421863,0.19351026918166106,0.10474409065796332,0.0
2024-09-10,71.96744942970527,12.870684481371603,0.35115797000898114,0.07094100404221841,13.83349578823259,0.6526572371884093,0.05320575303166381,0.1915407109139897,0.008867625505277301,0.0
2024-09-11,73.30552917664734,12.402024010318485,0.3508001077204371,0.39686476833019146,12.641205901946053,0.6502204016838405,0.0531515314727935,0.1913455133020566,0.008858588578798917,0.0
2024-09-12,73.30552917664734,12.402024010318485,0.3508001077204371,0.39686476833019146,12.632347313367257,0.6502204016838405,0.0531515314727935,0.20020410188085555,0.008858588578798917,0.0
2024-09-13,73.30682796670528,12.40224374306803,0.35080632301821,0.3915565524597193,12.632571126867868,0.6502319219579954,0.05315247318457728,0.20375114720754622,0.00885874553076288,0.0
2024-09-16,73.45225435701516,12.427057610063788,0.3550587888589653,0.39233996168915664,12.455462313172504,0.6515328775562014,0.0532588183288448,0.2041588035939051,0.008876469721474134,0.0
2024-09-17,73.45181132713249,12.427264993317683,0.3550647140947909,0.39767247978616577,12.455670170445266,0.6515437503639413,0.04793373640279677,0.20416221060450476,0.008876617852369774,0.0
2024-09-19,73.45441943437604,12.427706257314593,0.3550773216375598,0.397686600234067,12.456112443045598,0.6480161119885466,0.04793543842107057,0.20416945994159688,0.008876933040938994,0.0
2024-09-20,73.45441943437604,12.427706257314593,0.3018157233919258,0.45094819847970097,12.456112443045598,0.6480161119885466,0.04793543842107057,0.20416945994159688,0.008876933040938994,0.0
2024-09-23,75.96470957515709,12.427706257314593,0.3018157233919258,0.45094819847970097,9.945822302264542,0.6480161119885466,0.04793543842107057,0.20416945994159688,0.008876933040938994,0.0
2024-09-24,75.96455595521736,12.427785688162002,0.3053684483376949,0.4509510806847355,9.945885870317833,0.6444694578289724,0.04793574479719629,0.20417076487694716,0.008876989777258574,0.0
2024-09-25,75.95912732427213,12.427838642624362,0.30536974950448437,0.4562792187363516,9.94592824947146,0.6444722038960918,0.04793594905012254,0.20417163484311454,0.008877027601874544,0.0
2024-09-26,75.94194562062262,12.427542985983507,0.3053624847984519,0.4757973600347971,9.945691637151253,0.6444568719874305,0.049710171943934026,0.20061605105944802,0.008876816418559648,0.0
2024-09-27,77.30782230239103,10.844477540183307,0.3181046745120437,0.486194076384885,10.127043054383247,0.6524760653343623,0.050607561854188764,0.20423766034011895,0.009037064616819423,0.0
2024-09-30,77.38571535751284,10.821043033123933,0.3174172623049687,0.45448380739120525,10.1051588961959,0.6510660891596234,0.05049820082124502,0.2037963104571674,0.010821043033123935,0.0
2024-10-02,77.38807448029974,10.821640250441614,0.3174347806796206,0.4527052838101408,10.105716603606565,0.6511020217349037,0.050500987835394195,0.20200395134157678,0.010821640250441612,0.0
2024-10-03,77.38695697031045,10.822175069604622,0.3282726437780069,0.46896091968286696,10.106216040916479,0.6475268083313432,0.0468960919682867,0.18217328033834448,0.010822175069604622,0.0
2024-10-04,77.38459779261456,10.821577793256642,0.3282545263954515,0.50500696368531,10.10565827838076,0.6114191453190002,0.050500696368530995,0.17314524469210626,0.019839559287637178,0.0
2024-10-07,80.29322525701372,7.4852008223241615,0.3405766374157494,0.6811532748314988,10.286649508091315,0.6250142686640676,0.05239640575626914,0.1796448197357799,0.05613900616743122,0.0
2024-10-08,75.8967273576202,7.482548825501724,0.3404559715603284,0.5237784177851207,14.8454891080278,0.6229221897230185,0.05237784177851207,0.17958117181204136,0.05611911619126293,0.0
2024-10-09,75.81856478438584,7.473174107394744,0.3400294218864608,0.5231221875176321,14.08891358357755,0.6034588091721255,0.9210687087364021,0.17561959152377646,0.05604880580546057,0.0
2024-10-10,75.7610661497311,7.467289538178011,0.3397616739870995,0.48724064236611525,14.077819611193169,0.6029836302078744,1.03235277865311,0.17548130414718327,0.05600467153633508,0.0
2024-10-14,75.7667238703761,7.467847183949505,0.3397870468697025,0.47980918156875574,14.071403074064614,0.6030286601039225,1.0398977203649686,0.1754944088228134,0.05600885387962129,0.0
2024-10-15,75.75938754551396,7.4689571468583695,0.3398375501820558,0.47988049668565025,14.073494538325088,0.6049855288955279,1.040052282700028,0.1773877322378863,0.056017178601437775,0.0
