date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,TOYO SECURITIES ASIA LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2024-10-31,247.64351100000002,0.0,63.712500000000006,0.0,59.164351,0.0,0.0,0.0,89.95649999999999,0.0
2024-11-01,247.493511,0.0,63.717,0.0,0.0,0.0,0.0,0.0,90.0915,0.0
2024-11-04,0.0,109.347,63.735,0.0,0.0,0.0,0.0,0.0,90.1185,0.0
2024-11-05,247.46351099999998,0.0,63.795,0.0,0.0,0.0,0.0,0.0,90.156,0.0
2024-11-06,0.0,0.0,64.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-07,0.0,109.287,64.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-08,0.0,0.0,64.2045,0.0,0.0,0.0,0.0,0.0,90.456,0.0
2024-11-11,247.280511,0.0,64.236,0.0,0.0,0.0,0.0,0.0,90.786,0.0
2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.78150000000001,0.0
2024-11-13,247.277511,109.27199999999999,63.632999999999996,56.062097,0.0,0.0,0.0,0.0,91.0815,0.0
2024-11-14,0.0,0.0,63.9645,0.0,0.0,0.0,0.0,0.0,91.2315,0.0
2024-11-15,0.0,0.0,63.814499999999995,0.0,0.0,0.0,0.0,0.0,91.2675,0.0
2024-11-18,248.803011,109.2315,63.712500000000006,56.024597,0.0,0.0,0.0,0.0,91.3215,0.0
2024-11-19,0.0,0.0,63.5115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-20,0.0,107.77650000000001,64.404,0.0,0.0,0.0,0.0,0.0,91.6215,0.0
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.809,0.0
2024-11-22,0.0,0.0,64.416,0.0,0.0,0.0,0.0,0.0,91.797,0.0
