date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-05-21,14.451258792532705,8.571152556900397,6.17517248680667,2.28067063510336,5.544384331018247,2.6858334639111385,1.7162134874038943,0.5196401900813656,0.9729083710208591,0.15491854343381983,43.07215285821246
2024-05-22,14.456872359508802,8.571702906603935,6.17517248680667,2.2856237824352093,5.550397451879111,2.684732764504061,1.7155530677596478,0.5196401900813656,0.9797327073447406,0.1511761654497558,43.0906038823733
2024-05-23,14.458923017539158,8.591295356049919,6.178254445146488,2.2817713345104376,5.51602475575992,2.67196465138196,1.7176443966330952,0.5196401900813656,0.9811636165739416,0.14864455681347716,43.06532632048976
2024-05-24,14.47323210983117,8.62420626832154,6.18849094963231,2.152329084238104,5.527188599496205,2.672294861204083,1.7146174732636317,0.5196401900813656,0.9861167639057912,0.15095602556834026,43.00907232554254
2024-05-27,14.469379661906395,8.599990881365832,6.19487500619336,2.101366701690408,5.557114855255596,2.676257379069563,1.7153879628485862,0.5199703999034889,0.9934914499332115,0.15436819373028102,42.98220249189672
2024-05-28,14.467618542855071,8.583040110496835,6.196966335066808,2.101586841571824,5.602557945731411,2.673395560611161,1.7156081027300016,0.5199703999034889,0.9921706106447181,0.15480847349311208,43.00772292310443
2024-05-29,14.438770477199887,8.625527107610035,6.1978468945924705,2.0871676793391063,5.626849391016149,2.673285490670453,1.7152778929078782,0.5210710993105666,0.9976741076801067,0.15921127112142275,43.04268141144807
2024-05-30,14.449447261448539,8.656346691008208,6.196966335066808,2.1079708981328737,5.5926341499471395,2.673285490670453,1.715938312552125,0.5210710993105666,0.9943720094588736,0.15943141100283828,43.06746365859843
2024-05-31,14.461226561258291,8.694100680670973,6.196966335066808,2.1371394324204323,5.540350928110951,2.673285490670453,1.7164886622556637,0.5210710993105666,0.9987748070871842,0.1589911312400072,43.098395128091326
2024-06-03,14.510225130958847,8.71094138159926,6.1970764050075156,2.124701529120455,5.502611962995093,2.674276120136823,1.7164886622556637,0.5210710993105666,0.9914001210597638,0.15756022201080624,43.1063526344548
2024-06-04,14.496787792597246,8.723599424780653,6.1978468945924705,2.0988350930541295,5.522381404905734,2.674716399899654,1.7182497813069881,0.5210710993105666,0.999325156790723,0.15029560592409366,43.10310865316226
