date,HSBC BROKING SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,DBS VICKERS (HONG KONG) LTD
2024-09-11,0.0,504.16352040816327,117.31012142857142,105.74528061224491,95.71331632653062,73.24964081632653,76.05258163265306,40.951802040816325,50.10710204081633,0.0
2024-09-12,0.0,504.71045918367344,117.71888163265307,105.84221938775511,95.73678571428572,73.22311020408164,0.0,40.88649591836735,50.160163265306124,71.19037040816326
2024-09-13,0.0,504.94519795918364,118.22408469387756,105.80446428571429,95.56637755102041,73.12821224489797,0.0,40.89261836734694,50.136689795918365,0.0
2024-09-16,0.0,504.95336122448975,117.8913306122449,0.0,95.50821428571429,73.19555918367347,76.00972448979591,40.66608775510204,50.45811836734694,0.0
2024-09-17,544.1966163265306,505.405543877551,118.37967755102041,105.64732142857143,95.48168367346939,73.18637551020409,75.90768367346938,40.29874081632653,50.48668979591837,71.18832959183673
2024-09-19,0.0,505.1990724489796,118.4123306122449,105.65752551020408,95.4959693877551,73.20678367346939,75.85666326530612,40.006904081632655,50.534648979591836,0.0
2024-09-20,0.0,506.05173877551016,119.13146326530612,105.37283163265305,95.19290816326532,73.11055918367347,75.70870408163265,39.53343469387755,50.4152612244898,0.0
2024-09-23,0.0,507.8645275510204,119.66268775510204,105.17895408163265,94.54188775510204,73.03708979591836,75.5046224489796,39.462006122448976,51.293725510204084,71.18526836734695
2024-09-24,0.0,506.32575612244904,120.19028673469387,105.35344387755102,94.62760204081633,73.27994693877551,75.63941836734693,38.924251020408164,51.324392857142854,0.0
2024-09-25,0.0,506.67419795918363,120.03933265306121,105.3452806122449,94.64801020408163,73.28198775510204,0.0,38.98139387755102,51.323368367346944,0.0
2024-09-26,0.0,506.7173357142857,119.47279285714285,105.37589285714286,94.69494897959184,73.38708979591837,0.0,39.11812857142857,51.319555102040816,0.0
2024-09-27,0.0,506.16992142857146,119.48757346938777,105.36772959183673,94.67045918367347,73.34729387755102,75.58839795918367,38.99772040816327,52.116493877551015,71.2158806122449
2024-09-30,0.0,506.605637755102,119.5069612244898,104.30242346938776,94.9429081632653,73.6534163265306,75.48635714285714,39.089557142857146,52.09914693877551,0.0
2024-10-02,544.1741673469388,506.21214081632655,119.63961428571427,104.14630102040816,94.84801020408163,73.7656612244898,75.35370408163266,39.3132306122449,52.22609591836734,0.0
2024-10-03,0.0,506.0372591836734,119.7712469387755,103.90956632653061,94.69188775510204,74.32229387755102,75.26186734693877,39.44690408163265,52.035341836734695,0.0
2024-10-04,0.0,505.8702163265306,120.79128265306123,103.89058469387756,94.33270408163266,74.3876030612245,74.67513265306123,39.981597959183674,52.11187551020409,71.22710510204081
2024-10-07,544.171106122449,505.07234285714287,122.40202653061225,103.79058469387755,94.44801020408164,74.23045408163266,74.65472448979592,40.15261836734694,51.764669387755106,0.0
2024-10-08,544.8343714285714,505.84938571428575,122.92138367346939,103.80895204081632,94.25515306122449,74.38555612244897,74.52105102040815,40.263842857142855,51.57487346938775,71.24037040816327
2024-10-09,0.0,505.81438877551017,123.76969285714286,104.48446224489795,94.1551530612245,74.2692275510204,74.31696938775511,40.983230612244895,50.36199795918367,71.34037040816327
2024-10-10,0.0,504.3198785714286,125.03389693877551,104.8742581632653,94.46943877551021,74.56208469387755,74.31288775510204,41.856700000000004,49.30638571428572,71.34343163265306
2024-10-14,0.0,504.03130000000004,125.12631530612246,104.92629897959185,94.46739795918367,74.52024795918368,74.2108469387755,41.90874081632653,49.260467346938775,71.35057448979592
2024-10-15,544.6915142857142,503.9542571428571,124.9161112244898,104.90487040816328,94.46433673469387,74.53045204081633,74.15166326530613,41.96180204081632,48.96532142857143,0.0
2024-10-16,0.0,504.0452918367347,124.51448775510204,104.97323775510203,94.53882653061224,74.72126836734694,74.11390816326531,41.95159795918367,48.50205612244898,0.0
2024-10-17,0.0,504.88584999999995,124.0389775510204,105.06201326530613,94.66025510204081,74.54371734693878,0.0,41.79751632653061,48.13266836734694,0.0
