date,EVERBRIGHT SECURITIES INVESTMENT,MORTON SECURITIES LTD,CITIBANK N.A.,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG BANK LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2025-02-28,46.00673579000705,1.9258753225062024,1.2775478785464953,0.9625691022514044,0.3610791038726085,0.336326169035855,0.31397242522945346,0.2639935477869731,0.1661503823866524
2025-03-04,89.13592178715317,3.731294323993486,2.474969339549373,1.8649330959847756,0.6995740560397462,0.6516163901518177,0.6083070458707515,0.5114752834293422,0.32190867782754234
2025-03-05,89.13611838660515,3.731302553789112,2.474754236960004,1.8649372093076346,0.6995755990301958,0.6516178273661599,0.6083083875613904,0.511476411546474,0.32190938783388295
2025-03-06,89.13631498692438,3.731310783621042,2.474539133421766,1.8649413226486382,0.6995771420274519,0.6516192645868422,0.6083097292579478,0.5114775396685821,0.3219100978433556
2025-03-07,89.12052426914009,3.7475121885803793,2.474439795101497,1.864949569952013,0.6992482886250541,0.6516221462334091,0.6083124193773752,0.5114798015684006,0.3219115214217836
2025-03-12,89.12258826827552,3.747598979608379,2.4743868182395166,1.864992761510092,0.6992644829627221,0.6494315576985451,0.6083265076731742,0.5114916472557648,0.3219189767762864
2025-03-13,89.12268655633329,3.7476031126147493,2.474279262980082,1.864994818300855,0.699265254140369,0.6494322739183913,0.6083271785606797,0.5114922113498015,0.32191933180178106
2025-03-17,89.12278484460786,3.7476072456302347,2.4742819917200802,1.8649968750961543,0.6991557410830508,0.6494329901398173,0.6083278494496651,0.5114927754450824,0.3219196868280588
2025-03-18,89.12288313309922,3.7476113786548373,2.474284720466097,1.8649989318959899,0.699046227784181,0.6494337063628229,0.6083285203401302,0.5114933395416075,0.32192004185511963
2025-03-19,89.14018528501191,3.7483389330056816,2.47476507353148,1.8610590743647297,0.6883719739956357,0.6452578612439469,0.6084466201154262,0.5115926399137674,0.32198253881742733
2025-03-20,89.15178935386494,3.74882688333834,2.475087232883253,1.8528066929897846,0.6871377431745213,0.6421425757477306,0.6085258263280972,0.5116592378931106,0.322024453780224
2025-03-21,89.15257617975455,3.748859969315289,2.4752193983329818,1.8531540085889393,0.6869231654345455,0.6410450320808248,0.6085311969872631,0.5116637536379762,0.32202729586762524
2025-03-24,89.1488300293423,3.748702443936648,2.4751153907477073,1.8530761399063869,0.6910962554300109,0.6410180956622252,0.6085056267851204,0.5116422537614301,0.3220137644281665
2025-03-26,89.14909264654169,3.7487598756847866,2.4752636287456915,1.8531045298369673,0.6905676633363242,0.6410279163376118,0.6085149493553753,0.5116500923427779,0.32201869781877096
2025-03-31,46.006351008717246,1.9342289470759406,1.2771494363824984,0.9561371073183136,0.35613799413673003,0.33074797873990025,0.31397242522945346,0.2639935477869731,0.1661503823866524
2025-04-01,89.14970794309365,3.7499651077765663,2.475041936916123,1.8527734106717348,0.6896721811945559,0.6409133752390763,0.6084062177869085,0.5115586689240015,0.32196115839738687
2025-04-02,89.14511641381308,3.756093665896475,2.475082886584843,1.852804064882578,0.6880290878133836,0.640923979176732,0.6084162838923325,0.5115671326828215,0.32196648525774446
2025-04-07,89.13272889520425,3.7693573405013474,2.4752903761849967,1.8525466010331202,0.6874923401938315,0.6408349170044191,0.6083317389577154,0.5114960458119899,0.32192174510833416
2025-04-09,89.1170036735029,3.7907454294384544,2.475735797514043,1.8522197659145905,0.6838425539982691,0.6407218578479368,0.606460166410299,0.5114058052368448,0.32186495013666594
2025-04-10,89.11769153588521,3.790774688851074,2.475754906836097,1.8522340625386717,0.6830759679838496,0.6407268033515486,0.6064648474601284,0.5114097525959459,0.3218674344974754
2025-04-11,89.11317149175075,3.7960954581391904,2.475629336691133,1.8521401173346865,0.6826002794376607,0.6406943057253269,0.6064340875983179,0.5113838139230215,0.32185110939990724
2025-04-15,89.11307323501391,3.7960912725407407,2.4757368676684632,1.8521380751534797,0.6825995267983492,0.6406935992918026,0.6064334189403231,0.5113832500680494,0.32185075452487333
2025-04-17,89.11307323501391,3.7964220544056175,2.4757368676684632,1.8521380751534797,0.6816071812037197,0.6406935992918026,0.6070949826700762,0.5113832500680494,0.32185075452487333
2025-04-22,89.11297497849375,3.7964178684516763,2.475844398408664,1.8521360329767766,0.6816064296602333,0.6406928928598362,0.6070943132841126,0.5113826862143207,0.32185039965062195
2025-04-23,89.11218893413275,3.796384381152456,2.4758225595739876,1.8521196957252721,0.6816004173720049,0.6406872414601866,0.6079710344693031,0.5113781754292537,0.32184756068478343
2025-04-24,89.11248369914308,3.796396938820433,2.4758307490918425,1.852125822160811,0.6816026719676609,0.6406893607233717,0.6079730455139245,0.5113798669643282,0.3215178456145455
2025-04-25,89.11484188942921,3.796497403155078,2.473470485365119,1.8521748351042417,0.6816207092698807,0.6407063153335921,0.6079891343498615,0.5113933996477946,0.3213058283452115
2025-04-28,89.11494015006636,3.7965015892844125,2.4733629497546072,1.852176877366513,0.681621460844857,0.6407070217951583,0.6079898047365047,0.511393963525149,0.3213061826264372
2025-04-29,89.11503841092019,3.796505775422978,2.4732554139069514,1.852178919633288,0.6816222124214908,0.6407077282582823,0.6079904751246262,0.5113945274037469,0.32130653690844413
2025-04-30,46.003220391714414,1.9598430861900187,1.2762956317453626,0.9561371073183136,0.35186897095105035,0.33074797873990025,0.31385858461116867,0.2639935477869731,0.16580886053179802
