date,KINGSTON SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2025-03-13,73.08208333333333,1.1008333333333333,1.0066666666666666,0.7474999999999999,0.7558333333333334,0.315,77.00791666666666
2025-03-14,73.08208333333333,1.1175,1.0066666666666666,0.7474999999999999,0.7558333333333334,0.315,77.02458333333333
2025-03-18,73.08208333333333,1.1175,1.0066666666666666,0.7474999999999999,0.7516666666666666,0.3191666666666667,77.02458333333333
2025-03-19,73.08208333333333,1.1566666666666665,1.0066666666666666,0.7474999999999999,0.7416666666666667,0.3191666666666667,77.05375
2025-03-20,73.08208333333333,1.1333333333333333,1.0066666666666666,0.7474999999999999,0.7416666666666667,0.3191666666666667,77.03041666666667
2025-03-21,73.08208333333333,1.1383333333333334,1.0066666666666666,0.7474999999999999,0.7416666666666667,0.3191666666666667,77.03541666666666
2025-03-27,73.08208333333333,1.1641666666666666,1.0066666666666666,0.7391666666666667,0.7358333333333333,0.32166666666666666,77.04958333333335
2025-04-02,73.08208333333333,1.1525,1.0066666666666666,0.7391666666666667,0.7341666666666666,0.32166666666666666,77.03625
2025-04-03,73.08208333333333,1.1583333333333332,1.0066666666666666,0.7391666666666667,0.7341666666666666,0.32166666666666666,77.04208333333334
2025-04-08,73.08208333333333,1.1625,1.0066666666666666,0.7391666666666667,0.7341666666666666,0.32166666666666666,77.04625
