date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DEUTSCHE BANK AG,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-08-02,461087986.0,31973722.0,24139569.0,2424126.0,5439512.0,3965055.0,1511612.0,1230001.0,632127.0,0.0
2024-08-05,461945127.0,31967266.0,24148869.0,2433991.0,5443810.0,3989970.0,1576198.0,1302193.0,631617.0,2813182.0
2024-08-06,461474390.0,32294597.0,24137120.0,2422351.0,5412444.0,4254704.0,1457755.0,1383300.0,621717.0,2805082.0
2024-08-07,461558960.0,32403475.0,24071720.0,2421910.0,5437330.0,4106920.0,1484236.0,1313426.0,621703.0,0.0
2024-08-08,461698641.0,32687666.0,24026770.0,2394870.0,5444337.0,3984589.0,1380074.0,1267608.0,644553.0,2805332.0
2024-08-09,462396763.0,32135441.0,24125670.0,2385570.0,5369787.0,4211670.0,1410273.0,1364941.0,666953.0,2815332.0
2024-08-12,501253939.0,31975752.0,23935213.0,2392475.0,5137062.0,4376401.0,1378615.0,1387544.0,684903.0,2754282.0
2024-08-13,501112702.0,32073326.0,23967873.0,2486125.0,5137475.0,4055472.0,1409266.0,1490068.0,705853.0,2739832.0
2024-08-14,501768522.0,31839632.0,23944867.0,2482625.0,5132763.0,3994079.0,1469904.0,1402097.0,706243.0,0.0
2024-08-15,502404016.0,31847626.0,23896258.0,2481613.0,5081137.0,4011813.0,1410804.0,1245780.0,0.0,0.0
2024-08-16,502862454.0,31712822.0,23794061.0,2480913.0,5137970.0,3998138.0,1374704.0,1249196.0,719043.0,2732482.0
2024-08-19,502725607.0,31641249.0,23747211.0,2476555.0,5130306.0,4370458.0,1413254.0,1071023.0,713043.0,0.0
2024-08-20,503237333.0,31625397.0,23592733.0,2461255.0,5164108.0,4427408.0,1323261.0,979408.0,715043.0,2741782.0
2024-08-21,503216672.0,31679110.0,23617623.0,2380705.0,5154142.0,4480768.0,1316811.0,969017.0,715243.0,0.0
2024-08-22,503206586.0,31632461.0,23562873.0,2381355.0,5168593.0,4008518.0,1353811.0,892033.0,0.0,0.0
2024-08-23,503312350.0,31641275.0,23444929.0,2382555.0,5128054.0,4523868.0,1425361.0,901811.0,0.0,2734182.0
2024-08-26,503697202.0,31667257.0,23651100.0,2388554.0,5078844.0,4154761.0,1398488.0,791107.0,718243.0,0.0
2024-08-27,503640411.0,31740871.0,23602251.0,2391324.0,5265310.0,4162781.0,1316938.0,699240.0,718043.0,0.0
2024-08-28,503539276.0,31881002.0,23642651.0,2364674.0,5146497.0,4160112.0,1619288.0,520537.0,718356.0,0.0
2024-08-29,504027151.0,31781108.0,23689484.0,2327440.0,5274632.0,4112827.0,1179635.0,657815.0,718056.0,2750232.0
2024-08-30,504075639.0,31277149.0,24099634.0,2311890.0,5330014.0,4235659.0,1095983.0,532588.0,699606.0,0.0
2024-09-02,505628246.0,30874198.0,24066563.0,2319100.0,5264687.0,4277155.0,1394793.0,656475.0,698856.0,2770882.0
2024-09-03,506006539.0,29785121.0,24135495.0,2341820.0,5269059.0,4254209.0,1449395.0,709561.0,698806.0,0.0
2024-09-04,506098903.0,29971122.0,24408695.0,2381966.0,5279441.0,4272099.0,1661323.0,535500.0,699156.0,0.0
2024-09-05,505838916.0,30169848.0,24514745.0,2380816.0,5255963.0,4214744.0,1402423.0,713905.0,702106.0,2756132.0
2024-09-09,504922136.0,29609549.0,24494195.0,2380066.0,5579417.0,4365440.0,2275789.0,587373.0,695830.0,0.0
2024-09-10,504925654.0,29632163.0,24698700.0,2380966.0,5418020.0,4293632.0,2537480.0,590744.0,695780.0,0.0
2024-09-11,504983719.0,29931521.0,24586276.0,2383526.0,5439732.0,4247758.0,2320472.0,618603.0,692376.0,2777682.0
2024-09-12,505235462.0,29688795.0,24613070.0,2385567.0,5566516.0,4225708.0,2124377.0,515564.0,790676.0,2777832.0
2024-09-13,506060201.0,29607219.0,24602720.0,2412760.0,5354717.0,4308152.0,1412559.0,595031.0,837826.0,2770382.0
2024-09-16,505926286.0,29895910.0,24667520.0,2424465.0,5289252.0,4268550.0,1530342.0,496457.0,784176.0,2763182.0
2024-09-17,505569642.0,29478287.0,24609920.0,2425364.0,5537985.0,4528700.0,1729792.0,565902.0,783576.0,0.0
2024-09-19,504905643.0,29452363.0,24615720.0,2424969.0,6454067.0,4329766.0,1833742.0,505267.0,0.0,2762932.0
2024-09-20,504212588.0,29606636.0,24619470.0,2427319.0,6463857.0,4579266.0,1787577.0,514499.0,0.0,2801682.0
2024-09-23,504191329.0,29922586.0,24597308.0,2434035.0,6539389.0,4574142.0,1603915.0,584996.0,805072.0,2808032.0
2024-09-24,505267290.0,28939576.0,24528153.0,2432408.0,6499801.0,4529845.0,1558995.0,521028.0,791342.0,2844782.0
2024-09-25,503728247.0,28877279.0,24537486.0,2454113.0,6787821.0,5030822.0,1974960.0,584430.0,808700.0,2869532.0
2024-09-26,504067881.0,29055882.0,24632814.0,2442020.0,6407837.0,4833862.0,1708439.0,1345433.0,0.0,2876932.0
2024-09-27,500244782.0,34310724.0,23973414.0,2430066.0,6172896.0,4906741.0,1449679.0,1130872.0,821400.0,0.0
2024-09-30,500813341.0,31918084.0,24983404.0,2728366.0,6288709.0,4627365.0,1930232.0,999529.0,824150.0,0.0
2024-10-02,499349518.0,32395933.0,25304875.0,2775082.0,6204670.0,5304213.0,1755615.0,823906.0,827686.0,0.0
2024-10-03,499509038.0,31486722.0,25473675.0,2787437.0,5996749.0,4660242.0,1711031.0,793838.0,827286.0,2889832.0
2024-10-04,499944806.0,29797294.0,25601872.0,2764121.0,6635423.0,4308800.0,1676064.0,2122376.0,827370.0,2893032.0
2024-10-07,497369462.0,32445972.0,25357180.0,2723371.0,6967727.0,4296581.0,2361232.0,1220863.0,812706.0,2888732.0
2024-10-08,498060237.0,30862913.0,25439381.0,2751030.0,7210413.0,4243709.0,2328338.0,2084924.0,797756.0,2872482.0
2024-10-09,497014627.0,29083642.0,25511120.0,2748520.0,7285469.0,4300046.0,2461166.0,3831648.0,797406.0,2874382.0
