date,ORIENT SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,I WIN SECURITIES LTD,LIVERMORE HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,SINOPAC SECURITIES (ASIA) LTD,HEAD & SHOULDERS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-07-03,3.732807211145475,2.245176756488454,0.4189438475997974,1.5454762578820977,0.9810414506555926,0.4618899742365967,0.0,0.46890158674872723,0.018405482844342562,0.13292848720914074,10.005571054810224
2024-07-04,3.732807211145475,2.2443003049244377,0.4189438475997974,1.533790237028547,0.9927274715091434,0.4618899742365967,0.0,0.47094664039809864,0.018405482844342562,0.13292848720914074,10.00673965689558
2024-07-05,3.732807211145475,2.2443003049244377,0.4189438475997974,1.532621634943192,0.993311772551821,0.45750771641651516,0.0,0.4662722320566782,0.018405482844342562,0.13292848720914074,9.9970986896914
2024-07-08,3.732807211145475,2.2443003049244377,0.4189438475997974,1.532621634943192,0.9938960735944984,0.45750771641651516,0.0,0.46276642580061306,0.018405482844342562,0.13292848720914074,9.994177184478012
2024-07-09,3.732807211145475,2.2443003049244377,0.4189438475997974,1.5332059359858696,0.9938960735944984,0.45750771641651516,0.0,0.46451932892864567,0.018113332323003793,0.13292848720914074,9.996222238127384
2024-07-10,3.732807211145475,2.2443003049244377,0.4189438475997974,1.5630052891624242,0.9938960735944984,0.45750771641651516,0.0,0.46072137215124165,0.018113332323003793,0.13555784190118966,10.024852989218584
2024-07-11,3.732807211145475,2.2443003049244377,0.4189438475997974,1.5332059359858696,0.9938960735944984,0.45750771641651516,0.0,0.452541157553756,0.018113332323003793,0.13351278825181828,9.984828367795172
2024-07-12,3.732807211145475,2.2443003049244377,0.4992852409679594,1.5559936766502935,0.9941882241158372,0.45750771641651516,0.0,0.4429001903495766,0.018113332323003793,0.13351278825181828,10.078608685144918
2024-07-15,3.732807211145475,2.2443003049244377,0.4992852409679594,1.5343745380712246,0.9991547829785964,0.45750771641651516,0.0,0.44231588930689913,0.018113332323003793,0.13351278825181828,10.06137180438593
2024-07-16,3.732807211145475,2.2443003049244377,0.4992852409679594,1.5343745380712246,0.9991547829785964,0.45750771641651516,0.0,0.438517932529495,0.018113332323003793,0.14403020702001404,10.06809126637672
2024-07-17,3.732807211145475,2.2443003049244377,0.5819638385068315,1.5332059359858696,0.9991547829785964,0.45750771641651516,0.0,0.40930288039561796,0.018113332323003793,0.14403020702001404,10.120386209696361
2024-07-18,3.732807211145475,2.2443003049244377,0.5819638385068315,1.5332059359858696,0.9749062897074784,0.45750771641651516,0.0,0.40170696684081,0.018113332323003793,0.1434459059773365,10.087957501827757
2024-07-19,3.732807211145475,2.2443003049244377,0.6649345865670424,1.5630052891624242,0.9722769350154293,0.4429001903495766,0.0,0.39118954807261413,0.018113332323003793,0.13964794919993248,10.169175346759936
2024-07-22,3.732807211145475,2.2443003049244377,0.6649345865670424,1.533498086507208,0.9751984402288172,0.4429001903495766,0.0,0.39089739755127545,0.018113332323003793,0.13964794919993248,10.142297498796768
2024-07-23,3.732807211145475,2.2443003049244377,0.7414780231578004,1.532621634943192,0.905082315107512,0.42829266428263807,0.0,0.37132331262157775,0.018113332323003793,0.14081655128528756,10.114835349790924
2024-07-24,3.732807211145475,2.2443003049244377,0.8411013509343214,1.5551172250862773,0.914138981269014,0.3771663230483532,0.0,0.360805893853382,0.018113332323003793,0.14081655128528756,10.184367173869552
2024-07-25,3.732807211145475,2.2443003049244377,0.8411013509343214,1.532621634943192,0.9112174760556263,0.3771663230483532,0.0,0.36927825897220634,0.019574084929697647,0.14081655128528756,10.168883196238596
2024-07-26,3.732807211145475,2.2443003049244377,0.9489048933083277,1.532621634943192,0.9135546802263365,0.3771663230483532,0.0,0.37044686105756147,0.018113332323003793,0.13964794919993248,10.27756319017662
2024-07-29,3.732807211145475,2.2443003049244377,0.9489048933083277,1.532621634943192,0.9135546802263365,0.3771663230483532,0.0,0.3701547105362227,0.018113332323003793,0.13964794919993248,10.27727103965528
2024-07-30,3.732807211145475,2.2434238533604214,0.9544557532137643,1.5367117422419347,0.9112174760556263,0.3771663230483532,0.0,0.37044686105756147,0.018113332323003793,0.13964794919993248,10.283990501646073
2024-07-31,3.732807211145475,2.242547401796405,0.9544557532137643,1.532621634943192,0.9118017770983039,0.37512126939898177,0.0,0.3640195495881085,0.018113332323003793,0.13847934711457738,10.269967276621813
2024-08-01,3.732807211145475,2.242547401796405,0.9489048933083277,1.5384646453699673,0.9074195192782223,0.3678175063655125,0.0,0.36285094750275343,0.018113332323003793,0.13847934711457738,10.257404804204244
2024-08-02,3.732807211145475,2.242547401796405,0.9489048933083277,1.5323294844218531,0.9062509171928672,0.3678175063655125,0.0,0.3546707329052678,0.018113332323003793,0.13847934711457738,10.241920826573288
2024-08-05,3.732807211145475,2.242547401796405,0.9489048933083277,1.5323294844218531,0.8989471541593979,0.3678175063655125,0.0,0.34882772247849236,0.018113332323003793,0.13847934711457738,10.228774053113044
2024-08-06,3.732807211145475,2.241670950232389,0.9927274715091434,1.5361274411992571,0.8983628531167205,0.3532099802985739,0.0,0.3464905183077822,0.018113332323003793,0.1373107450292223,10.256820503161567
2024-08-07,3.732807211145475,2.241670950232389,0.9927274715091434,1.5332059359858696,0.8893061869552185,0.3546707329052678,0.28922901612538315,0.35642363603330046,0.018113332323003793,0.14286160493465894,10.55101607814971
2024-08-08,3.732807211145475,2.241670950232389,1.0029527397560003,1.533790237028547,0.8884297353912022,0.3532099802985739,0.28922901612538315,0.3581765391613331,0.018113332323003793,0.14549095962670788,10.563870701088614
2024-08-09,3.732807211145475,2.241670950232389,0.9927274715091434,1.533790237028547,0.889890487997896,0.3532099802985739,0.28922901612538315,0.3485355719571536,0.018113332323003793,0.14373805649867524,10.54371231511624
